title,album,year
"​thank u, next","thank u, next",2018.0
7 rings,"thank u, next",2019.0
​God is a woman,Sweetener,2018.0
Side To Side,Dangerous Woman,2016.0
​​no tears left to cry,Sweetener,2018.0
​​breathin,Sweetener,2018.0
"​break up with your girlfriend, i’m bored","thank u, next",2019.0
​positions,Positions,2020.0
34+35,Positions,2020.0
​imagine,"thank u, next",2018.0
​needy,"thank u, next",2019.0
​pov,Positions,2020.0
​ghostin,"thank u, next",2019.0
​pete davidson,Sweetener,2018.0
​in my head,"thank u, next",2019.0
​sweetener,Sweetener,2018.0
​R.E.M.,Sweetener,2018.0
NASA,"thank u, next",2019.0
Dangerous Woman,Dangerous Woman,2016.0
Let Me Love You,Dangerous Woman,2016.0
​bloodline,"thank u, next",2019.0
Into You,Dangerous Woman,2016.0
​fake smile,"thank u, next",2019.0
​goodnight n go,Sweetener,2018.0
​the light is coming,Sweetener,2018.0
One Last Time,My Everything,2014.0
​bad idea,"thank u, next",2019.0
​better off,Sweetener,2018.0
​make up,"thank u, next",2019.0
​get well soon,Sweetener,2018.0
The Way,Yours Truly,2013.0
Problem,My Everything,2014.0
​everytime,Sweetener,2018.0
Focus,Dangerous Woman,2015.0
Everyday,Dangerous Woman,2016.0
Moonlight,Dangerous Woman,2016.0
​just like magic,Positions,2020.0
​nasty,Positions,2020.0
​successful,Sweetener,2018.0
Be Alright,Dangerous Woman,2016.0
​safety net,Positions,2020.0
​shut up,Positions,2020.0
​obvious,Positions,2020.0
​my hair,Positions,2020.0
​love language,Positions,2020.0
​six thirty,Positions,2020.0
Break Free,My Everything,2014.0
My Everything,My Everything,2014.0
34+35 (Remix),Positions (Deluxe),2021.0
​borderline,Sweetener,2018.0
Touch It,Dangerous Woman,2016.0
Greedy,Dangerous Woman,2016.0
​blazed,Sweetener,2018.0
Right There,Yours Truly,2013.0
Thinking Bout You,Dangerous Woman,2016.0
Just a Little Bit of Your Heart,My Everything,2014.0
​west side,Positions,2020.0
Sometimes,Dangerous Woman,2016.0
Honeymoon Avenue,Yours Truly,2013.0
Leave Me Lonely,Dangerous Woman,2016.0
Santa Tell Me,Christmas Kisses EP,2014.0
I Don’t Care,Dangerous Woman,2016.0
Knew Better / Forever Boy,Dangerous Woman,2016.0
Break Your Heart Right Back,My Everything,2014.0
Bad Decisions,Dangerous Woman,2016.0
Knew Better Part Two,,2016.0
Tattooed Heart,Yours Truly,2013.0
Jason’s Song (Gave It Away),Dangerous Woman,2016.0
How I Look on You,Charlie’s Angels (Original Motion Picture Soundtrack),2019.0
True Love,Christmas & Chill,2015.0
Daydreamin’,Yours Truly,2013.0
Baby I,Yours Truly,2013.0
Be My Baby,My Everything,2014.0
Why Try,My Everything,2014.0
December,Christmas & Chill,2015.0
7 rings (Remix),"thank u, next (Japanese Import)",2019.0
Wit It This Christmas,Christmas & Chill,2015.0
Hands on Me,My Everything,2014.0
Only 1,My Everything,2014.0
Step on Up,Dangerous Woman,2016.0
They Don’t Know,Trolls (Original Motion Picture Soundtrack) ,2016.0
You’ll Never Know,Yours Truly,2013.0
Winter Things,Christmas & Chill,2015.0
Piano,Yours Truly,2013.0
Santa Baby,Christmas Kisses EP,2013.0
Intro (C&C),Christmas & Chill,2015.0
You Don’t Know Me,My Everything,2014.0
Lovin’ It,Yours Truly,2013.0
Baby Loves (Intro),Unreleased Songs,2019.0
Better Left Unsaid,Yours Truly,2013.0
Last Christmas,Christmas Kisses EP,2013.0
Not Just On Christmas,Christmas & Chill,2015.0
Into You (Alex Ghenea Remix),,2016.0
Ridiculous,Unreleased Songs,2017.0
Intro,My Everything,2014.0
Snow In California,Christmas Kisses EP,2013.0
Too Close,My Everything,2014.0
Pink Champagne,Unreleased Songs,2013.0
Cadillac Song,My Everything,2014.0
Nobody Does It Better,Unreleased Songs,
The Way (Spanglish Version),Yours Truly,2013.0
​jada,,
Put Your Hearts Up,,2011.0
Hope Is The Song,,2020.0
Somewhere Over the Rainbow (Live From Manchester),One Love Manchester,2017.0
Bad to You (Demo),Unreleased Songs,2019.0
Zero to Hero (From ”Hercules”),We Love Disney ,2015.0
My Way,Unreleased Songs,2016.0
Boyfriend Material,Unreleased Songs,
Voodoo Love,Unreleased Songs,2016.0
Brand New You,13 (Original Broadway Cast Recording),2008.0
Love Is Everything,Christmas Kisses EP,2013.0
The Wizard and I (Live),Wicked (15th Anniversary Special Edition),2019.0
The Way (Fabolous Remix),,2013.0
Still Hurting,Coming From Inside The House (A Virtual SubCulture Concert),2020.0
Sober,Unreleased Songs,2016.0
Higher,Unreleased Songs,2008.0
Close to You,Unreleased Songs,2019.0
​my heart belongs to daddy (live),​k bye for now (swt live),2019.0
Die In Your Arms [Justin Bieber],,2012.0
Do You Love Me?,Unreleased Songs,2012.0
