song_a,album_a,song_b,album_b,similarity
​when the party’s over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​limbo*,Unreleased Songs,0.6032
​when the party’s over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​when the party’s over (SAYA Remix),,0.9897
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6137
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6421
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6259
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",​bitches broken hearts,dont smile at me (Japanese Import),0.6082
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",6.18.18*,Unreleased Songs,0.6238
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",​listen before i go (live),Billie Eilish Live at the Steve Jobs Theater,0.6369
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",Bitches broken hearts[killer frost remix],,0.6082
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",Watch (Cole Jackson Remix),,0.605
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",Everything I Wanted (Aquadrop Remix),,0.9767
​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",​idontwannabeyouanymore (Live at Third Man Records),Live at Third Man Records,0.6022
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",COPYCAT,dont smile at me,0.6088
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bad,triple j Like a Version 14,0.6271
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​bad guy (Demo),Unreleased Songs,0.9636
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",COPYCAT (Live from The Hi Hat),,0.6017
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",COPYCAT[live in London],,0.6017
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",COPYCAT[itsyo_boiiii remix],,0.6017
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",COPYCAT[Osheaga live],,0.6017
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​bad guy (Live at Third Man Records),Live at Third Man Records,0.8463
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bad guy (Topic Remix),,0.9956
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​idontwannabeyouanymore (Live at Third Man Records),Live at Third Man Records,0.6212
​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",COPYCAT (Live at Third Man Records),Live at Third Man Records,0.6158
​idontwannabeyouanymore,dont smile at me,​idontwannabeyouanymore (Elijah Hill Remix),,0.9501
​idontwannabeyouanymore,dont smile at me,​idontwannabeyouanymore (Live at Third Man Records),Live at Third Man Records,0.8784
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​ocean eyes (blackbear Remix),Ocean Eyes (The Remixes) - EP,0.6735
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​ocean eyes (Astronomyy Remix),Ocean Eyes (The Remixes) - EP,0.6181
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​you don’t get me high anymore,,0.7275
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Thinkin Bout You (Cover),,0.6277
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bury a friend (Zeds Dead Remix),,0.8608
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​bury a friend (Elijah Hill Remix),,0.9251
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",&burn[MacAttack remix},,0.6835
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bury a friend[Harel Atias remix],,1.0
​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​bury a friend (Live at Third Man Records),Live at Third Man Records,0.7623
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6328
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​watch,dont smile at me,0.6064
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",‌watch (Live),Up Next Session: Billie Eilish,0.6064
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Watch (Cole Jackson Remix),,0.6256
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Everything I Wanted (Aquadrop Remix),,0.6143
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Lie (Cover by Billie Eilish),,0.6099
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​i love you (Live at Third Man Records),Live at Third Man Records,0.7621
​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​idontwannabeyouanymore (Live at Third Man Records),Live at Third Man Records,0.6384
​wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.618
​wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​bitches broken hearts,dont smile at me (Japanese Import),0.6136
​wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bitches broken hearts[killer frost remix],,0.6136
No Time To Die,No Time To Die (Original Motion Picture Soundtrack),​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6072
No Time To Die,No Time To Die (Original Motion Picture Soundtrack),Six Feet Under (Aire Atlantica Remix),Six Feet Under (Remixes),0.6036
​​ocean eyes,dont smile at me,​ocean eyes (blackbear Remix),Ocean Eyes (The Remixes) - EP,0.7352
​​ocean eyes,dont smile at me,​ocean eyes (Astronomyy Remix),Ocean Eyes (The Remixes) - EP,0.7509
​​ocean eyes,dont smile at me,​ocean eyes (GOLDHOUSE Remix),Ocean Eyes (The Remixes) - EP,0.8626
​​ocean eyes,dont smile at me,‌ocean eyes (Live),Up Next Session: Billie Eilish,0.862
​​ocean eyes,dont smile at me,​ocean eyes (Cautious Clay Remix),Ocean Eyes (The Remixes) - EP,0.8269
​​ocean eyes,dont smile at me,​listen before i go (live),Billie Eilish Live at the Steve Jobs Theater,0.6003
​​ocean eyes,dont smile at me,Ocean Eyes (Jengi Beats Remix),,0.8603
​​ocean eyes,dont smile at me,Ocean Eyes (AC3 Remix),,0.8657
​​ocean eyes,dont smile at me,Ocean Eyes (Young Bombs Remix),,0.8508
​​ocean eyes,dont smile at me,Ocean Eyes (vowl. remix),,0.7179
​​ocean eyes,dont smile at me,Ocean Eyes (That Loud & Neblo Remix),,0.8559
​​ocean eyes,dont smile at me,Ocean Eyes[Live In The Lounge],,0.873
​​ocean eyes,dont smile at me,Ocean eyes (Naderi Remix),,0.7122
​​ocean eyes,dont smile at me,​ocean eyes (Live at Third Man Records),Live at Third Man Records,0.9404
​bellyache,dont smile at me,​bellyache (Marian Hill Remix),dont smile at me (Japanese Import),0.8663
​bellyache,dont smile at me,‌bellyache (Live),Up Next Session: Billie Eilish,0.9716
​bellyache,dont smile at me,Bellyache (DEVAULT Remix),,0.9137
​bellyache,dont smile at me,​bellyache (Live at Third Man Records),Live at Third Man Records,0.9156
​you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",You should see me in a crown (IIZI Remix),,0.9244
​you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",You should see me in a crown[live from Ellen],,1.0
​you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",You should see me in a crown[killer frost remix],,1.0
​my future,BE2*,​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6563
​my future,BE2*,​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6177
​my future,BE2*,​bitches broken hearts,dont smile at me (Japanese Import),0.6336
​my future,BE2*,​listen before i go (live),Billie Eilish Live at the Steve Jobs Theater,0.6318
​my future,BE2*,Bitches broken hearts[killer frost remix],,0.6336
​all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​all the good girls go to hell (Live at Third Man Records),Live at Third Man Records,0.7434
COPYCAT,dont smile at me,COPYCAT (Sofi Tukker Remix),dont smile at me (Japanese Import),0.8991
COPYCAT,dont smile at me,​bad guy (Demo),Unreleased Songs,0.6186
COPYCAT,dont smile at me,COPYCAT (Live from The Hi Hat),,0.9826
COPYCAT,dont smile at me,COPYCAT[live in London],,0.9826
COPYCAT,dont smile at me,COPYCAT[itsyo_boiiii remix],,0.9826
COPYCAT,dont smile at me,COPYCAT[Osheaga live],,0.9826
COPYCAT,dont smile at me,Bad guy (Topic Remix),,0.6113
COPYCAT,dont smile at me,COPYCAT (Live at Third Man Records),Live at Third Man Records,0.9627
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6759
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6184
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​bitches broken hearts,dont smile at me (Japanese Import),0.6529
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",6.18.18*,Unreleased Songs,0.6268
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​see-through,,0.6038
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bored (Yamill Remix),,0.611
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​listen before i go (live),Billie Eilish Live at the Steve Jobs Theater,0.6795
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Bitches broken hearts[killer frost remix],,0.6529
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Everything I Wanted (Aquadrop Remix),,0.6524
​ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​idontwannabeyouanymore (Live at Third Man Records),Live at Third Man Records,0.6107
​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",0.6568
​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",6.18.18*,Unreleased Songs,0.6137
​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​see-through,,0.6382
​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​another stupid song*,Unreleased Songs,0.6153
​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",​listen before i go (live),Billie Eilish Live at the Steve Jobs Theater,0.9873
​listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",Everything I Wanted (Aquadrop Remix),,0.6049
​watch,dont smile at me,‌watch (Live),Up Next Session: Billie Eilish,1.0
​watch,dont smile at me,&burn[MacAttack remix},,0.7377
​watch,dont smile at me,​watch (Xie Remix),,0.9196
​watch,dont smile at me,Watch (Cole Jackson Remix),,0.9677
​watch,dont smile at me,Everything I Wanted (Aquadrop Remix),,0.6106
​watch,dont smile at me,Lie (Cover by Billie Eilish),,0.6128
​hostage,dont smile at me,​bitches broken hearts,dont smile at me (Japanese Import),0.6488
​hostage,dont smile at me,Hostage (sonn Remix),,0.8689
​hostage,dont smile at me,​hostage (AKAY Remix),,0.8705
​hostage,dont smile at me,Bitches broken hearts[killer frost remix],,0.6488
​hostage,dont smile at me,Hostage[aporia remix],,0.9961
​hostage,dont smile at me,Hostage[killer frost remix],,0.9961
​my boy,dont smile at me,​​my boy (TroyBoi Remix),dont smile at me (Japanese Import),0.814
​my boy,dont smile at me,My boy (Debut / Demo Version),Unreleased Songs,0.8229
Six Feet Under,,Six Feet Under (BLU J Remix),Six Feet Under (Remixes),0.9441
Six Feet Under,,Six Feet Under (Jerry Folk Remix),Six Feet Under (Remixes),0.9283
