title,album,year
WAP,,2020.0
Bodak Yellow,Invasion of Privacy,2017.0
Bartier Cardi,Invasion of Privacy,2017.0
Be Careful,Invasion of Privacy,2018.0
Money,,2018.0
Press,,2019.0
I Do,Invasion of Privacy,2018.0
Thru Your Phone,Invasion of Privacy,2018.0
Drip,Invasion of Privacy,2018.0
Ring,Invasion of Privacy,2018.0
Get Up 10,Invasion of Privacy,2018.0
Best Life,Invasion of Privacy,2018.0
Bickenhead,Invasion of Privacy,2018.0
WAP (Clean),,2020.0
Money Bag,Invasion of Privacy,2018.0
Red Barz,,2017.0
Foreva,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Lick,"Gangsta Bitch Music, Vol. 2",2017.0
Bodak Yellow (Latin Trap Remix),,2017.0
Up,CB2,2021.0
Washpoppin,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
On Fleek,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Selfish,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Pull Up,"Gangsta Bitch Music, Vol. 2",2017.0
Cheap Ass Weave,,2015.0
Lick (Remix),"Gangsta Bitch Music, Vol. 2",2017.0
Bodak Yellow (Remix),,2017.0
Trust Issues,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Sauce Boyz,"Gangsta Bitch Music, Vol. 1",2016.0
Lit Thot,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Back It Up,"Gangsta Bitch Music, Vol. 2",2017.0
Hectic,"Gangsta Bitch Music, Vol. 2",2017.0
Stripper Hoe,,2016.0
Bronx Season,"Gangsta Bitch Music, Vol. 2",2016.0
WAP (Demo),,
With That,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Leave That Bitch Alone,"Gangsta Bitch Music, Vol. 2",2017.0
Trick,"Gangsta Bitch Music, Vol. 1",2016.0
B.O.N,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
What A Girl Likes,,2016.0
Styling*,CB2,
I Like It (Kontra K & AK Ausserkontrolle Remix),,2018.0
I Gotta Hurt You,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Pop Off,"Gangsta Bitch Music, Vol. 2",2017.0
How I Do,"Gangsta Bitch Music, Vol. 2",2017.0
Booty*,CB2,
Rollin,"Gangsta Bitch Music, Vol. 2",2017.0
Everything,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Sick 16 (Freestyle),,2016.0
Wet*,,
Automatic*,CB2,
Never Give Up,"Gangsta Bitch Music, Vol. 2",2017.0
Respect,CB2,
11/18/19 Freestyle,,2019.0
Bartier Cardi (Original),Unreleased Songs,
WAP (Worship and Prayer),,2020.0
Song For Kulture’s 1st Birthday,,2019.0
Thru Your Phone (Clean),,2018.0
Sauce Niggaz,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Ten Trick Commandments,"Gangsta Bitch Music, Vol. 1 (Promo CD)",2016.0
Clean it Up,,
Name it,,2020.0
Broke,,
Hoes Mad,,
Won’t change*,,2020.0
Up (Radio Edit),,2021.0
Do Me Dat Remix (Region Liberty Records / Atlantic Records),,2019.0
The Good (Unreleased),,
Nobody 2,,2020.0
