song_a,album_a,song_b,album_b,similarity
The Scientist,A Rush of Blood to the Head,The Scientist (Live In Buenos Aires),Live In Buenos Aires,0.9163
The Scientist,A Rush of Blood to the Head,The Scientist (Love in Tokyo Version),Love in Tokyo,0.9998
Viva la Vida,Viva La Vida or Death and All His Friends,Viva La Vida (Live In Buenos Aires),Live In Buenos Aires,0.7917
Viva la Vida,Viva La Vida or Death and All His Friends,Viva La Vida (Grant’s Uplifting Mix),,0.863
Viva la Vida,Viva La Vida or Death and All His Friends,Viva La Vida (Thin White Duke mix),,0.863
Viva la Vida,Viva La Vida or Death and All His Friends,Viva La Vida (Grant’s Uplifting original mix),,0.863
Fix You,X&Y,Yellow,Parachutes,0.6487
Fix You,X&Y,Lost+ (Remix),Prospekt’s March [EP],0.6324
Fix You,X&Y,Fix You (Live in Manchester),One Love Manchester,0.7861
Fix You,X&Y,Everglow (Single Version),,0.6493
Fix You,X&Y,Fix You (Live In Buenos Aires),Live In Buenos Aires,0.7748
Fix You,X&Y,Fix You (Four Tet Remix),,0.8383
Yellow,Parachutes,Hymn for the Weekend,A Head Full of Dreams,0.6288
Yellow,Parachutes,Up&Up,A Head Full of Dreams,0.614
Yellow,Parachutes,Don’t Panic,Parachutes,0.6327
Yellow,Parachutes,Hymn for the Weekend (Seeb Remix),Hymn for the Weekend (Remixes),0.6151
Yellow,Parachutes,BrokEn,Everyday Life,0.6101
Yellow,Parachutes,Everglow (Single Version),,0.6458
Yellow,Parachutes,Hymn for the Weekend (Live in Buenos Aires),Live In Buenos Aires,0.6246
Yellow,Parachutes,Yellow (Live In Buenos Aires),Live In Buenos Aires,0.7643
Yellow,Parachutes,Yellow (The Alpha Remix),Mince Spies [EP],0.8872
Yellow,Parachutes,BrokEn (Reimagined),Coldplay: Reimagined ,0.6517
Yellow,Parachutes,Yellow (Love in Tokyo Version),Love in Tokyo,0.9017
Yellow,Parachutes,Cry Cry Cry (Reimagined),Coldplay: Reimagined ,0.6183
Yellow,Parachutes,Yellow (Acoustic from Jo Whiley Lunchtime Social),Acoustic [EP],0.8899
Yellow,Parachutes,Yellow (Live at KCRW),Live at KCRW’s “Morning Becomes Eclectic”,0.9017
Yellow,Parachutes,Yellow (Live @ Rockefeller Music Hall),Trouble ‒ Norwegian Live EP,0.8899
Hymn for the Weekend,A Head Full of Dreams,Up&Up,A Head Full of Dreams,0.6643
Hymn for the Weekend,A Head Full of Dreams,Hymn for the Weekend (Seeb Remix),Hymn for the Weekend (Remixes),0.8977
Hymn for the Weekend,A Head Full of Dreams,BrokEn,Everyday Life,0.6027
