title,album,year
The Scientist,A Rush of Blood to the Head,2002.0
Viva la Vida,Viva La Vida or Death and All His Friends,2008.0
Fix You,X&Y,2005.0
Yellow,Parachutes,2000.0
Hymn for the Weekend,A Head Full of Dreams,2016.0
A Sky Full of Stars,Ghost Stories,2014.0
Everglow,A Head Full of Dreams,2015.0
Adventure of a Lifetime,A Head Full of Dreams,2015.0
Orphans,Everyday Life,2019.0
Paradise,Mylo Xyloto,2011.0
Magic,Ghost Stories,2014.0
Clocks,A Rush of Blood to the Head,2002.0
Daddy,Everyday Life,2019.0
Everyday Life,Everyday Life,2019.0
Sparks,Parachutes,2000.0
Up&Up,A Head Full of Dreams,2015.0
Trouble,Parachutes,2000.0
Arabesque,Everyday Life,2019.0
Hypnotised,Kaleidoscope [EP],2017.0
All I Can Think About Is You,Kaleidoscope [EP],2017.0
Fly On,Ghost Stories Live 2014,2014.0
Champion of the World,Everyday Life,2019.0
Violet Hill,Viva La Vida or Death and All His Friends,2008.0
In My Place,A Rush of Blood to the Head,2002.0
Ink,Ghost Stories,2014.0
Church,Everyday Life,2019.0
Shiver,Parachutes,2000.0
Strawberry Swing,Viva La Vida or Death and All His Friends,2008.0
Always in My Head,Ghost Stories,2014.0
Midnight,Ghost Stories,2014.0
Trouble in Town,Everyday Life,2019.0
O,Ghost Stories,2014.0
True Love,Ghost Stories,2014.0
A Rush of Blood to the Head,A Rush of Blood to the Head,2002.0
Green Eyes,A Rush of Blood to the Head,2002.0
Don’t Panic,Parachutes,2000.0
Every Teardrop Is a Waterfall,iTunes Festival: London 2011,2011.0
Charlie Brown,Mylo Xyloto,2011.0
Fun,A Head Full of Dreams,2015.0
Speed of Sound,X&Y,2005.0
Amazing Day,A Head Full of Dreams,2015.0
A Head Full of Dreams,A Head Full of Dreams,2016.0
Christmas Lights,Live From Spotify London,2010.0
Warning Sign,A Rush of Blood to the Head,2002.0
Amsterdam,A Rush of Blood to the Head,2002.0
Cry Cry Cry,Everyday Life,2019.0
Lost!,Viva La Vida or Death and All His Friends,2008.0
بنی آدم (Children of Adam),Everyday Life,2019.0
A L I E N S,Kaleidoscope [EP],2017.0
Hymn for the Weekend (Seeb Remix),Hymn for the Weekend (Remixes),2016.0
Talk,X&Y,2005.0
Army of One,A Head Full of Dreams,2015.0
