song_a,album_a,song_b,album_b,similarity
God’s Plan,Scorpion,God’s Plan (Demo),Unreleased Songs,0.7386
In My Feelings,Scorpion,Hotline Bling,Views,0.6084
In My Feelings,Scorpion,One Dance,Views,0.6588
In My Feelings,Scorpion,"Hold On, We’re Going Home",Nothing Was the Same,0.7103
In My Feelings,Scorpion,Know Yourself,If You’re Reading This It’s Too Late,0.6939
In My Feelings,Scorpion,Back to Back,,0.6614
In My Feelings,Scorpion,All Me,Nothing Was the Same,0.6586
In My Feelings,Scorpion,Fake Love,More Life,0.6563
In My Feelings,Scorpion,0 to 100 / The Catch Up,NBA 2K16 Soundtrack,0.6233
In My Feelings,Scorpion,The Motto,Take Care,0.7071
In My Feelings,Scorpion,Marvin’s Room,Take Care,0.6594
In My Feelings,Scorpion,Nice For What,Scorpion,0.663
In My Feelings,Scorpion,Energy,If You’re Reading This It’s Too Late,0.7228
In My Feelings,Scorpion,Too Good,Views,0.6646
In My Feelings,Scorpion,Jungle,If You’re Reading This It’s Too Late,0.7289
In My Feelings,Scorpion,Over My Dead Body,Take Care,0.6697
In My Feelings,Scorpion,Worst Behavior,Nothing Was the Same,0.6164
In My Feelings,Scorpion,Summer Sixteen,,0.6538
In My Feelings,Scorpion,The Language,Nothing Was the Same,0.7688
In My Feelings,Scorpion,Girls Love Beyoncé,Care Package,0.6774
In My Feelings,Scorpion,How Bout Now,If You’re Reading This It’s Too Late,0.6953
In My Feelings,Scorpion,Legend,If You’re Reading This It’s Too Late,0.6699
In My Feelings,Scorpion,Portland,More Life,0.7499
In My Feelings,Scorpion,Nonstop,Scorpion,0.7542
In My Feelings,Scorpion,Controlla,Views,0.765
In My Feelings,Scorpion,Gyalchester,More Life,0.6893
In My Feelings,Scorpion,U With Me?,Views,0.7081
In My Feelings,Scorpion,Headlines,Take Care,0.6272
In My Feelings,Scorpion,Own It,Nothing Was the Same,0.655
In My Feelings,Scorpion,Fire & Desire,Views,0.6214
In My Feelings,Scorpion,Teenage Fever,More Life,0.6684
In My Feelings,Scorpion,Take Care,Take Care,0.6828
In My Feelings,Scorpion,The Motion,Nothing Was the Same,0.7158
In My Feelings,Scorpion,Free Smoke,More Life,0.7185
In My Feelings,Scorpion,Sneakin’,,0.7428
In My Feelings,Scorpion,Duppy Freestyle,,0.6476
In My Feelings,Scorpion,Come Thru,Nothing Was the Same,0.6166
In My Feelings,Scorpion,Feel No Ways,Views,0.6054
In My Feelings,Scorpion,Tuscan Leather,Nothing Was the Same,0.6229
In My Feelings,Scorpion,6 God,If You’re Reading This It’s Too Late,0.6362
In My Feelings,Scorpion,Right Hand,,0.623
In My Feelings,Scorpion,5 AM in Toronto,Care Package,0.701
In My Feelings,Scorpion,Emotionless,Scorpion,0.7324
In My Feelings,Scorpion,Company,If You’re Reading This It’s Too Late,0.7388
In My Feelings,Scorpion,10 Bands,If You’re Reading This It’s Too Late,0.6236
In My Feelings,Scorpion,Trophies,Young Money: Rise of an Empire,0.6599
In My Feelings,Scorpion,Best I Ever Had,So Far Gone,0.6497
In My Feelings,Scorpion,The Real Her,Take Care,0.6548
In My Feelings,Scorpion,Toosie Slide,Dark Lane Demo Tapes,0.6274
In My Feelings,Scorpion,Days in the East,Care Package,0.6274
In My Feelings,Scorpion,Money in the Grave,The Best in the World Pack,0.7448
In My Feelings,Scorpion,Blem,More Life,0.6336
In My Feelings,Scorpion,Signs,,0.7114
In My Feelings,Scorpion,Hate Sleeping Alone,Take Care,0.6694
In My Feelings,Scorpion,KMT,More Life,0.6982
In My Feelings,Scorpion,Faithful,Views,0.7259
In My Feelings,Scorpion,Laugh Now Cry Later,Certified Lover Boy,0.7203
In My Feelings,Scorpion,Sacrifices,More Life,0.7217
In My Feelings,Scorpion,6PM in New York,If You’re Reading This It’s Too Late,0.6851
In My Feelings,Scorpion,Star67,If You’re Reading This It’s Too Late,0.6711
In My Feelings,Scorpion,Under Ground Kings,Take Care,0.625
In My Feelings,Scorpion,6 Man,If You’re Reading This It’s Too Late,0.6755
In My Feelings,Scorpion,With You,Views,0.6632
In My Feelings,Scorpion,Cameras,Take Care,0.6039
In My Feelings,Scorpion,305 to My City,Nothing Was the Same,0.7356
In My Feelings,Scorpion,No Tellin’,If You’re Reading This It’s Too Late,0.7644
In My Feelings,Scorpion,"Two Birds, One Stone",,0.6003
In My Feelings,Scorpion,Practice,Take Care,0.6427
In My Feelings,Scorpion,Used To,If You’re Reading This It’s Too Late,0.763
In My Feelings,Scorpion,Pop Style,Views,0.7015
In My Feelings,Scorpion,Jaded,Scorpion,0.7012
In My Feelings,Scorpion,Pop Style (Single Version),,0.7474
In My Feelings,Scorpion,Miss Me,Thank Me Later,0.7544
In My Feelings,Scorpion,Hype,Views,0.7402
In My Feelings,Scorpion,Make Me Proud,Take Care,0.6853
In My Feelings,Scorpion,Lose You,More Life,0.6576
In My Feelings,Scorpion,Buried Alive Interlude,Take Care,0.6184
In My Feelings,Scorpion,Still Here,Views,0.6284
In My Feelings,Scorpion,Over,Thank Me Later,0.6071
In My Feelings,Scorpion,We’ll Be Fine,Take Care,0.6504
In My Feelings,Scorpion,Ice Melts,More Life,0.7186
In My Feelings,Scorpion,The Ride,Take Care,0.6719
In My Feelings,Scorpion,No Long Talk,More Life,0.6751
In My Feelings,Scorpion,Club Paradise,Care Package,0.6989
In My Feelings,Scorpion,Light Up,Thank Me Later,0.6765
In My Feelings,Scorpion,8 Out of 10,Scorpion,0.689
In My Feelings,Scorpion,That’s How You Feel,Scorpion,0.7432
In My Feelings,Scorpion,Elevate,Scorpion,0.6778
In My Feelings,Scorpion,Behind Barz (Link Up TV Freestyle),Link Up TV Freestyles,0.606
In My Feelings,Scorpion,Talk Up,Scorpion,0.728
In My Feelings,Scorpion,Survival,Scorpion,0.6136
In My Feelings,Scorpion,Pain 1993,Dark Lane Demo Tapes,0.755
In My Feelings,Scorpion,We Made It Freestyle,King Soulja II,0.6753
In My Feelings,Scorpion,Can’t Have Everything,More Life,0.7473
In My Feelings,Scorpion,Get It Together,More Life,0.6691
In My Feelings,Scorpion,Can I,Care Package,0.6732
In My Feelings,Scorpion,Sandra’s Rose,Scorpion,0.6912
In My Feelings,Scorpion,Omertà,The Best in the World Pack,0.6054
In My Feelings,Scorpion,Desires,Dark Lane Demo Tapes,0.7284
In My Feelings,Scorpion,Blue Tint,Scorpion,0.6059
In My Feelings,Scorpion,Dreams Money Can Buy,Care Package,0.664
In My Feelings,Scorpion,Summer Games,Scorpion,0.6346
In My Feelings,Scorpion,Jorja Interlude,More Life,0.7047
In My Feelings,Scorpion,Jodeci Freestyle,Care Package,0.7303
In My Feelings,Scorpion,Up All Night,Thank Me Later,0.7318
In My Feelings,Scorpion,Glow,More Life,0.6831
In My Feelings,Scorpion,Is There More,Scorpion,0.6828
In My Feelings,Scorpion,Grammys,Views,0.7306
In My Feelings,Scorpion,Successful,So Far Gone,0.7028
In My Feelings,Scorpion,Shut It Down,Thank Me Later,0.6755
In My Feelings,Scorpion,November 18th,So Far Gone,0.6287
In My Feelings,Scorpion,Peak,Scorpion,0.6932
In My Feelings,Scorpion,Time Flies,Dark Lane Demo Tapes,0.6704
In My Feelings,Scorpion,After Dark,Scorpion,0.6216
In My Feelings,Scorpion,Heat of the Moment,Care Package,0.6583
In My Feelings,Scorpion,9AM in Dallas,Thank Me Later,0.6705
In My Feelings,Scorpion,Controlla (Leak),,0.7577
In My Feelings,Scorpion,Ratchet Happy Birthday,Scorpion,0.6203
In My Feelings,Scorpion,Free Spirit,Care Package,0.753
In My Feelings,Scorpion,The Motto (Remix),Take Care,0.6917
In My Feelings,Scorpion,Losses,Dark Lane Demo Tapes,0.6601
