title,album,year
God’s Plan,Scorpion,2018.0
In My Feelings,Scorpion,2018.0
Hotline Bling,Views,2015.0
One Dance,Views,2016.0
"Hold On, We’re Going Home",Nothing Was the Same,2013.0
Know Yourself,If You’re Reading This It’s Too Late,2015.0
Back to Back,,2015.0
All Me,Nothing Was the Same,2013.0
Fake Love,More Life,2016.0
From Time,Nothing Was the Same,2013.0
0 to 100 / The Catch Up,NBA 2K16 Soundtrack,2014.0
The Motto,Take Care,2011.0
Started from the Bottom,Nothing Was the Same,2013.0
Pound Cake / Paris Morton Music 2,Nothing Was the Same,2013.0
Marvin’s Room,Take Care,2011.0
HYFR,Take Care,2012.0
Nice For What,Scorpion,2018.0
Passionfruit,More Life,2017.0
Child’s Play,Views,2016.0
Energy,If You’re Reading This It’s Too Late,2015.0
Too Good,Views,2016.0
Furthest Thing,Nothing Was the Same,2013.0
Jungle,If You’re Reading This It’s Too Late,2015.0
Over My Dead Body,Take Care,2011.0
Worst Behavior,Nothing Was the Same,2013.0
Summer Sixteen,,2016.0
The Language,Nothing Was the Same,2013.0
Girls Love Beyoncé,Care Package,2013.0
How Bout Now,If You’re Reading This It’s Too Late,2014.0
Too Much,Nothing Was the Same,2013.0
Shot for Me,Take Care,2011.0
Legend,If You’re Reading This It’s Too Late,2015.0
Portland,More Life,2017.0
Nonstop,Scorpion,2018.0
Controlla,Views,2016.0
Gyalchester,More Life,2017.0
U With Me?,Views,2016.0
Headlines,Take Care,2011.0
Own It,Nothing Was the Same,2013.0
I’m Upset,Scorpion,2018.0
Fire & Desire,Views,2016.0
Doing It Wrong,Take Care,2011.0
Crew Love,Take Care,2012.0
Wu-Tang Forever,Nothing Was the Same,2013.0
Look What You’ve Done,Take Care,2011.0
Do Not Disturb,More Life,2017.0
Teenage Fever,More Life,2017.0
Take Care,Take Care,2011.0
The Motion,Nothing Was the Same,2013.0
Free Smoke,More Life,2017.0
Sneakin’,,2016.0
Connect,Nothing Was the Same,2013.0
Duppy Freestyle,,2018.0
Come Thru,Nothing Was the Same,2013.0
Feel No Ways,Views,2016.0
Tuscan Leather,Nothing Was the Same,2013.0
6 God,If You’re Reading This It’s Too Late,2014.0
Charged Up,,2015.0
Right Hand,,2015.0
5 AM in Toronto,Care Package,2013.0
Emotionless,Scorpion,2018.0
Company,If You’re Reading This It’s Too Late,2015.0
10 Bands,If You’re Reading This It’s Too Late,2015.0
Trophies,Young Money: Rise of an Empire,2013.0
Best I Ever Had,So Far Gone,2009.0
The Real Her,Take Care,2011.0
Chicago Freestyle,Dark Lane Demo Tapes,2020.0
Toosie Slide,Dark Lane Demo Tapes,2020.0
Days in the East,Care Package,2014.0
Keep the Family Close,Views,2016.0
Money in the Grave,The Best in the World Pack,2019.0
9,Views,2016.0
Blem,More Life,2017.0
Signs,,2017.0
Hate Sleeping Alone,Take Care,2011.0
War,Dark Lane Demo Tapes,2019.0
KMT,More Life,2017.0
Views,Views,2016.0
Faithful,Views,2016.0
Redemption,Views,2016.0
Laugh Now Cry Later,Certified Lover Boy,2020.0
Sacrifices,More Life,2017.0
6PM in New York,If You’re Reading This It’s Too Late,2015.0
Star67,If You’re Reading This It’s Too Late,2015.0
Under Ground Kings,Take Care,2011.0
Mob Ties,Scorpion,2018.0
6 Man,If You’re Reading This It’s Too Late,2015.0
Diplomatic Immunity,Scary Hours,2018.0
With You,Views,2016.0
Weston Road Flows,Views,2016.0
Cameras,Take Care,2011.0
305 to My City,Nothing Was the Same,2013.0
Preach,If You’re Reading This It’s Too Late,2015.0
No Tellin’,If You’re Reading This It’s Too Late,2015.0
Trust Issues,Care Package,2011.0
Draft Day,Care Package,2014.0
"Two Birds, One Stone",,2016.0
Practice,Take Care,2011.0
Used To,If You’re Reading This It’s Too Late,2015.0
Pop Style,Views,2016.0
Lord Knows,Take Care,2011.0
Jaded,Scorpion,2018.0
Pop Style (Single Version),,2016.0
Miss Me,Thank Me Later,2010.0
4PM in Calabasas,Care Package,2016.0
Hype,Views,2016.0
30 for 30 Freestyle,What a Time To Be Alive,2015.0
Good Ones Go (Interlude),Take Care,2011.0
You & The 6,If You’re Reading This It’s Too Late,2015.0
Make Me Proud,Take Care,2011.0
Lose You,More Life,2017.0
Buried Alive Interlude,Take Care,2011.0
Madonna,If You’re Reading This It’s Too Late,2015.0
Still Here,Views,2016.0
Now & Forever,If You’re Reading This It’s Too Late,2015.0
Over,Thank Me Later,2010.0
We’ll Be Fine,Take Care,2011.0
Sweeterman (Remix),,2015.0
Ice Melts,More Life,2017.0
The Ride,Take Care,2011.0
No Long Talk,More Life,2017.0
Club Paradise,Care Package,2011.0
Light Up,Thank Me Later,2010.0
8 Out of 10,Scorpion,2018.0
That’s How You Feel,Scorpion,2018.0
Elevate,Scorpion,2018.0
4422,More Life,2017.0
Behind Barz (Link Up TV Freestyle),Link Up TV Freestyles,2018.0
Talk Up,Scorpion,2018.0
Survival,Scorpion,2018.0
Pain 1993,Dark Lane Demo Tapes,2020.0
We Made It Freestyle,King Soulja II,2013.0
Can’t Have Everything,More Life,2017.0
Can’t Take a Joke,Scorpion,2018.0
March 14,Scorpion,2018.0
Get It Together,More Life,2017.0
Finesse,Scorpion,2018.0
Can I,Care Package,2015.0
Sandra’s Rose,Scorpion,2018.0
When to Say When,Dark Lane Demo Tapes,2020.0
Fancy,Thank Me Later,2010.0
Omertà,The Best in the World Pack,2019.0
Desires,Dark Lane Demo Tapes,2020.0
Blue Tint,Scorpion,2018.0
Dreams Money Can Buy,Care Package,2011.0
Summer Games,Scorpion,2018.0
Jorja Interlude,More Life,2017.0
Jodeci Freestyle,Care Package,2013.0
Wednesday Night Interlude,If You’re Reading This It’s Too Late,2015.0
Since Way Back,More Life,2017.0
Up All Night,Thank Me Later,2010.0
Madiba Riddim,More Life,2017.0
Fireworks,Thank Me Later,2010.0
Glow,More Life,2017.0
My Side,If You’re Reading This It’s Too Late,2015.0
Is There More,Scorpion,2018.0
Grammys,Views,2016.0
Paris Morton Music,Care Package,2010.0
Successful,So Far Gone,2009.0
Shut It Down,Thank Me Later,2010.0
November 18th,So Far Gone,2009.0
Peak,Scorpion,2018.0
The Resistance,Thank Me Later,2010.0
Time Flies,Dark Lane Demo Tapes,2020.0
After Dark,Scorpion,2018.0
Heat of the Moment,Care Package,2014.0
Final Fantasy,Scorpion,2018.0
9AM in Dallas,Thank Me Later,2010.0
Nothings Into Somethings,More Life,2017.0
Summers Over Interlude,Views,2016.0
Controlla (Leak),,2016.0
Thank Me Now,Thank Me Later,2010.0
Say What’s Real,So Far Gone,2009.0
Ratchet Happy Birthday,Scorpion,2018.0
Free Spirit,Care Package,2011.0
The Motto (Remix),Take Care,2011.0
Losses,Dark Lane Demo Tapes,2020.0
Fear,So Far Gone (EP),2009.0
Skepta Interlude,More Life,2017.0
Find Your Love,Thank Me Later,2010.0
Karaoke,Thank Me Later,2010.0
Not You Too,Dark Lane Demo Tapes,2020.0
Uptown,So Far Gone,2009.0
Unforgettable,Thank Me Later,2010.0
Ransom,Heartbreak Drake,
Demons,Dark Lane Demo Tapes,2020.0
Show Me a Good Time,Thank Me Later,2010.0
Little Bit,So Far Gone,2009.0
Behind Barz,Top Boy (A Selection of Music Inspired by the Series),2019.0
Houstatlantavegas,So Far Gone,2009.0
From Florida With Love,Dark Lane Demo Tapes,2020.0
Bria’s Interlude,So Far Gone,2009.0
The Calm,So Far Gone,2009.0
I’m Goin In,So Far Gone (EP),2009.0
I Get Lonely,Care Package,2010.0
Deep Pockets,Dark Lane Demo Tapes,2020.0
Views From The 6,,2014.0
Landed,Dark Lane Demo Tapes,2020.0
