song_a,album_a,song_b,album_b,similarity
Shape of You,÷ (Divide),Perfect,÷ (Divide),0.6613
Shape of You,÷ (Divide),Thinking Out Loud,× (Multiply),0.6086
Shape of You,÷ (Divide),Photograph,× (Multiply),0.6055
Shape of You,÷ (Divide),Give Me Love,+ (Plus),0.6239
Shape of You,÷ (Divide),Kiss Me,+ (Plus),0.6658
Shape of You,÷ (Divide),Shape of You (Stormzy Remix),,0.8803
Shape of You,÷ (Divide),I’m a Mess,× (Multiply),0.6483
Shape of You,÷ (Divide),One,× (Multiply),0.6053
Shape of You,÷ (Divide),Shape of You (Major Lazer Remix),,0.7387
Shape of You,÷ (Divide),Shape of You (Latin Remix),,0.7386
Shape of You,÷ (Divide),Shape of You / XO TOUR Llif3 2017 VMAs,,0.8486
Shape of You,÷ (Divide),Perfect (Mike Perry Remix),,0.6621
Shape of You,÷ (Divide),Drunk in Love/ 1 + 1,,0.6096
Shape of You,÷ (Divide),Amsterdam (Sweet Mary Jane),,0.6439
Shape of You,÷ (Divide),Photograph (Felix Jaehn Remix),Photograph (Remixes),0.6221
Shape of You,÷ (Divide),Diary,,0.601
Shape of You,÷ (Divide),Shape of You (Berywam Remix),Covers,0.9979
Shape of You,÷ (Divide),I Never Fell,,0.6161
Shape of You,÷ (Divide),Shape of You (NOTD Remix),,0.9395
Shape of You,÷ (Divide),Thinking Out Loud (Alex Adair Remix),,0.6165
Shape of You,÷ (Divide),Could Just Be The Bassline,,0.6137
Shape of You,÷ (Divide),Perfect (Robin Schulz Remix),,0.6677
Shape of You,÷ (Divide),Ed Talking - Intro,,0.6297
Shape of You,÷ (Divide),Thinking Out Loud (Campfire Version),Bridget Jones’s Baby (Original Motion Picture Soundtrack) ,0.6307
Shape of You,÷ (Divide),Shape of You (Galantis Remix),,0.8831
Shape of You,÷ (Divide),Make You Feel My Love (Adele Cover),,0.6108
Shape of You,÷ (Divide),Could Never Be Mad,Unreleased Songs,0.6212
Shape of You,÷ (Divide),Happier (Cazzette Remix),,0.6221
Shape of You,÷ (Divide),Shape of you -In love with the shape of you,,0.9798
Perfect,÷ (Divide),Happier,÷ (Divide),0.6238
Perfect,÷ (Divide),Thinking Out Loud,× (Multiply),0.637
Perfect,÷ (Divide),Photograph,× (Multiply),0.6192
Perfect,÷ (Divide),Kiss Me,+ (Plus),0.6939
Perfect,÷ (Divide),Hearts Don’t Break Around Here,÷ (Divide),0.6486
Perfect,÷ (Divide),I’m a Mess,× (Multiply),0.652
Perfect,÷ (Divide),Put It All on Me,No.6 Collaborations Project,0.6041
Perfect,÷ (Divide),One Life,,0.6244
Perfect,÷ (Divide),No Love for the Lonely,,0.6028
Perfect,÷ (Divide),So,You Need Me - EP,0.6125
Perfect,÷ (Divide),Perfect (Mike Perry Remix),,0.9813
Perfect,÷ (Divide),Amsterdam (Sweet Mary Jane),,0.628
Perfect,÷ (Divide),Photograph (Felix Jaehn Remix),Photograph (Remixes),0.6118
Perfect,÷ (Divide),Happier (Acoustic),,0.624
Perfect,÷ (Divide),Diary,,0.6467
Perfect,÷ (Divide),Shape of You (Berywam Remix),Covers,0.6669
Perfect,÷ (Divide),Shape of You (NOTD Remix),,0.6207
Perfect,÷ (Divide),Thinking Out Loud (Alex Adair Remix),,0.728
Perfect,÷ (Divide),Perfect (Robin Schulz Remix),,0.9792
Perfect,÷ (Divide),Ed Talking - Intro,,0.6576
Perfect,÷ (Divide),Thinking Out Loud (Campfire Version),Bridget Jones’s Baby (Original Motion Picture Soundtrack) ,0.6623
Perfect,÷ (Divide),Perfect (With Beyoncé - Live),,0.8659
Perfect,÷ (Divide),Happier (Tiësto’s AFTR:HRS Remix),,0.6268
Perfect,÷ (Divide),Make You Feel My Love (Adele Cover),,0.6383
Perfect,÷ (Divide),Someone Like You (Adele Cover),,0.6186
Perfect,÷ (Divide),Happier (Cazzette Remix),,0.6348
Perfect,÷ (Divide),Shape of you -In love with the shape of you,,0.6522
Castle on the Hill,÷ (Divide),Castle on the Hill (Nevada Remix),,1.0
Castle on the Hill,÷ (Divide),Castle On The Hill (Acoustic),,0.9935
Castle on the Hill,÷ (Divide),Castle On The Hill (NWYR Remix),,0.8238
Castle on the Hill,÷ (Divide),Castle on the Hill (Seeb Remix),,0.8329
