title,album,year
Shape of You,÷ (Divide),2017.0
Perfect,÷ (Divide),2017.0
Castle on the Hill,÷ (Divide),2017.0
Happier,÷ (Divide),2017.0
Supermarket Flowers,÷ (Divide),2017.0
Thinking Out Loud,× (Multiply),2014.0
Galway Girl,÷ (Divide),2017.0
Dive,÷ (Divide),2017.0
Photograph,× (Multiply),2014.0
Don’t,× (Multiply),2014.0
The A Team,+ (Plus),2011.0
South of the Border,No.6 Collaborations Project,2019.0
I See Fire,× (Multiply),2013.0
Beautiful People,No.6 Collaborations Project,2019.0
Eraser,÷ (Divide),2017.0
Remember the Name,No.6 Collaborations Project,2019.0
New Man,÷ (Divide),2017.0
How Would You Feel (Paean),÷ (Divide),2017.0
Afterglow,,2020.0
Nancy Mulligan,÷ (Divide),2017.0
Barcelona,÷ (Divide),2017.0
"You Need Me, I Don’t Need You (Live at The Live Room)",,2011.0
Give Me Love,+ (Plus),2012.0
Kiss Me,+ (Plus),2011.0
What Do I Know?,÷ (Divide),2017.0
Cross Me,No.6 Collaborations Project,2019.0
Shape of You (Stormzy Remix),,2017.0
Save Myself,÷ (Divide),2017.0
Lego House,+ (Plus),2011.0
Bibia Be Ye Ye,÷ (Divide),2017.0
Hearts Don’t Break Around Here,÷ (Divide),2017.0
Tenerife Sea,× (Multiply),2014.0
I’m a Mess,× (Multiply),2014.0
"You Need Me, I Don’t Need You",+ (Plus),2011.0
Sing,× (Multiply),2014.0
Take Me Back to London,No.6 Collaborations Project,2019.0
One,× (Multiply),2014.0
Bloodstream,× (Multiply),2015.0
Afire Love,× (Multiply),2014.0
Take It Back,× (Multiply),2014.0
U.N.I.,+ (Plus),2011.0
Best Part of Me,No.6 Collaborations Project,2019.0
Take Me Back To London (Remix),,2019.0
Nina,× (Multiply),2014.0
Small Bump,+ (Plus),2012.0
Wake Me Up,+ (Plus),2011.0
All of the Stars,× (Multiply),2014.0
The Man,× (Multiply),2014.0
Drunk,+ (Plus),2011.0
Runaway,× (Multiply),2014.0
Nothing on You,No.6 Collaborations Project,2019.0
Even My Dad Does Sometimes,× (Multiply),2014.0
Little Lady,No. 5 Collaborations Project - EP,2011.0
Put It All on Me,No.6 Collaborations Project,2019.0
Nando’s Skank,,2011.0
Make It Rain,× (Multiply),2014.0
Eraser (Extended F64 Version),,2017.0
The Parting Glass,+ (Plus),2011.0
