song_a,album_a,song_b,album_b,similarity
Love Yourself,Purpose (Deluxe),No Pressure,Purpose (Deluxe),0.6312
Love Yourself,Purpose (Deluxe),Never Let You Go,My World 2.0,0.6138
Love Yourself,Purpose (Deluxe),Love Yourself (Drewsome Remix),,0.7414
Love Yourself,Purpose (Deluxe),Cry me a River,,0.6372
Love Yourself,Purpose (Deluxe),Stuck In the Moment (Remix),Never Say Never: The Remixes,0.6374
Love Yourself,Purpose (Deluxe),Love Yourself (Brynny x Teddy Cream Bootleg),,0.8457
Love Yourself,Purpose (Deluxe),Cold water,,0.6035
Love Yourself,Purpose (Deluxe),Fuck Yourself (with Halsey) - Keyboard Version [Bonus Track],,0.932
Love Yourself,Purpose (Deluxe),Love Yourself - Single Version,,1.0
Love Yourself,Purpose (Deluxe),Love Yourself (Acoustic with James Bay)  - Live,,0.8305
Love Yourself,Purpose (Deluxe),Love Yourself - Acoustic (with Ed Sheeran) [Bonus Track],,0.9214
Love Yourself,Purpose (Deluxe),Love Yourself (Acoustic with Hailee Steinfeld) [Bonus Track],,0.9325
Sorry,Purpose (Deluxe),No Pressure,Purpose (Deluxe),0.6303
Sorry,Purpose (Deluxe),Sorry (Latino Remix),,0.8766
Sorry,Purpose (Deluxe),Sorry (R. City Remix),,0.6928
Sorry,Purpose (Deluxe),Sorry - Acoustic,,0.8701
Sorry,Purpose (Deluxe),Sorry - Piano Version,,0.9368
Yummy,Changes,Boyfriend,Believe,0.6552
Yummy,Changes,Hold Tight,Journals,0.6109
Yummy,Changes,Heartbreaker,Journals,0.6247
Yummy,Changes,Available,Changes,0.6263
Yummy,Changes,Swap It Out,Journals,0.6236
Yummy,Changes,Love Me Like You Do,Believe,0.6415
Yummy,Changes,Hey Girl (Unreleased),Unreleased Songs,0.6361
Yummy,Changes,One Love,Believe,0.6151
Yummy,Changes,Baby (Acoustic),My Worlds: The Collection,0.6072
Yummy,Changes,Better Without You,Unreleased Songs,0.6028
Yummy,Changes,One Time (Acoustic),My Worlds: The Collection,0.6549
Yummy,Changes,Long Way Home,Unreleased Songs,0.608
Yummy,Changes,Boyfriend (Acoustic),Believe Acoustic,0.6964
Yummy,Changes,Stay With Me Forever,Unreleased Songs,0.6738
Yummy,Changes,Hey Girl,Believe,0.6248
Yummy,Changes,Yummy (Country Remix),,0.8234
Yummy,Changes,Speaking in Tongues (Freestyle),,0.6059
Yummy,Changes,Oh Girl,Unreleased Songs,0.6169
Yummy,Changes,Beauty and a Beat (Acoustic),Believe Acoustic,0.6332
Yummy,Changes,What You Wanna Do,Unreleased Songs,0.6463
Yummy,Changes,Feel My Love,Unreleased Songs,0.6082
Yummy,Changes,Baby (Solo),Unreleased Songs,0.6027
Yummy,Changes,Picture This,Unreleased Songs,0.6329
Yummy,Changes,Boyfriend (Vice Radio),Boyfriend (Remixes),0.6339
Yummy,Changes,Don’t Say Goodbye,Unreleased Songs,0.6489
Yummy,Changes,One Time (J-Stax Remix),Never Say Never: The Remixes,0.6048
Yummy,Changes,Boyfriend (Joe Gauthreaux Dark Dub),Boyfriend (Remixes),0.6551
Yummy,Changes,Be Alright (Acoustic Version),,0.6271
