song_a,album_a,song_b,album_b,similarity
Do What U Want,ARTPOP,G.U.Y.,ARTPOP,0.6122
Do What U Want,ARTPOP,Telephone,The Fame Monster,0.6361
Do What U Want,ARTPOP,Just Dance,The Fame,0.6617
Do What U Want,ARTPOP,Yoü and I,Born This Way,0.694
Do What U Want,ARTPOP,I’ll Never Love Again (Film Version),A Star is Born (Original Motion Picture Soundtrack),0.6769
Do What U Want,ARTPOP,Cake Like Lady Gaga,Artpop Act II (Scrapped),0.6077
Do What U Want,ARTPOP,Hey Girl,Joanne,0.6687
Do What U Want,ARTPOP,Government Hooker,Born This Way,0.6217
Do What U Want,ARTPOP,Starstruck,The Fame,0.6533
Do What U Want,ARTPOP,I Like It Rough,The Fame,0.6009
Do What U Want,ARTPOP,Do What U Want (Remix),ARTPOP,0.8997
Do What U Want,ARTPOP,Joanne (Where Do You Think You’re Goin’?) [Piano Version],,0.6014
Do What U Want,ARTPOP,Do What U Want (Solo Version),Europa FM 2014,0.7921
Do What U Want,ARTPOP,Sexy Ugly,Unreleased Songs,0.6133
Do What U Want,ARTPOP,Just Dance (Demo),Unreleased Songs,0.6149
Do What U Want,ARTPOP,Do What U Want (DJWS Remix),,0.7183
Do What U Want,ARTPOP,LoveGame - Chew Fu Ghettohouse Fix,LoveGame The Remixes (International Version),0.6347
Do What U Want,ARTPOP,Do What U Want (DJ White Shadow Remix),Do What U Want (Remixes),0.9365
Do What U Want,ARTPOP,Telephone (Passion Pit Remix),The Remix,0.6845
Do What U Want,ARTPOP,Telephone (Fanmade Version),Unreleased Songs,0.6432
Do What U Want,ARTPOP,Do What U Want (Samantha Ronson Remix),Do What U Want (Remixes),0.9781
Do What U Want,ARTPOP,Do What U Want (Kronic Remix),Do What U Want (Remixes),0.9154
Do What U Want,ARTPOP,The DJ Vice Megamix,,0.6558
Do What U Want,ARTPOP,The Fierce Mama-Gaga,,0.6153
Do What U Want,ARTPOP,Do What U Want (Red Ant & Amp Lexvas Deep House Remix),Do What U Want (Remixes),0.8778
Do What U Want,ARTPOP,Do What U Want (Steven Redant Madrid Radio Remix),Do What U Want (Remixes),0.8991
Do What U Want,ARTPOP,Do What U Want (Steven Redant Barcelona Remix),Do What U Want (Remixes),0.868
Do What U Want,ARTPOP,Yoü and I - Metronomy Remix,Born This Way: The Remix,0.6973
Do What U Want,ARTPOP,Do What U Want (Steven Redant Madrid Club Remix),Do What U Want (Remixes),0.9075
Do What U Want,ARTPOP,You and ï / born this way (artRAVE paris version),,0.6757
Do What U Want,ARTPOP,Telephone (DJ Dan Vocal Remix),Telephone (The Remixes),0.6634
Always Remember Us This Way,A Star is Born (Original Motion Picture Soundtrack),Fun Tonight,Chromatica,0.6277
Always Remember Us This Way,A Star is Born (Original Motion Picture Soundtrack),No Floods,Red and Blue - EP,0.633
Always Remember Us This Way,A Star is Born (Original Motion Picture Soundtrack),Let Love Down,New Material (Mixtape),0.6324
Always Remember Us This Way,A Star is Born (Original Motion Picture Soundtrack),Weather Girl (Demo),Unreleased Songs,0.608
Bad Romance,The Fame Monster,Bad Romance (Radio Edit),,0.9014
Bad Romance,The Fame Monster,Bad Romance (Skrillex Remix),Bad Romance (The Remixes Pt. 1 & 2),0.8779
Bad Romance,The Fame Monster,Bad Romance (DJ Dan Remix),Bad Romance (The Remixes Pt. 1 & 2),0.9562
Bad Romance,The Fame Monster,Bad Romance (Starsmith Remix),Bad Romance (The Remixes Pt. 1 & 2),0.8669
Bad Romance,The Fame Monster,Bad Romance (Bimbo Jones Radio Remix),Bad Romance (The Remixes Pt. 1 & 2),0.8502
Bad Romance,The Fame Monster,Bad Romance (Chew Fu H1N1 Fix),Bad Romance (The Remixes Pt. 1 & 2),0.6994
