song_a,album_a,song_b,album_b,similarity
Only,The Pinkprint,Barbie Dreams,Queen (Bonus Version),0.7032
Only,The Pinkprint,Beez In The Trap,Pink Friday: Roman Reloaded,0.6936
Only,The Pinkprint,Lookin Ass (Lookin Ass Nigga),Young Money: Rise of an Empire,0.6912
Only,The Pinkprint,Boss Ass Bitch (Remix),,0.6093
Only,The Pinkprint,Super Bass,Pink Friday,0.6359
Only,The Pinkprint,High School,Pink Friday: Roman Reloaded - The Re-Up,0.6882
Only,The Pinkprint,Danny Glover (Remix),,0.7098
Only,The Pinkprint,Roman’s Revenge,Pink Friday,0.6106
Only,The Pinkprint,Chiraq,,0.7182
Only,The Pinkprint,Want Some More,The Pinkprint,0.6406
Only,The Pinkprint,I’m Legit,Pink Friday: Roman Reloaded - The Re-Up,0.6601
Only,The Pinkprint,LLC,Queen (Bonus Version),0.6893
Only,The Pinkprint,Rich Sex,Queen (Bonus Version),0.7138
Only,The Pinkprint,Did It On’em,Pink Friday,0.6155
Only,The Pinkprint,I Am Your Leader,Pink Friday: Roman Reloaded,0.6937
Only,The Pinkprint,Big Daddy,The Pinkprint,0.6204
Only,The Pinkprint,The Pinkprint Freestyle,,0.6171
Only,The Pinkprint,Shanghai,The Pinkprint,0.7243
Only,The Pinkprint,Win Again,The Pinkprint,0.6027
Only,The Pinkprint,Four Door Aventador,The Pinkprint,0.6578
Only,The Pinkprint,Coco Chanel,Queen (Bonus Version),0.661
Only,The Pinkprint,Roman Reloaded,Pink Friday: Roman Reloaded,0.6914
Only,The Pinkprint,Sir,Queen (Bonus Version),0.6189
Only,The Pinkprint,Champion,Pink Friday: Roman Reloaded,0.6159
Only,The Pinkprint,Gun Shot,Pink Friday: Roman Reloaded,0.6229
Only,The Pinkprint,Suge (Remix),,0.631
Only,The Pinkprint,Miami,Queen (Bonus Version),0.7234
Only,The Pinkprint,Freaky Gurl (Wanna Minaj?),Sucka Free,0.6474
Only,The Pinkprint,Go Hard,Beam Me Up Scotty,0.6168
Only,The Pinkprint,I Endorse These Strippers,Pink Friday: Roman Reloaded - The Re-Up,0.6043
Only,The Pinkprint,Warning,Playtime is Over,0.6297
Only,The Pinkprint,Roman In Moscow,,0.6144
Only,The Pinkprint,Still I Rise,Beam Me Up Scotty,0.6068
Only,The Pinkprint,Hell Yeah,Pink Friday: Roman Reloaded - The Re-Up,0.6059
Only,The Pinkprint,Roman’s Revenge 2.0,Pink Friday,0.6153
Only,The Pinkprint,Letter to Lil Wayne,,0.6019
Only,The Pinkprint,Dead Wrong,Sucka Free,0.6181
Only,The Pinkprint,Sorry,,0.6693
Only,The Pinkprint,Can Anybody Hear Me,Beam Me Up Scotty,0.6275
Only,The Pinkprint,40 Bars,Playtime is Over,0.7274
Only,The Pinkprint,Dreams ’07,Playtime is Over,0.728
Only,The Pinkprint,Jump Off ’07,Playtime is Over,0.7072
Only,The Pinkprint,Playtime Is Over,Playtime is Over,0.7008
Only,The Pinkprint,Grindin Freestyle,Sucka Free,0.7047
Only,The Pinkprint,Doin’ It Well,Sucka Free,0.7123
Only,The Pinkprint,Up All Night,,0.6506
Only,The Pinkprint,Click Clack,Playtime is Over,0.6994
Only,The Pinkprint,Sunshine,Sucka Free,0.6574
Only,The Pinkprint,Biggest Freak,Sucka Free,0.6536
Only,The Pinkprint,Press Conference,Pink Friday: Roman Reloaded,0.6594
Only,The Pinkprint,Wuchoo Know,Playtime is Over,0.6105
Only,The Pinkprint,Higher Than a Kite,Sucka Free,0.6576
Only,The Pinkprint,Curious George,Sucka Free,0.6268
Only,The Pinkprint,New Body - Verse,,0.6089
Only,The Pinkprint,Encore ’07,Playtime is Over,0.6263
Only,The Pinkprint,Sticks In My Bun,Playtime is Over,0.6989
Only,The Pinkprint,N.I.G.G.A.S,Playtime is Over,0.6606
Only,The Pinkprint,Who’s Ya Best MC?,Sucka Free,0.6381
Only,The Pinkprint,Womp Womp,Sucka Free,0.6609
Only,The Pinkprint,I’m Cumin,Playtime is Over,0.6706
Only,The Pinkprint,Letcha Go,Playtime is Over,0.6538
Only,The Pinkprint,Beef Stew,Unreleased Songs,0.6812
Only,The Pinkprint,Set It Off,Sucka Free,0.7012
Only,The Pinkprint,Here and There (Girl You Bad),,0.6256
Only,The Pinkprint,Five-O,Beam Me Up Scotty,0.6783
Only,The Pinkprint,Get Silly,Beam Me Up Scotty,0.6215
Only,The Pinkprint,I Get Money (Remix),Sucka Free,0.673
Only,The Pinkprint,I’m That Bitch,,0.6457
Only,The Pinkprint,Jumpoff / Jump-off,Unreleased Songs,0.6655
Only,The Pinkprint,Real Pimpin,,0.6079
Only,The Pinkprint,Bring it Back,Unreleased Songs,0.6267
Only,The Pinkprint,"Bossed Up, Pickle Juice",,0.6241
Only,The Pinkprint,Lollipop (Remix),Sucka Free,0.6228
Only,The Pinkprint,Dilly Dally,Playtime is Over,0.7015
Only,The Pinkprint,Swish Swish (Rap Version),,0.6152
Only,The Pinkprint,Young Money Ballaz,Sucka Free,0.6853
Only,The Pinkprint,Up All Night Nicki Verse,,0.624
Only,The Pinkprint,American Idol Fight,,0.6106
Only,The Pinkprint,I Feel Pretty (Roman’s Revenge [Alternate Version]),Unreleased Songs,0.6875
Only,The Pinkprint,Firm Biz ’08,Sucka Free,0.7856
Only,The Pinkprint,Everywhere We Go,The Unreleased Tracks,0.7038
Only,The Pinkprint,Roger That,,0.6406
Only,The Pinkprint,Long Time Comin,Sucka Free,0.6517
Only,The Pinkprint,Ease Up,Playtime is Over,0.6798
Only,The Pinkprint,Batman,,0.6657
Only,The Pinkprint,Sunshine (2007),Playtime is Over,0.6919
Only,The Pinkprint,I Get Money (Freestyle),Unreleased Songs,0.661
Only,The Pinkprint,Tambourine,Unreleased Songs,0.6907
Only,The Pinkprint,Tay- Fire Burns,,0.6777
Only,The Pinkprint,Lean Back (Nicki Minaj’s remix),Unreleased Songs,0.7009
Only,The Pinkprint,I Got Next,Unreleased Songs,0.6041
Only,The Pinkprint,Outro,Beam Me Up Scotty,0.6665
Only,The Pinkprint,President Carter Speaks,Sucka Free,0.7283
Only,The Pinkprint,Remember Me,,0.6038
Only,The Pinkprint,NickiWRLDTour (Visual Intro Europe),,0.6331
Only,The Pinkprint,Knockout,Barbie World,0.6392
Only,The Pinkprint,Miss Me (Like That),Unreleased Songs,0.7068
Only,The Pinkprint,President Carter Signs Off,Sucka Free,0.6839
Only,The Pinkprint,Super Bass (Edited),,0.6141
Only,The Pinkprint,Black Barbies,,0.6553
Only,The Pinkprint,Dirty Dub,Unreleased Songs,0.6703
Only,The Pinkprint,Four door aventador - target version,,0.6035
Only,The Pinkprint,Roman In Moscow [Edited Version] by Nicki Minaj,,0.6106
Only,The Pinkprint,Warning - 97663,,0.6475
Only,The Pinkprint,Throw Your Hands Up In The Air,,0.6391
Only,The Pinkprint,Nigga Please,,0.632
Only,The Pinkprint,Want Some More (Remix),,0.6794
Only,The Pinkprint,Get Your Paper Up,Barbie World,0.6116
Only,The Pinkprint,It’s My Party,,0.6414
Only,The Pinkprint,Easy,Barbie World,0.6082
Only,The Pinkprint,Fuck U Silly,Barbie World,0.6399
Only,The Pinkprint,Grinding Getting Money,Barbie World,0.6011
Only,The Pinkprint,Fuck The B.S,Barbie World,0.6279
Only,The Pinkprint,The Cipher,Barbie World,0.6211
Only,The Pinkprint,Shake It For Daddy,Barbie World,0.6383
Feeling Myself,The Pinkprint,Truffle Butter,The Pinkprint,0.6125
Feeling Myself,The Pinkprint,Chun-Li,Queen (Bonus Version),0.6436
Feeling Myself,The Pinkprint,Beez In The Trap,Pink Friday: Roman Reloaded,0.6102
Feeling Myself,The Pinkprint,Lookin Ass (Lookin Ass Nigga),Young Money: Rise of an Empire,0.6226
Feeling Myself,The Pinkprint,High School,Pink Friday: Roman Reloaded - The Re-Up,0.6512
Feeling Myself,The Pinkprint,Danny Glover (Remix),,0.6626
Feeling Myself,The Pinkprint,Roman’s Revenge,Pink Friday,0.6119
Feeling Myself,The Pinkprint,Buy a Heart,The Pinkprint,0.6165
Feeling Myself,The Pinkprint,Chiraq,,0.643
Feeling Myself,The Pinkprint,Want Some More,The Pinkprint,0.619
Feeling Myself,The Pinkprint,LLC,Queen (Bonus Version),0.6049
Feeling Myself,The Pinkprint,Rich Sex,Queen (Bonus Version),0.645
Feeling Myself,The Pinkprint,Bed of Lies,The Pinkprint,0.6207
Feeling Myself,The Pinkprint,Get On Your Knees,The Pinkprint,0.6132
Feeling Myself,The Pinkprint,Did It On’em,Pink Friday,0.6378
Feeling Myself,The Pinkprint,Chun Swae,Queen (Bonus Version),0.6076
Feeling Myself,The Pinkprint,I Am Your Leader,Pink Friday: Roman Reloaded,0.6308
Feeling Myself,The Pinkprint,Right By My Side,Pink Friday: Roman Reloaded,0.6635
Feeling Myself,The Pinkprint,Shanghai,The Pinkprint,0.6377
Feeling Myself,The Pinkprint,Coco Chanel,Queen (Bonus Version),0.6257
Feeling Myself,The Pinkprint,Gun Shot,Pink Friday: Roman Reloaded,0.6136
Feeling Myself,The Pinkprint,Sex in the Lounge,Pink Friday: Roman Reloaded,0.6061
Feeling Myself,The Pinkprint,Suge (Remix),,0.6502
Feeling Myself,The Pinkprint,Miami,Queen (Bonus Version),0.631
Feeling Myself,The Pinkprint,Go Hard,Beam Me Up Scotty,0.6677
Feeling Myself,The Pinkprint,Roman’s Revenge 2.0,Pink Friday,0.6115
Feeling Myself,The Pinkprint,Sorry,,0.6717
Feeling Myself,The Pinkprint,40 Bars,Playtime is Over,0.6443
Feeling Myself,The Pinkprint,Jump Off ’07,Playtime is Over,0.6342
Feeling Myself,The Pinkprint,Grindin Freestyle,Sucka Free,0.6059
Feeling Myself,The Pinkprint,Blow Ya Mind,Pink Friday,0.6226
Feeling Myself,The Pinkprint,Doin’ It Well,Sucka Free,0.66
Feeling Myself,The Pinkprint,Up All Night,,0.6168
Feeling Myself,The Pinkprint,Roman’s Revenge (Busta Rhymes Remix),,0.6015
Feeling Myself,The Pinkprint,Press Conference,Pink Friday: Roman Reloaded,0.6143
Feeling Myself,The Pinkprint,Gettin’ Paid,,0.6003
Feeling Myself,The Pinkprint,Higher Than a Kite,Sucka Free,0.621
Feeling Myself,The Pinkprint,Encore ’07,Playtime is Over,0.6119
Feeling Myself,The Pinkprint,Sticks In My Bun,Playtime is Over,0.6342
Feeling Myself,The Pinkprint,N.I.G.G.A.S,Playtime is Over,0.6036
Feeling Myself,The Pinkprint,I’m Cumin,Playtime is Over,0.6386
Feeling Myself,The Pinkprint,Letcha Go,Playtime is Over,0.6428
Feeling Myself,The Pinkprint,Set It Off,Sucka Free,0.6166
Feeling Myself,The Pinkprint,Here and There (Girl You Bad),,0.6251
Feeling Myself,The Pinkprint,I Get Money (Remix),Sucka Free,0.6048
Feeling Myself,The Pinkprint,Bring it Back,Unreleased Songs,0.6168
Feeling Myself,The Pinkprint,Dilly Dally,Playtime is Over,0.6443
Feeling Myself,The Pinkprint,Swish Swish (Rap Version),,0.6117
Feeling Myself,The Pinkprint,Young Money Ballaz,Sucka Free,0.624
Feeling Myself,The Pinkprint,Dirty Money (Freestyle),Playtime is Over,0.6013
Feeling Myself,The Pinkprint,I Feel Pretty (Roman’s Revenge [Alternate Version]),Unreleased Songs,0.6166
Feeling Myself,The Pinkprint,Firm Biz ’08,Sucka Free,0.6318
Feeling Myself,The Pinkprint,Everywhere We Go,The Unreleased Tracks,0.6798
Feeling Myself,The Pinkprint,Long Time Comin,Sucka Free,0.601
Feeling Myself,The Pinkprint,Ease Up,Playtime is Over,0.6972
Feeling Myself,The Pinkprint,Your Love (Remix),,0.6186
Feeling Myself,The Pinkprint,Sunshine (2007),Playtime is Over,0.6235
Feeling Myself,The Pinkprint,I Get Money (Freestyle),Unreleased Songs,0.6039
Feeling Myself,The Pinkprint,Tambourine,Unreleased Songs,0.6715
Feeling Myself,The Pinkprint,Tay- Fire Burns,,0.6271
Feeling Myself,The Pinkprint,Lean Back (Nicki Minaj’s remix),Unreleased Songs,0.6196
Feeling Myself,The Pinkprint,Miss Independent,,0.6281
Feeling Myself,The Pinkprint,I Just Borrow,,0.624
Feeling Myself,The Pinkprint,Feel Free,,0.7015
Feeling Myself,The Pinkprint,Miss Me (Like That),Unreleased Songs,0.6694
Feeling Myself,The Pinkprint,Black Barbies,,0.6074
Feeling Myself,The Pinkprint,Want Some More (Remix),,0.6616
Feeling Myself,The Pinkprint,Easy,Barbie World,0.6245
Feeling Myself,The Pinkprint,Fuck U Silly,Barbie World,0.6228
Feeling Myself,The Pinkprint,Fuck The B.S,Barbie World,0.6265
Feeling Myself,The Pinkprint,The Cipher,Barbie World,0.6265
Feeling Myself,The Pinkprint,Out of my face,Barbie World,0.6196
Feeling Myself,The Pinkprint,Shake It For Daddy,Barbie World,0.6192
Barbie Dreams,Queen (Bonus Version),Beez In The Trap,Pink Friday: Roman Reloaded,0.6239
Barbie Dreams,Queen (Bonus Version),Lookin Ass (Lookin Ass Nigga),Young Money: Rise of an Empire,0.6035
Barbie Dreams,Queen (Bonus Version),Boss Ass Bitch (Remix),,0.6414
Barbie Dreams,Queen (Bonus Version),Barbie Tingz,Queen (Target and Japanese Exclusive Version),0.6558
Barbie Dreams,Queen (Bonus Version),High School,Pink Friday: Roman Reloaded - The Re-Up,0.6742
Barbie Dreams,Queen (Bonus Version),Danny Glover (Remix),,0.6393
Barbie Dreams,Queen (Bonus Version),Chiraq,,0.6402
Barbie Dreams,Queen (Bonus Version),Want Some More,The Pinkprint,0.6478
