title,album,year
Only,The Pinkprint,2014.0
Feeling Myself,The Pinkprint,2015.0
Barbie Dreams,Queen (Bonus Version),2018.0
Truffle Butter,The Pinkprint,2015.0
Chun-Li,Queen (Bonus Version),2018.0
Beez In The Trap,Pink Friday: Roman Reloaded,2012.0
Anaconda,The Pinkprint,2014.0
Lookin Ass (Lookin Ass Nigga),Young Money: Rise of an Empire,2014.0
Boss Ass Bitch (Remix),,2013.0
Super Bass,Pink Friday,2011.0
Pills N Potions,The Pinkprint,2014.0
Barbie Tingz,Queen (Target and Japanese Exclusive Version),2018.0
High School,Pink Friday: Roman Reloaded - The Re-Up,2013.0
Itty Bitty Piggy,Beam Me Up Scotty,2009.0
Danny Glover (Remix),,2014.0
All Things Go,The Pinkprint,2014.0
Starships,Pink Friday: Roman Reloaded,2012.0
No Flex Zone (Remix),,2014.0
Favorite,The Pinkprint,2014.0
Moment 4 Life,Pink Friday,2010.0
Good Form,Queen (Bonus Version),2018.0
Bed,Queen (Bonus Version),2018.0
Roman’s Revenge,Pink Friday,2010.0
Buy a Heart,The Pinkprint,2014.0
Stupid Hoe,Pink Friday: Roman Reloaded,2011.0
Ganja Burn,Queen (Bonus Version),2018.0
Chiraq,,2014.0
Want Some More,The Pinkprint,2014.0
Bust Down Barbiana,,2019.0
Yikes,,2020.0
I’m Legit,Pink Friday: Roman Reloaded - The Re-Up,2012.0
The Crying Game,The Pinkprint,2014.0
LLC,Queen (Bonus Version),2018.0
Rich Sex,Queen (Bonus Version),2018.0
Bed of Lies,The Pinkprint,2014.0
Hard White,Queen (Bonus Version),2018.0
Get On Your Knees,The Pinkprint,2014.0
Did It On’em,Pink Friday,2011.0
Regret In Your Tears,#3PackFromParis,2017.0
Chun Swae,Queen (Bonus Version),2018.0
MEGATRON,,2019.0
I Am Your Leader,Pink Friday: Roman Reloaded,2012.0
I Lied,The Pinkprint,2014.0
Right By My Side,Pink Friday: Roman Reloaded,2012.0
Big Daddy,The Pinkprint,2014.0
Roman Holiday,Pink Friday: Roman Reloaded,2012.0
Trini Dem Girls,The Pinkprint,2015.0
The Pinkprint Freestyle,,2016.0
Fly,Pink Friday,2011.0
Grand Piano,The Pinkprint,2014.0
Shanghai,The Pinkprint,2014.0
Win Again,The Pinkprint,2014.0
Four Door Aventador,The Pinkprint,2014.0
Barbie Goin Bad,,2019.0
Coco Chanel,Queen (Bonus Version),2018.0
Roman Reloaded,Pink Friday: Roman Reloaded,2012.0
Come See About Me,Queen (Bonus Version),2018.0
Nip Tuck,Queen (Bonus Version),2018.0
Your Love,Barbie World,2010.0
Sir,Queen (Bonus Version),2018.0
Yasss Bish,,2014.0
Champion,Pink Friday: Roman Reloaded,2012.0
Thought I Knew You,Queen (Bonus Version),2018.0
Freedom,Pink Friday: Roman Reloaded - The Re-Up,2012.0
Come on a Cone,Pink Friday: Roman Reloaded,2012.0
The Night Is Still Young,The Pinkprint,2015.0
Good Form (Remix),Queen (Deluxe),2018.0
Gun Shot,Pink Friday: Roman Reloaded,2012.0
Sex in the Lounge,Pink Friday: Roman Reloaded,2012.0
Va Va Voom,Pink Friday: Roman Reloaded,2012.0
Pound the Alarm,Pink Friday: Roman Reloaded,2012.0
Barbie Drip,,2019.0
Blazin’,Pink Friday,2010.0
Whip It,Pink Friday: Roman Reloaded,2012.0
Suge (Remix),,2019.0
Run & Hide,Queen (Bonus Version),2018.0
Miami,Queen (Bonus Version),2018.0
Right Thru Me,Pink Friday,2010.0
HOV Lane,Pink Friday: Roman Reloaded,2012.0
Freaky Gurl (Wanna Minaj?),Sucka Free,
Autobiography,Sucka Free,2009.0
Wamables,The Pinkprint,2014.0
Save Me,Pink Friday,2010.0
Go Hard,Beam Me Up Scotty,2009.0
Up in Flames,Pink Friday: Roman Reloaded - The Re-Up,2012.0
I’m The Best,Pink Friday,2010.0
I Endorse These Strippers,Pink Friday: Roman Reloaded - The Re-Up,2012.0
Beam Me Up Scotty,Beam Me Up Scotty,2009.0
Masquerade,Pink Friday: Roman Reloaded,2012.0
Marilyn Monroe,Pink Friday: Roman Reloaded,2012.0
Warning,Playtime is Over,2007.0
Dear Old Nicki,Pink Friday,2010.0
Mona Lisa,The Pinkprint,2014.0
Roman In Moscow,,2011.0
Still I Rise,Beam Me Up Scotty,2009.0
Baddest Bitch,Sucka Free,2008.0
Put You in a Room,The Pinkprint,2014.0
I Get Crazy,Beam Me Up Scotty,2009.0
Here I Am,Pink Friday,2010.0
2 Lit 2 Late Interlude,Queen (Bonus Version),2018.0
Inspirations Outro,Queen (Bonus Version),2018.0
Hell Yeah,Pink Friday: Roman Reloaded - The Re-Up,2012.0
Beautiful Sinner,Pink Friday: Roman Reloaded,2012.0
Fire Burns,Pink Friday: Roman Reloaded,2012.0
Roman’s Revenge 2.0,Pink Friday,2011.0
Girls Fall Like Dominoes,Pink Friday,2010.0
Massive Attack,,2010.0
Regular Degular,Queen (Target and Japanese Exclusive Version),2018.0
Letter to Lil Wayne,,
Young Forever,Pink Friday: Roman Reloaded,2012.0
Muny,Pink Friday,2011.0
Dead Wrong,Sucka Free,2008.0
Sorry,,2018.0
Can Anybody Hear Me,Beam Me Up Scotty,2009.0
Automatic,Pink Friday: Roman Reloaded,2012.0
Last Chance,Pink Friday,2010.0
Tragedy,Unreleased Songs,2011.0
40 Bars,Playtime is Over,2007.0
Dreams ’07,Playtime is Over,2007.0
Jump Off ’07,Playtime is Over,2007.0
Playtime Is Over,Playtime is Over,2007.0
Envy,Beam Me Up Scotty,2009.0
Sweetest Girl (Remix),Sucka Free,2008.0
Grindin Freestyle,Sucka Free,2008.0
Blow Ya Mind,Pink Friday,2011.0
Doin’ It Well,Sucka Free,2008.0
Up All Night,,
Catch Me,Pink Friday,2010.0
Click Clack,Playtime is Over,2007.0
Roman’s Revenge (Busta Rhymes Remix),,
Girlfriend,Barbie World,2010.0
Sunshine,Sucka Free,2008.0
Biggest Freak,Sucka Free,
Press Conference,Pink Friday: Roman Reloaded,2012.0
Kill Da DJ,Beam Me Up Scotty,2009.0
Gettin’ Paid,,
Wuchoo Know,Playtime is Over,2007.0
Higher Than a Kite,Sucka Free,2008.0
Wave Ya Hand,Pink Friday,2011.0
Murda Murda,,2014.0
Cuchi Shop,Sucka Free,2008.0
Ain’t Gone Do It,,2016.0
Curious George,Sucka Free,2008.0
Make a Baby,,
New Body - Verse,,
Dirty Money,,
Encore ’07,Playtime is Over,2007.0
Keys Under Palm Trees,Beam Me Up Scotty,2009.0
Sticks In My Bun,Playtime is Over,2007.0
N.I.G.G.A.S,Playtime is Over,2007.0
Who’s Ya Best MC?,Sucka Free,2008.0
Womp Womp,Sucka Free,2008.0
I’m Cumin,Playtime is Over,2007.0
Nicki Minaj Alter Egos,,1982.0
Letcha Go,Playtime is Over,2007.0
Beef Stew,Unreleased Songs,2008.0
Set It Off,Sucka Free,2008.0
Here and There (Girl You Bad),,
Hood Story,Playtime is Over,2007.0
Five-O,Beam Me Up Scotty,2009.0
25 Things You Don’t Know About Me,,
Get Silly,Beam Me Up Scotty,2009.0
So Special,Unreleased Songs,
Good Luck,Unreleased Songs,
I Get Money (Remix),Sucka Free,2008.0
Saxon,,2010.0
1-900-Ms-Minaj,Playtime is Over,2007.0
I’m That Bitch,,2020.0
Jumpoff / Jump-off,Unreleased Songs,2007.0
Wheel of Freestyle,Wheel Of Freestyles (The Tonight Show Starring Jimmy Fallon),2019.0
Real Pimpin,,
Money*,Pink Friday 2*,
Ice Cream Man,Unreleased Songs,
Love Me,,
Bring it Back,Unreleased Songs,
"Bossed Up, Pickle Juice",,
Lollipop (Remix),Sucka Free,
Dilly Dally,Playtime is Over,2007.0
Swish Swish (Rap Version),,2017.0
Miss Me*,Pink Friday 2*,
Monsé*,,
Anaconda (LA Leakers Remix),,2014.0
I’m Back,Unreleased Songs,
We Miss You,,
Young Money Ballaz,Sucka Free,2008.0
Brraaattt,Sucka Free,2008.0
Up All Night Nicki Verse,,
Dirty Money (Freestyle),Playtime is Over,2007.0
I Love My Range Rover,Unreleased Songs,2012.0
American Idol Fight,,
Starships [Edited Version] [Edit] by Nicki Minaj,,
Getting Cake,Unreleased Songs,
