title,album,year
​​rockstar,beerbongs & bentleys,2017.0
White Iverson,Stoney (Deluxe),2015.0
Congratulations,Stoney (Deluxe),2016.0
Psycho,beerbongs & bentleys,2018.0
I Fall Apart,Stoney (Deluxe),2016.0
Circles,Hollywood’s Bleeding,2019.0
Better Now,beerbongs & bentleys,2018.0
Wow.,Hollywood’s Bleeding,2018.0
Stay,beerbongs & bentleys,2018.0
Go Flex,Stoney (Deluxe),2016.0
Candy Paint,beerbongs & bentleys,2017.0
Goodbyes,Hollywood’s Bleeding,2019.0
Deja Vu,Stoney (Deluxe),2016.0
Hollywood’s Bleeding,Hollywood’s Bleeding,2019.0
Feeling Whitney,Stoney (Deluxe),2016.0
Paranoid,beerbongs & bentleys,2018.0
Take What You Want,Hollywood’s Bleeding,2019.0
Over Now,beerbongs & bentleys,2018.0
Too Young,Stoney (Deluxe),2015.0
No Option,Stoney (Deluxe),2016.0
Die For Me,Hollywood’s Bleeding,2019.0
Rich & Sad,beerbongs & bentleys,2018.0
92 Explorer,beerbongs & bentleys,2018.0
Ball For Me,beerbongs & bentleys,2018.0
Saint-Tropez,Hollywood’s Bleeding,2019.0
Spoil My Night,beerbongs & bentleys,2018.0
Feel,Stoney (Deluxe),2016.0
Otherside,beerbongs & bentleys,2018.0
Zack and Codeine,beerbongs & bentleys,2018.0
Leave,Stoney (Deluxe),2016.0
A Thousand Bad Times,Hollywood’s Bleeding,2019.0
Same Bitches,beerbongs & bentleys,2018.0
Sugar Wraith,beerbongs & bentleys,2018.0
Enemies,Hollywood’s Bleeding,2019.0
Blame It On Me,beerbongs & bentleys,2018.0
Patient,Stoney (Deluxe),2016.0
On the Road,Hollywood’s Bleeding,2019.0
Takin’ Shots,beerbongs & bentleys,2018.0
Broken Whiskey Glass,Stoney (Deluxe),2016.0
Big Lie,Stoney (Deluxe),2016.0
Staring at the Sun,Hollywood’s Bleeding,2019.0
Allergic,Hollywood’s Bleeding,2019.0
"Yours Truly, Austin Post",Stoney (Deluxe),2016.0
Cold,Stoney (Deluxe),2016.0
Money Made Me Do It,August 26th,2016.0
I’m Gonna Be,Hollywood’s Bleeding,2019.0
Internet,Hollywood’s Bleeding,2019.0
Fuck,August 26th,2016.0
Up There,Stoney (Deluxe),2016.0
What’s Up,The Withdrawal Deux,2015.0
Myself,Hollywood’s Bleeding,2019.0
Lonely,August 26th,2016.0
I Know,Hollywood’s Bleeding,2019.0
Hit This Hard,Stoney (Deluxe),2016.0
TEAR$,,2015.0
Jonestown (Interlude),beerbongs & bentleys,2018.0
Wow. (Remix),NBA 2K20 Soundtrack,2019.0
Hollywood Dreams / Come Down,August 26th,2016.0
​​rockstar (Remix),,2017.0
No Reason (Version 1),Unreleased Songs,
Monta,August 26th,2016.0
Never Understand,August 26th,2016.0
Holyfield,,2015.0
#mood,,2015.0
That’s It,,2015.0
Boy Bandz,,2015.0
Congratulations (Remix),,2017.0
40 Funk,August 26th,2016.0
Why Don’t You Love Me,,2014.0
God Damn,August 26th,2016.0
Git Wit U,August 26th,2016.0
Oh God,August 26th,2016.0
​rockstar (Original Version),Unreleased Songs,
Spaceships on Sunsets,Unreleased Songs,
White Iverson (Remix),,2015.0
Fuck The Internet,Unreleased Songs,
Writing on the Wall (Demo),Unreleased Songs,
Remember,Unreleased Songs,
Stoned,Unreleased Songs,
SoFlo Like Antonio,,2017.0
No Reason (Version 2),Unreleased Songs,
Kurt Cobain,Unreleased Songs,
Easier,Unreleased Songs,
Red Wine & White Sheets,Unreleased Songs,
Magic,,2015.0
Overtones,Unreleased Songs,
Rockstar (Crankdat Remix),,2017.0
Japanese,Unreleased Songs,
Another Cup,,2015.0
Trembling,Unreleased Songs,
Santa Fe,,2014.0
Honest,Unreleased Songs,
Wake Me Up,Unreleased Songs,
Me Or Us (Demo),Unreleased Songs,
Maintain,Unreleased Songs,
Psycho (Remix),,
Never Change*,Unreleased Songs,
Squad,Unreleased Songs,
Take What You Want (Demo),Unreleased Songs,
"Pull Up, Ride Different",,2015.0
"Don’t Think Twice, It’s All Right",,2013.0
Whatever,,2015.0
The One,Unreleased Songs,
For Me*,Unreleased Songs,
Big Lie (Demo),Unreleased Songs,
Don’t Make Me,Unreleased Songs,
I Fall Apart (SLANDER Remix),,2017.0
Guacamole Carpet,Unreleased Songs,
Playboy Bunny,Unreleased Songs,
Feel (Demo),Unreleased Songs,
New York*,Unreleased Songs,
Belong to Me*,Unreleased Songs,
Stuntin’,Unreleased Songs,
Wow. (Demo),Unreleased Songs,
Problems,Unreleased Songs,
Too Much,Unreleased Songs,
Came Up (Original Version),,2015.0
Stoned (Diplo Remix),Unreleased Songs,
All Apologies,,2017.0
About a Girl,,2020.0
My Friends,Unreleased Songs,
In The Air,,2013.0
Stay Away,,2020.0
Enemies (Demo),Unreleased Songs,
Fuck Yeah*,Unreleased Songs,
Fuck Yeah Dude*,Unreleased Songs,
Post Malone’s Tattoos,,
Heart-Shaped Box,,2020.0
Crazy Little Thing Called Love,,2013.0
Breed,,2020.0
Ric Flair,Unreleased Songs,
Drain You,,2020.0
Killing in the Name,,2016.0
Rooftops,,2013.0
Come As You Are,,2020.0
Untitled Leon Thomas III Collab*,,
Nothing Else Matters,,2017.0
Fuck The Internet (Demo),Unreleased Songs,
Very Ape,,2020.0
Frances Farmer Will Have Her Revenge On Seattle,,2020.0
Lounge Act,,2020.0
Lithium,,2020.0
Something in the Way,,2020.0
In Bloom,,2020.0
Territorial Pissings,,2020.0
School,,2020.0
