song_a,album_a,song_b,album_b,similarity
Work,ANTI,Stay,Unapologetic,0.6488
Work,ANTI,Consideration,ANTI,0.6602
Work,ANTI,Umbrella,Good Girl Gone Bad,0.6073
Work,ANTI,What’s My Name?,Loud,0.615
Work,ANTI,"Love the Way You Lie, Pt. II",Loud,0.6327
Work,ANTI,Woo,ANTI,0.6581
Work,ANTI,We Found Love,Talk That Talk,0.6156
Work,ANTI,Rehab,Good Girl Gone Bad,0.6443
Work,ANTI,Talk That Talk,Talk That Talk,0.6268
Work,ANTI,Phresh Out the Runway,Unapologetic,0.6089
Work,ANTI,Hard,Rated R,0.6204
Work,ANTI,Hate That I Love You,Good Girl Gone Bad,0.6101
Work,ANTI,Photographs,Rated R,0.6584
Work,ANTI,Hate That I Love You (K-Klassic),Good Girl Gone Bad: The Remixes,0.6142
Work,ANTI,Emergency Room [Demo],,0.6106
Work,ANTI,Spliff,,0.653
Work,ANTI,Diamonds (Pitbull Remix),,0.6272
Work,ANTI,Work (R3HAB Remix),Work (Dance Remixes)  ,0.942
Work,ANTI,"You Don’t Love Me (No, No, No)",Music of the Sun (UK Edition)  ,0.6182
Work,ANTI,Same Old Love,Unreleased Songs,0.6335
Work,ANTI,Here I Go Again,Music of the Sun (UK Edition)  ,0.6421
Work,ANTI,Crazy Little Thing Called Love,A Girl Like Me,0.6319
Work,ANTI,Dem Haters,A Girl Like Me,0.6719
Work,ANTI,"If It’s Lovin’ That You Want, Pt. 2",A Girl Like Me,0.6556
Work,ANTI,Work (Lost Kings Remix),Work (Dance Remixes)  ,0.9434
Work,ANTI,My Name Is Rihanna,This Is Rihanna (The Mixtape),0.6078
Work,ANTI,Consideration (MK Remix),Consideration (Dance Remixes),0.6604
Work,ANTI,Work (Bad Royale Remix) [Clean],Work (Dance Remixes)  ,0.9461
Work,ANTI,Consideration (James Carter Remix),Consideration (Dance Remixes),0.6205
Work,ANTI,Umbrella (Music Video Version),Good Girl Gone Bad (Japanese Deluxe Edition),0.6202
Work,ANTI,Consideration (Mangal Suvarnan Remix),Consideration (Dance Remixes),0.6499
Work,ANTI,Umbrella (Seamus Haji & Paul Emanuel),Good Girl Gone Bad: The Remixes,0.6079
Work,ANTI,Work (Bad Royale Remix),Work (Dance Remixes)  ,0.9461
Work,ANTI,Work (R3HAB Extended Remix),Work (Dance Remixes)  ,0.9416
Work,ANTI,Stay (Kygo Edit),,0.6558
Work,ANTI,Consideration (Stafford Brothers Remix),Consideration (Dance Remixes),0.6407
Work,ANTI,S&M (Dave Audé Radio),S&M (Remixes),0.61
Work,ANTI,Love on the Brain (John Blake Remix),Love on the Brain (Dance Remixes),0.6114
Work,ANTI,Hard (Chew Fu Granite Fix),Rated R: Remixed,0.6627
Work,ANTI,Work (BURNS’ Late Night Rollin Remix),Work (Dance Remixes)  ,0.97
Work,ANTI,Work (Lost Kings Extended Remix),Work (Dance Remixes)  ,0.9434
Work,ANTI,We Found Love (R3hab’s XS Remix Edit),We Found Love (The Remixes),0.6054
Work,ANTI,Hard (Jump Smokers Extended),Hard (The Remixes),0.6338
Work,ANTI,S&M (Sidney Samson Radio),S&M (Remixes),0.6555
Work,ANTI,Hard (Jody den Broeder Club Remix),Hard (The Remixes),0.641
Work,ANTI,Hard (Jump Smokers Radio Edit),Hard (The Remixes),0.6338
Work,ANTI,We Found Love (R3hab’s XS Extended Remix Edit),We Found Love (The Remixes),0.6054
Work,ANTI,Hard (Jody den Broeder Radio Edit),Hard (The Remixes),0.6399
Work,ANTI,Hard (Chew Fu Granite Fix Radio Edit),Hard (The Remixes),0.6646
Work,ANTI,Hard (Chew Fu Granite Fix Extended),Hard (The Remixes),0.6627
Work,ANTI,S&M (Joe Bermudez Chico Radio),S&M (Remixes),0.6083
Work,ANTI,You da One (Gregor Salto Vegas Edit),You da One (Remixes),0.6094
Work,ANTI,S&M (Joe Bermudez Chico Club),S&M (Remixes),0.6073
Work,ANTI,Umbrella (Travis Barker Remix),,0.6073
Love on the Brain,ANTI,Needed Me,ANTI,0.6126
Love on the Brain,ANTI,Consideration,ANTI,0.6183
Love on the Brain,ANTI,Loveeeeeee Song,Unapologetic,0.6172
Love on the Brain,ANTI,"Yeah, I Said It",ANTI,0.6291
Love on the Brain,ANTI,Woo,ANTI,0.6046
Love on the Brain,ANTI,Rehab,Good Girl Gone Bad,0.6758
Love on the Brain,ANTI,Skin,Loud,0.6127
Love on the Brain,ANTI,Nobody’s Business,Unapologetic,0.6212
Love on the Brain,ANTI,You Da One,Talk That Talk,0.6772
Love on the Brain,ANTI,No Love Allowed,Unapologetic,0.6293
Love on the Brain,ANTI,Hard,Rated R,0.6162
Love on the Brain,ANTI,Hate That I Love You,Good Girl Gone Bad,0.646
Love on the Brain,ANTI,Watch n’ Learn,Talk That Talk,0.6501
Love on the Brain,ANTI,SOS,A Girl Like Me,0.607
Love on the Brain,ANTI,Right Now,Unapologetic,0.6012
Love on the Brain,ANTI,Half of Me,Unapologetic,0.6196
Love on the Brain,ANTI,Do Ya Thang,Talk That Talk (Deluxe Edition),0.6607
Love on the Brain,ANTI,Cry,Good Girl Gone Bad,0.6152
Love on the Brain,ANTI,Complicated,Loud,0.6471
Love on the Brain,ANTI,Drunk on Love,Talk That Talk,0.6219
Love on the Brain,ANTI,If It’s Lovin’ That You Want,Music of the Sun (UK Edition)  ,0.6567
Love on the Brain,ANTI,Fading,Loud,0.6447
Love on the Brain,ANTI,We All Want Love,Talk That Talk,0.6302
Love on the Brain,ANTI,Photographs,Rated R,0.6231
Love on the Brain,ANTI,Breakin’ Dishes,Good Girl Gone Bad,0.6032
Love on the Brain,ANTI,Roc Me Out,Talk That Talk,0.6288
Love on the Brain,ANTI,Hate That I Love You (K-Klassic),Good Girl Gone Bad: The Remixes,0.6378
Love on the Brain,ANTI,Love on the Brain (Gigamesh Remix),Love on the Brain (Dance Remixes),0.834
Love on the Brain,ANTI,Sell Me Candy,Good Girl Gone Bad,0.6724
Love on the Brain,ANTI,Push Up on Me,Good Girl Gone Bad,0.6233
Love on the Brain,ANTI,Love on the Brain (Don Diablo Remix),Love on the Brain (Dance Remixes),0.7349
Love on the Brain,ANTI,Break It Off,A Girl Like Me,0.6181
Love on the Brain,ANTI,"You Don’t Love Me (No, No, No)",Music of the Sun (UK Edition)  ,0.6582
Love on the Brain,ANTI,Here I Go Again,Music of the Sun (UK Edition)  ,0.6028
Love on the Brain,ANTI,Crazy Little Thing Called Love,A Girl Like Me,0.6005
Love on the Brain,ANTI,Goodbye,Unreleased Songs,0.6362
Love on the Brain,ANTI,Let Me,Music of the Sun (UK Edition)  ,0.6358
Love on the Brain,ANTI,Used To (Nobody),Unreleased Songs,0.6361
Love on the Brain,ANTI,Don’t Even Try,This Is Rihanna (The Mixtape),0.6421
Love on the Brain,ANTI,Now I Know,Music of the Sun (UK Edition)  ,0.6269
Love on the Brain,ANTI,"If It’s Lovin’ That You Want, Pt. 2",A Girl Like Me,0.6496
Love on the Brain,ANTI,Willing to Wait,Music of the Sun (UK Edition)  ,0.6044
Love on the Brain,ANTI,Hypnotized,Music of the Sun (Japanese Edition)  ,0.6091
Love on the Brain,ANTI,The Hotness,Unreleased Songs,0.686
Love on the Brain,ANTI,Hate That I Love You (Spanglish Version),Premonición Live,0.6162
Love on the Brain,ANTI,Consideration (James Carter Remix),Consideration (Dance Remixes),0.6154
Love on the Brain,ANTI,Love on the Brain (RY X Remix),Love on the Brain (Dance Remixes),0.8127
Love on the Brain,ANTI,SOS (Music Video Version),A Girl Like Me (German Deluxe Edition Bonus Disc),0.6186
Love on the Brain,ANTI,Pose (Deadly Zoo Remix),Pose (Dance Remixes),0.6047
Love on the Brain,ANTI,You da One (Almighty Club),You da One (Remixes),0.6034
Love on the Brain,ANTI,Consideration (Stafford Brothers Remix),Consideration (Dance Remixes),0.6103
Love on the Brain,ANTI,Rude Boy (Chew Fu Vitamin S Fix),Rated R: Remixed,0.6009
Love on the Brain,ANTI,Hate That I Love You (K-Klassic Remix),Good Girl Gone Bad (Japanese Deluxe Edition),0.6166
Love on the Brain,ANTI,Love on the Brain (John Blake Remix),Love on the Brain (Dance Remixes),0.863
Love on the Brain,ANTI,Joyride,Unreleased Songs,0.6039
Love on the Brain,ANTI,Pose (Far East Movement Remix),Pose (Dance Remixes),0.613
Love on the Brain,ANTI,Hate That I Love You (Solo Version),Unreleased Songs,0.6674
Love on the Brain,ANTI,Right Now (Dyro Radio Edit),Right Now (Remixes),0.6268
Love on the Brain,ANTI,You da One (Almighty Radio),You da One (Remixes),0.7317
Love on the Brain,ANTI,You da One (Dave Audé Radio),You da One (Remixes),0.6749
Love on the Brain,ANTI,Breakin’ Dishes (Soul Seekerz Remix),Good Girl Gone Bad (Japanese Deluxe Edition),0.6016
Love on the Brain,ANTI,You da One (Gregor Salto Vegas Club),You da One (Remixes),0.6506
Love on the Brain,ANTI,Push Up On Me (Moto Blanco),Good Girl Gone Bad: The Remixes,0.6233
Love on the Brain,ANTI,You da One (Dave Audé Club),You da One (Remixes),0.6375
Love on the Brain,ANTI,You da One (Gregor Salto Amsterdam Edit),You da One (Remixes),0.6253
Love on the Brain,ANTI,Right Now (Dyro Club Mix),Right Now (Remixes),0.6268
Love on the Brain,ANTI,Push Up on Me (Moto Blanco Club Mix),Good Girl Gone Bad (Japanese Deluxe Edition),0.6206
Love on the Brain,ANTI,You da One (Gregor Salto Drum Dub),You da One (Remixes),0.6197
Love on the Brain,ANTI,You da One (Gregor Salto Vegas Edit),You da One (Remixes),0.6241
Needed Me,ANTI,"Yeah, I Said It",ANTI,0.6457
Needed Me,ANTI,Pose,ANTI,0.6337
Needed Me,ANTI,Jump,Unapologetic,0.6038
Needed Me,ANTI,Pour It Up (Remix),,0.6491
Needed Me,ANTI,Watch n’ Learn,Talk That Talk,0.6089
Needed Me,ANTI,Red Lipstick,Talk That Talk (Deluxe Edition),0.6228
Needed Me,ANTI,G4L,Rated R,0.6786
Needed Me,ANTI,Fading,Loud,0.6457
Needed Me,ANTI,Roc Me Out,Talk That Talk,0.6433
Needed Me,ANTI,Don’t Even Try,This Is Rihanna (The Mixtape),0.6441
Needed Me,ANTI,Needed Me (Salva Remix),Needed Me (Dance Remix),0.9213
Needed Me,ANTI,Needed Me (R3hab Remix),Needed Me (Dance Remix),0.9348
Needed Me,ANTI,Needed Me (W&W Remix),Needed Me (Dance Remix),0.9175
Needed Me,ANTI,Pose (Eva Shaw Remix),Pose (Dance Remixes),0.6267
Needed Me,ANTI,Pose (Deadly Zoo Remix),Pose (Dance Remixes),0.6565
Needed Me,ANTI,Sex with Me (DEVAULT Remix),Sex with Me (Dance Remixes),0.6111
Needed Me,ANTI,Pose (Far East Movement Remix),Pose (Dance Remixes),0.6747
Needed Me,ANTI,Pose (Salva Remix),Pose (Dance Remixes),0.6296
Needed Me,ANTI,Needed Me (ATTLAS Remix),Needed Me (Dance Remix),0.9433
Needed Me,ANTI,Needed Me (Cosmic Dawn Club Mix),Needed Me (Dance Remix),0.9401
Needed Me,ANTI,G4L (Chew Fu Guns In The Air Fix),Rated R: Remixed,0.6145
Needed Me,ANTI,Hard (Chew Fu Granite Fix Radio Edit),Hard (The Remixes),0.6155
Needed Me,ANTI,Needed Me (StarFox Remix) [Bonus Track],Neon Vibes - EP,0.905
Stay,Unapologetic,Consideration,ANTI,0.7181
Stay,Unapologetic,Umbrella,Good Girl Gone Bad,0.6566
Stay,Unapologetic,What’s My Name?,Loud,0.6306
Stay,Unapologetic,Loveeeeeee Song,Unapologetic,0.6256
Stay,Unapologetic,"Love the Way You Lie, Pt. II",Loud,0.7165
Stay,Unapologetic,Woo,ANTI,0.7115
Stay,Unapologetic,S&M,Loud,0.6275
Stay,Unapologetic,We Found Love,Talk That Talk,0.716
Stay,Unapologetic,Don’t Stop the Music,Good Girl Gone Bad,0.6644
Stay,Unapologetic,Rehab,Good Girl Gone Bad,0.7232
Stay,Unapologetic,Jump,Unapologetic,0.6624
Stay,Unapologetic,Talk That Talk,Talk That Talk,0.6492
