title,album,year
Work,ANTI,2016.0
Love on the Brain,ANTI,2016.0
Needed Me,ANTI,2016.0
Stay,Unapologetic,2013.0
Kiss It Better,ANTI,2016.0
Sex with Me,ANTI,2016.0
Bitch Better Have My Money,,2015.0
Consideration,ANTI,2016.0
Diamonds,Unapologetic,2012.0
Desperado,ANTI,2016.0
Umbrella,Good Girl Gone Bad,2007.0
What’s My Name?,Loud,2010.0
Same Ol’ Mistakes,ANTI,2016.0
Loveeeeeee Song,Unapologetic,2012.0
"Love the Way You Lie, Pt. II",Loud,2010.0
Higher,ANTI,2016.0
Diamonds (Remix),,2012.0
"Yeah, I Said It",ANTI,2016.0
Close to You,ANTI,2016.0
Woo,ANTI,2016.0
Man Down,Loud,2010.0
Pour It Up,Unapologetic,2012.0
Birthday Cake (Remix),Unreleased Songs,2012.0
S&M,Loud,2010.0
Never Ending,ANTI,2016.0
What Now,Unapologetic,2013.0
We Found Love,Talk That Talk,2011.0
James Joint,ANTI,2015.0
Pose,ANTI,2016.0
Only Girl (In the World),Loud,2010.0
Take a Bow,Good Girl Gone Bad: Reloaded,2008.0
Don’t Stop the Music,Good Girl Gone Bad,2007.0
Unfaithful,A Girl Like Me,2006.0
Rude Boy,Rated R,2010.0
Rehab,Good Girl Gone Bad,2008.0
Love Without Tragedy / Mother Mary,Unapologetic,2012.0
Numb,Unapologetic,2012.0
Disturbia,Good Girl Gone Bad: Reloaded,2008.0
Jump,Unapologetic,2012.0
Skin,Loud,2010.0
Sledgehammer,,2016.0
Talk That Talk,Talk That Talk,2012.0
Russian Roulette,Rated R,2009.0
Goodnight Gotham,ANTI,2016.0
Birthday Cake,Talk That Talk,2011.0
Cockiness (Love It) (Remix),Ponzi Scheme,2013.0
Te Amo,Rated R,2010.0
California King Bed,Loud,2010.0
Cockiness (Love It),Talk That Talk,2011.0
Nobody’s Business,Unapologetic,2012.0
Get It Over With,Unapologetic,2012.0
American Oxygen,,2015.0
You Da One,Talk That Talk,2011.0
Pour It Up (Remix),,
Pon de Replay,Music of the Sun (UK Edition)  ,2005.0
No Love Allowed,Unapologetic,2012.0
Phresh Out the Runway,Unapologetic,2012.0
Hard,Rated R,2009.0
Cheers (Drink to That),Loud,2010.0
Hate That I Love You,Good Girl Gone Bad,2007.0
Where Have You Been,Talk That Talk,2012.0
Watch n’ Learn,Talk That Talk,2011.0
Shut Up and Drive,Good Girl Gone Bad,2007.0
Towards the Sun,Home (Original Motion Picture Soundtrack),2015.0
SOS,A Girl Like Me,2006.0
Right Now,Unapologetic,2013.0
Stupid In Love,Rated R,2009.0
Half of Me,Unapologetic,2012.0
Raining Men,Loud,2010.0
Do Ya Thang,Talk That Talk (Deluxe Edition),2011.0
Lost in Paradise,Unapologetic,2012.0
Cry,Good Girl Gone Bad,2007.0
Good Girl Gone Bad,Good Girl Gone Bad,2007.0
Red Lipstick,Talk That Talk (Deluxe Edition),2011.0
Complicated,Loud,2010.0
Drunk on Love,Talk That Talk,2011.0
Answer,,2018.0
Dancing in the Dark,Home (Original Motion Picture Soundtrack),2015.0
ROCKSTAR 101,Rated R,2010.0
We Ride,A Girl Like Me,2006.0
Cold Case Love,Rated R,2009.0
Fool in Love,Talk That Talk (Deluxe Edition),2011.0
As Real as You and Me,Home (Original Motion Picture Soundtrack),
Wait Your Turn,Rated R,2009.0
Farewell,Talk That Talk,2011.0
If It’s Lovin’ That You Want,Music of the Sun (UK Edition)  ,2005.0
G4L,Rated R,2009.0
Fire Bomb,Rated R,2009.0
Fading,Loud,2010.0
We All Want Love,Talk That Talk,2012.0
Photographs,Rated R,2009.0
Breakin’ Dishes,Good Girl Gone Bad,2007.0
Roc Me Out,Talk That Talk,2011.0
Hate That I Love You (K-Klassic),Good Girl Gone Bad: The Remixes,2009.0
S&M (J. Cole Remix),,
Love on the Brain (Gigamesh Remix),Love on the Brain (Dance Remixes),2016.0
Emergency Room [Demo],,
P.S. (I’m Still Not Over You),A Girl Like Me,2006.0
Question Existing,Good Girl Gone Bad,2007.0
