song_a,album_a,song_b,album_b,similarity
"​thank u, next","thank u, next",​fake smile,"thank u, next",0.6043
"​thank u, next","thank u, next",​bad idea,"thank u, next",0.6117
"​thank u, next","thank u, next",Problem,My Everything,0.6074
"​thank u, next","thank u, next",​west side,Positions,0.6185
"​thank u, next","thank u, next","​thank u, next (live)",​k bye for now (swt live),0.7522
"​thank u, next","thank u, next",Problem (Wayne G Radio Edit),The Remix,0.6053
"​thank u, next","thank u, next",Problem (Dave Aude Twerk Edit),The Remix,0.614
7 rings,"thank u, next",​bloodline,"thank u, next",0.6255
7 rings,"thank u, next",​fake smile,"thank u, next",0.6005
7 rings,"thank u, next",​borderline,Sweetener,0.6035
7 rings,"thank u, next",Bad Decisions,Dangerous Woman,0.6034
7 rings,"thank u, next",7 rings (Remix),"thank u, next (Japanese Import)",0.859
7 rings,"thank u, next",7 rings (live)​,​k bye for now (swt live),0.7899
7 rings,"thank u, next",Grenade,,0.6049
7 rings,"thank u, next",Side to Side (Slushii Remix),Side to Side (Remixes),0.6031
7 rings,"thank u, next",​right there (live),​k bye for now (swt live),0.601
7 rings,"thank u, next",It Ain’t Right,Unreleased Songs,0.6021
7 rings,"thank u, next",Bad Decisions [DWT Version],,0.6036
​God is a woman,Sweetener,​pov,Positions,0.6634
​God is a woman,Sweetener,​ghostin,"thank u, next",0.6026
​God is a woman,Sweetener,Dangerous Woman,Dangerous Woman,0.6255
​God is a woman,Sweetener,​bloodline,"thank u, next",0.6047
​God is a woman,Sweetener,​better off,Sweetener,0.6515
​God is a woman,Sweetener,​get well soon,Sweetener,0.6192
​God is a woman,Sweetener,The Way,Yours Truly,0.6445
​God is a woman,Sweetener,Problem,My Everything,0.6248
​God is a woman,Sweetener,​nasty,Positions,0.6255
​God is a woman,Sweetener,Be Alright,Dangerous Woman,0.6086
​God is a woman,Sweetener,​obvious,Positions,0.6642
​God is a woman,Sweetener,​my hair,Positions,0.6382
​God is a woman,Sweetener,​love language,Positions,0.6156
​God is a woman,Sweetener,Touch It,Dangerous Woman,0.6489
​God is a woman,Sweetener,​west side,Positions,0.6937
​God is a woman,Sweetener,Knew Better / Forever Boy,Dangerous Woman,0.6149
​God is a woman,Sweetener,Bad Decisions,Dangerous Woman,0.6351
​God is a woman,Sweetener,Knew Better Part Two,,0.6215
​God is a woman,Sweetener,Only 1,My Everything,0.6594
​God is a woman,Sweetener,The Way (Spanglish Version),Yours Truly,0.6644
​God is a woman,Sweetener,The Way (Fabolous Remix),,0.6257
​God is a woman,Sweetener,The Way (Spanglish Version) [feat. J Balvin],Yours Truly,0.6531
​God is a woman,Sweetener,Quit (Demo),Unreleased Songs,0.6149
​God is a woman,Sweetener,I Won’t Say (I’m in Love),The Disney Family Singalong,0.6013
​God is a woman,Sweetener,Problem (Spanglish Version),My Everything,0.6321
​God is a woman,Sweetener,I Have Nothing,Women of Soul: In Performance at the White House,0.6302
​God is a woman,Sweetener,​god is a woman (live),​k bye for now (swt live),0.9897
​God is a woman,Sweetener,Not Afraid of Love,Unreleased Songs,0.6268
​God is a woman,Sweetener,​dangerous woman (live),​k bye for now (swt live),0.6176
​God is a woman,Sweetener,​only 1 (live),​k bye for now (swt live),0.6766
​God is a woman,Sweetener,Side to Side (Slushii Remix),Side to Side (Remixes),0.6026
​God is a woman,Sweetener,​get well soon (live),​k bye for now (swt live),0.6318
​God is a woman,Sweetener,It Ain’t Right,Unreleased Songs,0.6412
​God is a woman,Sweetener,Only Girl (In the World),,0.6074
​God is a woman,Sweetener,The Way (JdB Radio Edit),,0.602
​God is a woman,Sweetener,Right There (7th Heaven Radio Mix),The Remix,0.6093
​God is a woman,Sweetener,Rolling in the Deep,,0.6015
​God is a woman,Sweetener,Bad Decisions [DWT Version],,0.6369
​God is a woman,Sweetener,Knew Better / Forever Boy [DWT Version],,0.6067
​God is a woman,Sweetener,Right There (Ralphi Rosario Radio),The Remix,0.6384
​God is a woman,Sweetener,Side to Side (Phantoms Remix),Side to Side (Remixes),0.6371
​God is a woman,Sweetener,Problem (Dawin Remix),The Remix,0.6101
​God is a woman,Sweetener,Problem (Wayne G Radio Edit),The Remix,0.6041
​God is a woman,Sweetener,Touch It (Final Fantasy Brave Exvius Remix),,0.6415
​God is a woman,Sweetener,One Last Time (Marshmello Remix),,0.6028
​God is a woman,Sweetener,One Last Time [DWT Version],,0.6421
​God is a woman,Sweetener,Knew Better/Forever Boy (DWT First Stop Version),,0.6067
​God is a woman,Sweetener,God is a Woman (HOPEX Remix),,0.9243
​God is a woman,Sweetener,God is a Woman (Excuse me i love you LIVE),,0.9731
​God is a woman,Sweetener,One last time_Ariana_Grande_(2014),,0.6089
Side To Side,Dangerous Woman,​R.E.M.,Sweetener,0.7034
Side To Side,Dangerous Woman,Let Me Love You,Dangerous Woman,0.716
Side To Side,Dangerous Woman,​bloodline,"thank u, next",0.7352
Side To Side,Dangerous Woman,​the light is coming,Sweetener,0.6826
Side To Side,Dangerous Woman,The Way,Yours Truly,0.7737
Side To Side,Dangerous Woman,Problem,My Everything,0.7211
Side To Side,Dangerous Woman,Focus,Dangerous Woman,0.6373
Side To Side,Dangerous Woman,Everyday,Dangerous Woman,0.6535
Side To Side,Dangerous Woman,​safety net,Positions,0.7314
Side To Side,Dangerous Woman,Break Free,My Everything,0.6154
Side To Side,Dangerous Woman,34+35 (Remix),Positions (Deluxe),0.6606
Side To Side,Dangerous Woman,​borderline,Sweetener,0.7952
Side To Side,Dangerous Woman,​blazed,Sweetener,0.7166
Side To Side,Dangerous Woman,Right There,Yours Truly,0.7539
Side To Side,Dangerous Woman,Leave Me Lonely,Dangerous Woman,0.63
Side To Side,Dangerous Woman,Break Your Heart Right Back,My Everything,0.727
Side To Side,Dangerous Woman,How I Look on You,Charlie’s Angels (Original Motion Picture Soundtrack),0.6112
Side To Side,Dangerous Woman,7 rings (Remix),"thank u, next (Japanese Import)",0.7225
Side To Side,Dangerous Woman,Hands on Me,My Everything,0.6826
Side To Side,Dangerous Woman,They Don’t Know,Trolls (Original Motion Picture Soundtrack) ,0.6113
Side To Side,Dangerous Woman,Into You (Alex Ghenea Remix),,0.7104
Side To Side,Dangerous Woman,The Way (Spanglish Version),Yours Truly,0.7064
Side To Side,Dangerous Woman,The Way (Fabolous Remix),,0.7461
Side To Side,Dangerous Woman,Do You Love Me?,Unreleased Songs,0.6939
Side To Side,Dangerous Woman,The Way (Spanglish Version) [feat. J Balvin],Yours Truly,0.6982
Side To Side,Dangerous Woman,Be Alright (Demo),Unreleased Songs,0.7231
Side To Side,Dangerous Woman,Quit (Demo),Unreleased Songs,0.7139
Side To Side,Dangerous Woman,7 rings (live)​,​k bye for now (swt live),0.602
Side To Side,Dangerous Woman,​break your heart right back (live),​k bye for now (swt live),0.7527
Side To Side,Dangerous Woman,Problem (Spanglish Version),My Everything,0.718
Side To Side,Dangerous Woman,​side to side (live),​k bye for now (swt live),0.9789
Side To Side,Dangerous Woman,​the light is coming (Demo),Unreleased Songs,0.6869
Side To Side,Dangerous Woman,"​break up with your girlfriend, i’m bored (live)",​k bye for now (swt live),0.6288
Side To Side,Dangerous Woman,Almost Is Never Enough (Soundtrack Version),The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack),0.622
Side To Side,Dangerous Woman,34+35 (Remix) (Clean),,0.6653
Side To Side,Dangerous Woman,Side to Side (Slushii Remix),Side to Side (Remixes),0.9247
Side To Side,Dangerous Woman,​right there (live),​k bye for now (swt live),0.7561
Side To Side,Dangerous Woman,​the light is coming (live),​k bye for now (swt live),0.6805
Side To Side,Dangerous Woman,Let Me Love You / Baby Loves,,0.7178
Side To Side,Dangerous Woman,The Way (JdB Radio Edit),,0.7495
Side To Side,Dangerous Woman,Bang Bang (3LAU Remix),The Remix,0.7137
Side To Side,Dangerous Woman,In My Head (Music Video Version),,0.6199
Side To Side,Dangerous Woman,Right There (7th Heaven Radio Mix),The Remix,0.7665
Side To Side,Dangerous Woman,Side to Side (Phantoms Remix),Side to Side (Remixes),0.9252
Side To Side,Dangerous Woman,Problem (Dawin Remix),The Remix,0.7226
Side To Side,Dangerous Woman,Problem (Wayne G Radio Edit),The Remix,0.6914
Side To Side,Dangerous Woman,Everyday [DWT Version],,0.62
Side To Side,Dangerous Woman,Problem (Dave Aude Twerk Edit),The Remix,0.6876
Side To Side,Dangerous Woman,Miss Me*,,0.6953
Side To Side,Dangerous Woman,Problem (No Rap Version),,0.7011
Side To Side,Dangerous Woman,"Lemons, Blueberries & Strawberries",,0.6341
​​no tears left to cry,Sweetener,"​break up with your girlfriend, i’m bored","thank u, next",0.67
​​no tears left to cry,Sweetener,34+35,Positions,0.6553
​​no tears left to cry,Sweetener,​get well soon,Sweetener,0.6151
​​no tears left to cry,Sweetener,Focus,Dangerous Woman,0.6382
​​no tears left to cry,Sweetener,​nasty,Positions,0.6099
​​no tears left to cry,Sweetener,Be Alright,Dangerous Woman,0.653
​​no tears left to cry,Sweetener,​obvious,Positions,0.6086
​​no tears left to cry,Sweetener,​love language,Positions,0.6152
​​no tears left to cry,Sweetener,Touch It,Dangerous Woman,0.613
​​no tears left to cry,Sweetener,Thinking Bout You,Dangerous Woman,0.6504
​​no tears left to cry,Sweetener,​west side,Positions,0.661
​​no tears left to cry,Sweetener,Knew Better / Forever Boy,Dangerous Woman,0.6202
​​no tears left to cry,Sweetener,Bad Decisions,Dangerous Woman,0.6385
​​no tears left to cry,Sweetener,They Don’t Know,Trolls (Original Motion Picture Soundtrack) ,0.6033
​​no tears left to cry,Sweetener,Better Left Unsaid,Yours Truly,0.6337
​​no tears left to cry,Sweetener,7 rings (live)​,​k bye for now (swt live),0.6089
​​no tears left to cry,Sweetener,Stick Around,Unreleased Songs,0.6049
​​no tears left to cry,Sweetener,Suitcase,Unreleased Songs,0.6355
​​no tears left to cry,Sweetener,​​breathin (live),​k bye for now (swt live),0.6308
​​no tears left to cry,Sweetener,"​break up with your girlfriend, i’m bored (live)",​k bye for now (swt live),0.7135
​​no tears left to cry,Sweetener,​be alright (live),​k bye for now (swt live),0.6619
​​no tears left to cry,Sweetener,​get well soon (live),​k bye for now (swt live),0.6308
​​no tears left to cry,Sweetener,​break free (live),​k bye for now (swt live),0.6158
​​no tears left to cry,Sweetener,​​no tears left to cry (live),​k bye for now (swt live),0.9698
​​no tears left to cry,Sweetener,Into You (3LAU Remix),,0.6019
​​no tears left to cry,Sweetener,Bang Bang (3LAU Remix),The Remix,0.6085
​​no tears left to cry,Sweetener,Into You / Dangerous Woman Medley,,0.6034
​​no tears left to cry,Sweetener,Bad Decisions [DWT Version],,0.6278
​​no tears left to cry,Sweetener,Touch It (Final Fantasy Brave Exvius Remix),,0.6229
​​no tears left to cry,Sweetener,Prelude / Be Alright [DWT Version],,0.654
​​no tears left to cry,Sweetener,34+35 (DJ Siembab Remix),Remixes by DJ Siembab,0.6269
​​no tears left to cry,Sweetener,34+35 - COPY,,0.6646
​​breathin,Sweetener,Dangerous Woman,Dangerous Woman,0.6253
​​breathin,Sweetener,Focus,Dangerous Woman,0.6174
​​breathin,Sweetener,​love language,Positions,0.6162
​​breathin,Sweetener,Touch It,Dangerous Woman,0.624
​​breathin,Sweetener,​​breathin (live),​k bye for now (swt live),0.8192
​​breathin,Sweetener,​get well soon (live),​k bye for now (swt live),0.6026
​​breathin,Sweetener,It Ain’t Right,Unreleased Songs,0.6066
​​breathin,Sweetener,Love Me Harder/breathin,Ariana Grande,0.8376
​​breathin,Sweetener,Breathin (SG Lewis Remix),,0.7881
"​break up with your girlfriend, i’m bored","thank u, next",Dangerous Woman,Dangerous Woman,0.6019
"​break up with your girlfriend, i’m bored","thank u, next",​bloodline,"thank u, next",0.6343
"​break up with your girlfriend, i’m bored","thank u, next",​goodnight n go,Sweetener,0.615
"​break up with your girlfriend, i’m bored","thank u, next",​bad idea,"thank u, next",0.6281
"​break up with your girlfriend, i’m bored","thank u, next",​make up,"thank u, next",0.6414
"​break up with your girlfriend, i’m bored","thank u, next",​get well soon,Sweetener,0.6945
"​break up with your girlfriend, i’m bored","thank u, next",The Way,Yours Truly,0.6165
"​break up with your girlfriend, i’m bored","thank u, next",Focus,Dangerous Woman,0.6445
"​break up with your girlfriend, i’m bored","thank u, next",​nasty,Positions,0.6602
"​break up with your girlfriend, i’m bored","thank u, next",​shut up,Positions,0.6083
"​break up with your girlfriend, i’m bored","thank u, next",​obvious,Positions,0.6226
"​break up with your girlfriend, i’m bored","thank u, next",​borderline,Sweetener,0.6314
"​break up with your girlfriend, i’m bored","thank u, next",Touch It,Dangerous Woman,0.6447
"​break up with your girlfriend, i’m bored","thank u, next",Thinking Bout You,Dangerous Woman,0.6099
"​break up with your girlfriend, i’m bored","thank u, next",​west side,Positions,0.6353
"​break up with your girlfriend, i’m bored","thank u, next",Sometimes,Dangerous Woman,0.6047
"​break up with your girlfriend, i’m bored","thank u, next",Bad Decisions,Dangerous Woman,0.6266
"​break up with your girlfriend, i’m bored","thank u, next",How I Look on You,Charlie’s Angels (Original Motion Picture Soundtrack),0.6194
"​break up with your girlfriend, i’m bored","thank u, next",Better Left Unsaid,Yours Truly,0.6469
"​break up with your girlfriend, i’m bored","thank u, next",Ridiculous,Unreleased Songs,0.6223
"​break up with your girlfriend, i’m bored","thank u, next",Too Close,My Everything,0.6448
"​break up with your girlfriend, i’m bored","thank u, next",Ain’t About What You Got,Unreleased Songs,0.696
"​break up with your girlfriend, i’m bored","thank u, next",Stick Around,Unreleased Songs,0.6257
"​break up with your girlfriend, i’m bored","thank u, next",​side to side (live),​k bye for now (swt live),0.6208
"​break up with your girlfriend, i’m bored","thank u, next",Suitcase,Unreleased Songs,0.6093
"​break up with your girlfriend, i’m bored","thank u, next",​bad idea (live),​k bye for now (swt live),0.6205
"​break up with your girlfriend, i’m bored","thank u, next","​break up with your girlfriend, i’m bored (live)",​k bye for now (swt live),0.9441
"​break up with your girlfriend, i’m bored","thank u, next",​goodnight n go (live),​k bye for now (swt live),0.6237
"​break up with your girlfriend, i’m bored","thank u, next",Side to Side (Slushii Remix),Side to Side (Remixes),0.6338
"​break up with your girlfriend, i’m bored","thank u, next",​make up (live),​k bye for now (swt live),0.6541
"​break up with your girlfriend, i’m bored","thank u, next",​get well soon (live),​k bye for now (swt live),0.7023
"​break up with your girlfriend, i’m bored","thank u, next",​break free (live),​k bye for now (swt live),0.6004
"​break up with your girlfriend, i’m bored","thank u, next",​​no tears left to cry (live),​k bye for now (swt live),0.6522
"​break up with your girlfriend, i’m bored","thank u, next",Just For Now,,0.622
"​break up with your girlfriend, i’m bored","thank u, next",​lovin’ you lately,,0.6238
"​break up with your girlfriend, i’m bored","thank u, next",Bang Bang (3LAU Remix),The Remix,0.6287
"​break up with your girlfriend, i’m bored","thank u, next",Goodnight n go (live at the BBC),,0.6057
"​break up with your girlfriend, i’m bored","thank u, next",Bad Decisions [DWT Version],,0.6207
"​break up with your girlfriend, i’m bored","thank u, next",Side to Side (Phantoms Remix),Side to Side (Remixes),0.6478
"​break up with your girlfriend, i’m bored","thank u, next",​love u (StarFox Remix),Love U - EP,0.6605
​positions,Positions,​goodnight n go,Sweetener,0.6016
​positions,Positions,The Way,Yours Truly,0.6018
​positions,Positions,​nasty,Positions,0.6058
​positions,Positions,​obvious,Positions,0.6473
​positions,Positions,​borderline,Sweetener,0.6473
​positions,Positions,Bad Decisions,Dangerous Woman,0.6023
​positions,Positions,How I Look on You,Charlie’s Angels (Original Motion Picture Soundtrack),0.6168
​positions,Positions,Only 1,My Everything,0.6077
​positions,Positions,Step on Up,Dangerous Woman,0.62
​positions,Positions,Into You (Alex Ghenea Remix),,0.6283
​positions,Positions,​goodnight n go (live),​k bye for now (swt live),0.6017
