song_a,album_a,song_b,album_b,similarity
Drunk in Love,BEYONCÉ,Formation,Lemonade,0.6066
Drunk in Love,BEYONCÉ,Partition,BEYONCÉ,0.6226
Drunk in Love,BEYONCÉ,Mine,BEYONCÉ,0.6079
Drunk in Love,BEYONCÉ,***Flawless (Remix),BEYONCÉ (Platinum Edition),0.6024
Drunk in Love,BEYONCÉ,Freedom,Lemonade,0.6114
Drunk in Love,BEYONCÉ,Don’t Hurt Yourself,Lemonade,0.6337
Drunk in Love,BEYONCÉ,Drunk in Love (Remix),BEYONCÉ (Platinum Edition),0.6249
Drunk in Love,BEYONCÉ,Countdown,4,0.6258
Drunk in Love,BEYONCÉ,Crazy in Love,Dangerously In Love,0.6545
Drunk in Love,BEYONCÉ,Blue,BEYONCÉ,0.6475
Drunk in Love,BEYONCÉ,Superpower,BEYONCÉ,0.6007
Drunk in Love,BEYONCÉ,Party,4,0.6704
Drunk in Love,BEYONCÉ,Before I Let Go,HOMECOMING: THE LIVE ALBUM,0.6287
Drunk in Love,BEYONCÉ,Yoncé,,0.601
Drunk in Love,BEYONCÉ,Baby Boy,Dangerously In Love,0.6456
Drunk in Love,BEYONCÉ,Déjà Vu,B’Day,0.6507
Drunk in Love,BEYONCÉ,Wake Up,Unreleased Songs ,0.6713
Drunk in Love,BEYONCÉ,Check on It (LP Version),Speak My Mind (Mixtape),0.7009
Drunk in Love,BEYONCÉ,Naughty Girl,Dangerously In Love,0.6232
Drunk in Love,BEYONCÉ,Party (Remix),,0.6633
Drunk in Love,BEYONCÉ,Check on It,B’Day (Deluxe Edition),0.7009
Drunk in Love,BEYONCÉ,Standing on the Sun Remix,BEYONCÉ (Platinum Edition),0.6743
Drunk in Love,BEYONCÉ,Speechless,Dangerously In Love,0.6249
Drunk in Love,BEYONCÉ,Video Phone (Extended Remix),I Am... Sasha Fierce,0.7003
Drunk in Love,BEYONCÉ,Mi Gente [Homecoming Live],HOMECOMING: THE LIVE ALBUM,0.6114
Drunk in Love,BEYONCÉ,Partition (Remix) [Live at On the Run Tour],,0.6338
Drunk in Love,BEYONCÉ,Jealous (Remix),,0.6417
Drunk in Love,BEYONCÉ,Blow Remix,BEYONCÉ (Platinum Edition),0.6397
Drunk in Love,BEYONCÉ,Summertime,Speak My Mind (Mixtape),0.6443
Drunk in Love,BEYONCÉ,I Been On (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6119
Drunk in Love,BEYONCÉ,Formation (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.612
Drunk in Love,BEYONCÉ,A Woman Like Me,,0.613
Drunk in Love,BEYONCÉ,Sexy Lil’ Thug (Remix),Speak My Mind (Mixtape),0.6668
Drunk in Love,BEYONCÉ,Drunk In Love (T.I. Remix),,0.6652
Drunk in Love,BEYONCÉ,Welcome to Hollywood,B’Day (Deluxe Edition),0.6746
Drunk in Love,BEYONCÉ,If Looks Could Kill (You Would Be Dead),MTV’s Hip Hopera Soundtrack: Carmen,0.6156
Drunk in Love,BEYONCÉ,Déjà Vu (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6678
Drunk in Love,BEYONCÉ,Drunk in Love (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.9198
Drunk in Love,BEYONCÉ,7/11 (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6012
Drunk in Love,BEYONCÉ,Dance For You (Remix),,0.7073
Drunk in Love,BEYONCÉ,Crazy in Love (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6617
Drunk in Love,BEYONCÉ,Get Me Bodied (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6792
Drunk in Love,BEYONCÉ,Countdown (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6282
Drunk in Love,BEYONCÉ,Naughty Girl (Remix),Live at Wembley,0.712
Drunk in Love,BEYONCÉ,Baby Boy (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6462
Drunk in Love,BEYONCÉ,Check on It (Homecoming Live),HOMECOMING: THE LIVE ALBUM,0.6431
Drunk in Love,BEYONCÉ,What’s It Gonna Be,Dangerously In Love,0.6299
Drunk in Love,BEYONCÉ,Crazy In Love (Live In Brooklyn),I Am... World Tour,0.6688
Drunk in Love,BEYONCÉ,Fingertips/Master Blaster (Jammin’)/Higher Ground [Live at the ”Stevie Wonder Tribute ’Songs In The Key of Life”],,0.6297
Drunk in Love,BEYONCÉ,The Last Great Seduction,MTV’s Hip Hopera Soundtrack: Carmen,0.6656
Drunk in Love,BEYONCÉ,FIND YOUR WAY BACK (MeLo-X Remix),The Lion King: The Gift [Deluxe Edition],0.6512
Drunk in Love,BEYONCÉ,Keep Giving Your Love To Me,Speak My Mind (Mixtape),0.7024
Drunk in Love,BEYONCÉ,Stop That!,MTV’s Hip Hopera Soundtrack: Carmen,0.6948
Drunk in Love,BEYONCÉ,Countdown (Isa Machine Remix),4: The Remix - EP,0.6245
Drunk in Love,BEYONCÉ,Irreplaceable (Trina Remix),,0.656
Drunk in Love,BEYONCÉ,Check On It [Bama Boyz Remix],,0.7009
Drunk in Love,BEYONCÉ,Baby Boy [Junior’s World Mixshow],Live at Wembley,0.6251
Drunk in Love,BEYONCÉ,Crazy In Love (Without Rap),,0.6435
Drunk in Love,BEYONCÉ,Baby Boy Medley (The Beyonce Experience Live),The Beyoncé Experience Live,0.6366
Drunk in Love,BEYONCÉ,The Spot (Jail),MTV’s Hip Hopera Soundtrack: Carmen,0.6333
Drunk in Love,BEYONCÉ,Deja Vu (No Rap Version)‎,,0.6596
Drunk in Love,BEYONCÉ,Crazy In Love (The Beyonce Experience Live),The Beyoncé Experience Live,0.6372
Drunk in Love,BEYONCÉ,In da Club (Sexy Lil Thug),,0.6567
Drunk in Love,BEYONCÉ,Déjà Vu (Freemasons Radio - with Rap),,0.6478
Drunk in Love,BEYONCÉ,Naughty girl - live,I Am... World Tour,0.6363
Drunk in Love,BEYONCÉ,Crazy In Love [Rockwilder Remix],,0.6336
Drunk in Love,BEYONCÉ,Naughty Girl Medley (The Beyonce Experience Live),The Beyoncé Experience Live,0.6363
Drunk in Love,BEYONCÉ,Naughty Girl (Lil Flip Remix),,0.6686
Drunk in Love,BEYONCÉ,Baby Boy (Alternate Version),,0.6383
Drunk in Love,BEYONCÉ,Baby Boy (Live),I Am... World Tour,0.6544
Drunk in Love,BEYONCÉ,"You Don’t Love Me, No,No,No (Live)",I Am... World Tour,0.6137
Drunk in Love,BEYONCÉ,Check On It (Live),I Am... World Tour,0.7009
Drunk in Love,BEYONCÉ,Speechless (Beyoncé Experience Live),The Beyoncé Experience Live,0.6251
Drunk in Love,BEYONCÉ,Suga Mama (Beyoncé Experience Live),The Beyoncé Experience Live,0.6444
Drunk in Love,BEYONCÉ,Get Me Bodied (Beyoncé Experience Live),The Beyoncé Experience Live,0.659
Drunk in Love,BEYONCÉ,Naughty Girl [Calderone Quayle Club Mix],Live at Wembley,0.6518
Drunk in Love,BEYONCÉ,Partition Remix (Unreleased),,0.6259
Drunk in Love,BEYONCÉ,Deja Vu (Beyoncé Experience Live),The Beyoncé Experience Live,0.6339
Drunk in Love,BEYONCÉ,Welcome to Hollywood (Beyoncé Experience Live),The Beyoncé Experience Live,0.6746
Drunk in Love,BEYONCÉ,Baby Boy (Alternative Version),,0.6398
