song_a,album_a,song_b,album_b,similarity
Dynamite,BE,FIRE (Japanese Ver.),YOUTH,0.6145
Dynamite,BE,Dynamite (EDM Remix),Dynamite (DayTime Version),0.9506
Dynamite,BE,Dynamite (Acoustic Remix),Dynamite (DayTime Version),0.9934
Dynamite,BE,Dynamite (Tropical Remix),Dynamite (DayTime Version),0.9681
Dynamite,BE,Dynamite (Holiday Remix),,0.94
Dynamite,BE,Dynamite (Bedroom Remix),Dynamite (NightTime Version),0.9889
Dynamite,BE,Dynamite (Poolside Remix),Dynamite (DayTime Version),0.9476
Dynamite,BE,Dynamite (Slow Jam Remix),Dynamite (NightTime Version),0.9934
Dynamite,BE,Dynamite (Retro Remix),Dynamite (NightTime Version),0.9261
Dynamite,BE,Dynamite (Midnight Remix),Dynamite (NightTime Version),0.9934
Dynamite,BE,Dynamite (’70s Remix),,0.9934
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,0.6485
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,ON,MAP OF THE SOUL: 7,0.6069
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Best of Me,Love Yourself 承 ‘Her’,0.7042
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Love Maze,LOVE YOURSELF 轉 ‘Tear’,0.6208
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,So What,LOVE YOURSELF 轉 ‘Tear’,0.601
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,I NEED U,"화양연화 pt.1 (The Most Beautiful Moment In Life, Pt.1)",0.6706
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Heartbeat,BTS WORLD (Original Soundtrack),0.6165
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Epiphany,LOVE YOURSELF 結 ‘Answer’,0.641
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,House of Cards (Full Length Edition),화양연화 Young Forever (The Most Beautiful Moment In Life: Young Forever),0.6155
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Save ME,화양연화 Young Forever (The Most Beautiful Moment In Life: Young Forever),0.6469
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,시차 (My Time),MAP OF THE SOUL: 7,0.6102
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,We Are Bulletproof : The Eternal,MAP OF THE SOUL: 7,0.6021
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,호르몬 전쟁 (War of Hormone),Dark&Wild,0.6447
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Serendipity (Full Length Edition),LOVE YOURSELF 結 ‘Answer’,0.6015
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,21세기 소녀 (21st Century Girl),WINGS,0.6125
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Trivia 承: Love,LOVE YOURSELF 結 ‘Answer’,0.6109
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Stay,BE,0.6303
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Am I Wrong,WINGS,0.6543
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Outro: Wings,You Never Walk Alone,0.6119
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,좋아요 (I Like It),2 Cool 4 Skool,0.7266
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,FAKE LOVE - Japanese ver.,MAP OF THE SOUL: 7 ~ The Journey ~,0.6092
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,IDOL (Remix),LOVE YOURSELF 結 ‘Answer’,0.639
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Miss Right,Skool Luv Affair (Special Addition),0.623
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,IONIQ: I’m on it,,0.6201
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,ON (Remix),MAP OF THE SOUL: 7,0.6247
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Intro: What am I to You,Dark&Wild,0.6106
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Outro: Propose,Skool Luv Affair,0.6303
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Her,LOVE YOURSELF 結 ‘Answer’,0.6191
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Danger (Mo-Blue-Mix),Danger (Mo-Blue-Mix) [feat. THANH] - Single,0.6174
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,OUTRO: LUV IN SKOOL,"O!RUL8,2?",0.7038
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,FAKE LOVE (Rocking Vibe Mix),LOVE YOURSELF 結 ‘Answer’,0.9621
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,Seesaw X I NEED U REMIX,SoundCloud Releases,0.6189
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,좋아요 (I Like It) (Slow Jam Remix),Skool Luv Affair (Special Addition),0.7266
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,The Truth Untold (Steve Aoki Remix),,0.6516
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,I NEED U (Urban Mix),화양연화 Young Forever (The Most Beautiful Moment In Life: Young Forever),0.6517
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,I NEED U (Remix),화양연화 Young Forever (The Most Beautiful Moment In Life: Young Forever),0.6244
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,IDOL (Stadium Remix),Fake Love/Airplane pt.2,0.6025
FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,You’re so Beautiful,,0.6037
MIC Drop (Steve Aoki Remix),,MIC Drop,Love Yourself 承 ‘Her’,0.8776
MIC Drop (Steve Aoki Remix),,MIC Drop [Steve Aoki Remix] (Full Length Edition),LOVE YOURSELF 結 ‘Answer’,0.8085
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,봄날 (Spring Day),You Never Walk Alone,0.6349
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Intro: Serendipity (세렌디피티),Love Yourself 承 ‘Her’,0.7581
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Euphoria,LOVE YOURSELF 結 ‘Answer’,0.6971
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Airplane pt.2,LOVE YOURSELF 轉 ‘Tear’,0.6312
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Magic Shop,LOVE YOURSELF 轉 ‘Tear’,0.6839
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,작은 것들을 위한 시 (Boy With Luv),MAP OF THE SOUL: PERSONA,0.6642
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Intro: Singularity,LOVE YOURSELF 轉 ‘Tear’,0.6393
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,ON,MAP OF THE SOUL: 7,0.7776
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Best of Me,Love Yourself 承 ‘Her’,0.739
전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,Life Goes On,BE,0.7141
