song_a,album_a,song_b,album_b,similarity
WAP,,Bodak Yellow,Invasion of Privacy,0.6559
WAP,,Bartier Cardi,Invasion of Privacy,0.6823
WAP,,Money,,0.6635
WAP,,Press,,0.6918
WAP,,I Do,Invasion of Privacy,0.6565
WAP,,Thru Your Phone,Invasion of Privacy,0.6494
WAP,,Drip,Invasion of Privacy,0.6353
WAP,,Ring,Invasion of Privacy,0.6394
WAP,,Get Up 10,Invasion of Privacy,0.6432
WAP,,Best Life,Invasion of Privacy,0.6073
WAP,,Bickenhead,Invasion of Privacy,0.6114
WAP,,WAP (Clean),,0.9196
WAP,,Money Bag,Invasion of Privacy,0.7034
WAP,,Red Barz,,0.6574
WAP,,Foreva,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6461
WAP,,Lick,"Gangsta Bitch Music, Vol. 2",0.6954
WAP,,Up,CB2,0.6313
WAP,,Washpoppin,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.7001
WAP,,On Fleek,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6008
WAP,,Pull Up,"Gangsta Bitch Music, Vol. 2",0.6299
WAP,,Lick (Remix),"Gangsta Bitch Music, Vol. 2",0.7105
WAP,,Bodak Yellow (Remix),,0.6538
WAP,,Lit Thot,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6004
WAP,,Back It Up,"Gangsta Bitch Music, Vol. 2",0.6748
WAP,,Hectic,"Gangsta Bitch Music, Vol. 2",0.7074
WAP,,Stripper Hoe,,0.6745
WAP,,Bronx Season,"Gangsta Bitch Music, Vol. 2",0.6112
WAP,,WAP (Demo),,0.6373
WAP,,Leave That Bitch Alone,"Gangsta Bitch Music, Vol. 2",0.7334
WAP,,What A Girl Likes,,0.619
WAP,,Styling*,CB2,0.6518
WAP,,I Like It (Kontra K & AK Ausserkontrolle Remix),,0.6269
WAP,,Pop Off,"Gangsta Bitch Music, Vol. 2",0.6688
WAP,,How I Do,"Gangsta Bitch Music, Vol. 2",0.7021
WAP,,Booty*,CB2,0.6897
WAP,,Rollin,"Gangsta Bitch Music, Vol. 2",0.6486
WAP,,Respect,CB2,0.6049
WAP,,11/18/19 Freestyle,,0.7047
WAP,,Bartier Cardi (Original),Unreleased Songs,0.7134
WAP,,WAP (Worship and Prayer),,0.6068
WAP,,Do Me Dat Remix (Region Liberty Records / Atlantic Records),,0.7175
Bodak Yellow,Invasion of Privacy,Bartier Cardi,Invasion of Privacy,0.6077
Bodak Yellow,Invasion of Privacy,Money,,0.7054
Bodak Yellow,Invasion of Privacy,Press,,0.6913
Bodak Yellow,Invasion of Privacy,I Do,Invasion of Privacy,0.7133
Bodak Yellow,Invasion of Privacy,Drip,Invasion of Privacy,0.6004
Bodak Yellow,Invasion of Privacy,Get Up 10,Invasion of Privacy,0.7552
Bodak Yellow,Invasion of Privacy,Bickenhead,Invasion of Privacy,0.6756
Bodak Yellow,Invasion of Privacy,WAP (Clean),,0.6018
Bodak Yellow,Invasion of Privacy,Money Bag,Invasion of Privacy,0.6759
Bodak Yellow,Invasion of Privacy,Red Barz,,0.7015
Bodak Yellow,Invasion of Privacy,Foreva,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6359
Bodak Yellow,Invasion of Privacy,Lick,"Gangsta Bitch Music, Vol. 2",0.7456
Bodak Yellow,Invasion of Privacy,Up,CB2,0.6276
Bodak Yellow,Invasion of Privacy,Washpoppin,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.7512
Bodak Yellow,Invasion of Privacy,On Fleek,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6658
Bodak Yellow,Invasion of Privacy,Pull Up,"Gangsta Bitch Music, Vol. 2",0.6534
Bodak Yellow,Invasion of Privacy,Cheap Ass Weave,,0.6574
Bodak Yellow,Invasion of Privacy,Lick (Remix),"Gangsta Bitch Music, Vol. 2",0.659
Bodak Yellow,Invasion of Privacy,Bodak Yellow (Remix),,0.837
Bodak Yellow,Invasion of Privacy,Lit Thot,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6693
Bodak Yellow,Invasion of Privacy,Hectic,"Gangsta Bitch Music, Vol. 2",0.7283
Bodak Yellow,Invasion of Privacy,Stripper Hoe,,0.7285
Bodak Yellow,Invasion of Privacy,Bronx Season,"Gangsta Bitch Music, Vol. 2",0.6915
Bodak Yellow,Invasion of Privacy,With That,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6012
Bodak Yellow,Invasion of Privacy,Leave That Bitch Alone,"Gangsta Bitch Music, Vol. 2",0.7132
Bodak Yellow,Invasion of Privacy,B.O.N,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6152
Bodak Yellow,Invasion of Privacy,What A Girl Likes,,0.6552
Bodak Yellow,Invasion of Privacy,Styling*,CB2,0.7003
Bodak Yellow,Invasion of Privacy,I Like It (Kontra K & AK Ausserkontrolle Remix),,0.6654
Bodak Yellow,Invasion of Privacy,Pop Off,"Gangsta Bitch Music, Vol. 2",0.6759
Bodak Yellow,Invasion of Privacy,How I Do,"Gangsta Bitch Music, Vol. 2",0.7391
Bodak Yellow,Invasion of Privacy,Booty*,CB2,0.6925
Bodak Yellow,Invasion of Privacy,Rollin,"Gangsta Bitch Music, Vol. 2",0.6612
Bodak Yellow,Invasion of Privacy,Sick 16 (Freestyle),,0.6028
Bodak Yellow,Invasion of Privacy,Respect,CB2,0.6907
Bodak Yellow,Invasion of Privacy,11/18/19 Freestyle,,0.7479
Bodak Yellow,Invasion of Privacy,Bartier Cardi (Original),Unreleased Songs,0.6431
Bodak Yellow,Invasion of Privacy,Broke,,0.621
Bodak Yellow,Invasion of Privacy,Do Me Dat Remix (Region Liberty Records / Atlantic Records),,0.6765
Bartier Cardi,Invasion of Privacy,Press,,0.6379
Bartier Cardi,Invasion of Privacy,Thru Your Phone,Invasion of Privacy,0.6412
Bartier Cardi,Invasion of Privacy,Drip,Invasion of Privacy,0.6299
Bartier Cardi,Invasion of Privacy,WAP (Clean),,0.6356
Bartier Cardi,Invasion of Privacy,Money Bag,Invasion of Privacy,0.6828
Bartier Cardi,Invasion of Privacy,Lick,"Gangsta Bitch Music, Vol. 2",0.6255
Bartier Cardi,Invasion of Privacy,Lick (Remix),"Gangsta Bitch Music, Vol. 2",0.64
Bartier Cardi,Invasion of Privacy,Bodak Yellow (Remix),,0.61
Bartier Cardi,Invasion of Privacy,Hectic,"Gangsta Bitch Music, Vol. 2",0.6682
Bartier Cardi,Invasion of Privacy,Leave That Bitch Alone,"Gangsta Bitch Music, Vol. 2",0.6799
Bartier Cardi,Invasion of Privacy,Styling*,CB2,0.6154
Bartier Cardi,Invasion of Privacy,I Like It (Kontra K & AK Ausserkontrolle Remix),,0.6009
Bartier Cardi,Invasion of Privacy,Pop Off,"Gangsta Bitch Music, Vol. 2",0.606
Bartier Cardi,Invasion of Privacy,How I Do,"Gangsta Bitch Music, Vol. 2",0.6587
Bartier Cardi,Invasion of Privacy,Booty*,CB2,0.6171
Bartier Cardi,Invasion of Privacy,Bartier Cardi (Original),Unreleased Songs,0.9004
Bartier Cardi,Invasion of Privacy,Thru Your Phone (Clean),,0.619
Bartier Cardi,Invasion of Privacy,Do Me Dat Remix (Region Liberty Records / Atlantic Records),,0.6384
Be Careful,Invasion of Privacy,Pull Up,"Gangsta Bitch Music, Vol. 2",0.6069
Be Careful,Invasion of Privacy,Cheap Ass Weave,,0.6358
Be Careful,Invasion of Privacy,Sauce Boyz,"Gangsta Bitch Music, Vol. 1",0.6006
Be Careful,Invasion of Privacy,Leave That Bitch Alone,"Gangsta Bitch Music, Vol. 2",0.6326
Be Careful,Invasion of Privacy,B.O.N,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6419
Be Careful,Invasion of Privacy,How I Do,"Gangsta Bitch Music, Vol. 2",0.6086
Be Careful,Invasion of Privacy,11/18/19 Freestyle,,0.6193
Be Careful,Invasion of Privacy,Sauce Niggaz,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6006
Money,,Press,,0.6473
Money,,I Do,Invasion of Privacy,0.6763
Money,,Get Up 10,Invasion of Privacy,0.7139
Money,,Best Life,Invasion of Privacy,0.6567
Money,,Bickenhead,Invasion of Privacy,0.7013
Money,,WAP (Clean),,0.6165
Money,,Money Bag,Invasion of Privacy,0.7796
Money,,Red Barz,,0.6763
Money,,Foreva,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6302
Money,,Lick,"Gangsta Bitch Music, Vol. 2",0.7355
Money,,Up,CB2,0.655
Money,,Washpoppin,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.7775
Money,,On Fleek,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6665
Money,,Pull Up,"Gangsta Bitch Music, Vol. 2",0.67
Money,,Cheap Ass Weave,,0.6173
Money,,Lick (Remix),"Gangsta Bitch Music, Vol. 2",0.7146
Money,,Bodak Yellow (Remix),,0.654
Money,,Lit Thot,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6493
Money,,Hectic,"Gangsta Bitch Music, Vol. 2",0.7432
Money,,Stripper Hoe,,0.7025
Money,,Bronx Season,"Gangsta Bitch Music, Vol. 2",0.6751
Money,,With That,"Gangsta Bitch Music, Vol. 1 (Promo CD)",0.6572
Money,,Leave That Bitch Alone,"Gangsta Bitch Music, Vol. 2",0.6253
Money,,What A Girl Likes,,0.6622
Money,,Styling*,CB2,0.6871
Money,,I Like It (Kontra K & AK Ausserkontrolle Remix),,0.7338
Money,,Pop Off,"Gangsta Bitch Music, Vol. 2",0.6167
Money,,How I Do,"Gangsta Bitch Music, Vol. 2",0.6886
Money,,Booty*,CB2,0.6596
Money,,Rollin,"Gangsta Bitch Music, Vol. 2",0.6986
Money,,Respect,CB2,0.6852
