song_a,album_a,song_b,album_b,similarity
Attention,Voicenotes,How Long,Voicenotes,0.6963
Attention,Voicenotes,Suffer,Nine Track Mind,0.6014
Attention,Voicenotes,Look At Me Now,Ego,0.6089
Attention,Voicenotes,I Don’t Wanna Know,Spotify Singles ,0.614
Attention,Voicenotes,Up All Night,Nine Track Mind,0.6354
Attention,Voicenotes,Then There’s You,Nine Track Mind,0.607
Attention,Voicenotes,I Won’t Tell a Soul,Some Type of Love - EP,0.6062
Attention,Voicenotes,Left Right Left,Nine Track Mind,0.65
Attention,Voicenotes,Attention (Acoustic),,0.9977
Attention,Voicenotes,Attention (KYLE Remix),,0.8241
Attention,Voicenotes,How Long (Remix),,0.6111
Attention,Voicenotes,Go Round,,0.6403
Attention,Voicenotes,1984,,0.6491
Attention,Voicenotes,How Long (Jerry Folk Remix),,0.6529
We Don’t Talk Anymore,Nine Track Mind,Done for Me,Voicenotes,0.6625
We Don’t Talk Anymore,Nine Track Mind,If You Leave Me Now,Voicenotes,0.6309
We Don’t Talk Anymore,Nine Track Mind,As You Are,Nine Track Mind,0.6634
We Don’t Talk Anymore,Nine Track Mind,Attention (KYLE Remix),,0.6418
We Don’t Talk Anymore,Nine Track Mind,We Don’t Talk Anymore (Junge Junge Remix),We Don’t Talk Anymore (Remixes),0.9952
We Don’t Talk Anymore,Nine Track Mind,How Long (Remix),,0.7111
We Don’t Talk Anymore,Nine Track Mind,We Don’t Talk Anymore (Live with Jungkook),,0.8966
We Don’t Talk Anymore,Nine Track Mind,Break Again,,0.6945
How Long,Voicenotes,Cheating on You,,0.6073
How Long,Voicenotes,BOY,Voicenotes,0.6173
How Long,Voicenotes,LA Girls,Voicenotes,0.619
How Long,Voicenotes,Empty Cups,Voicenotes,0.603
How Long,Voicenotes,Does It  Feel,Nine Track Mind (Deluxe),0.6089
How Long,Voicenotes,I Don’t Wanna Know,Spotify Singles ,0.6496
How Long,Voicenotes,Up All Night,Nine Track Mind,0.6103
How Long,Voicenotes,I Won’t Tell a Soul,Some Type of Love - EP,0.6197
How Long,Voicenotes,Attention (Acoustic),,0.6952
How Long,Voicenotes,Attention (KYLE Remix),,0.6819
How Long,Voicenotes,We Don’t Talk Anymore (Junge Junge Remix),We Don’t Talk Anymore (Remixes),0.6077
How Long,Voicenotes,How Long (Remix),,0.8327
How Long,Voicenotes,1984,,0.6797
How Long,Voicenotes,I Don’t Wanna Hurt You Baby,The Otto Tunes,0.6333
How Long,Voicenotes,How Long (Jerry Folk Remix),,0.906
Marvin Gaye,Nine Track Mind,If You Leave Me Now,Voicenotes,0.6074
Marvin Gaye,Nine Track Mind,One Call Away (Remix),,0.6039
Marvin Gaye,Nine Track Mind,O2L Song,,0.6027
Marvin Gaye,Nine Track Mind,Suffer (Remix),,0.6029
Marvin Gaye,Nine Track Mind,How Long (Remix),,0.6102
Marvin Gaye,Nine Track Mind,Marvin Gaye (Remix),,0.9357
One Call Away,Nine Track Mind,See You Again (Original Version),,0.6103
One Call Away,Nine Track Mind,One Call Away (Remix),,0.781
One Call Away,Nine Track Mind,One call away (Coast to Coast Mix),,0.7988
Done for Me,Voicenotes,If You Leave Me Now,Voicenotes,0.6668
Done for Me,Voicenotes,As You Are,Nine Track Mind,0.7479
