song_a,album_a,song_b,album_b,similarity
New Rules,Dua Lipa,New Rules (Demo),,0.9458
New Rules,Dua Lipa,New Rules (Alison Wonderland Remix),New Rules (Remixes),0.8538
New Rules,Dua Lipa,Jealousy,Unreleased Songs,0.6273
New Rules,Dua Lipa,Telling it Like it Is,Unreleased Songs,0.6036
New Rules,Dua Lipa,New Rules (Live),Dua Lipa (Complete Edition),0.7758
New Rules,Dua Lipa,New Rules (Piano Acoustic) [Live],Live Acoustic,0.9309
New Rules,Dua Lipa,New Rules (Freedo Remix),New Rules (Remixes),0.9779
New Rules,Dua Lipa,New Rules (Initial Talk Remix),,0.9615
New Rules,Dua Lipa,New Rules (SG Lewis Remix),New Rules (Remixes),0.9258
New Rules,Dua Lipa,New Rules (KREAM Remix),New Rules (Remixes),0.9589
New Rules,Dua Lipa,New Rules (Suprafive Remix),,0.9524
New Rules,Dua Lipa,New Rules (MRK Club Mix),New Rules (Remixes),0.8254
New Rules,Dua Lipa,New Rules (Live at the BRITs),,0.967
New Rules,Dua Lipa,Good in Bed (Zach Witness Remix),Club Future Nostalgia,0.6071
New Rules,Dua Lipa,New Rules (Deezer Sessions),Deezer Sessions - EP,0.9783
New Rules,Dua Lipa,New Rules (Pebble Remix),,0.9678
New Rules,Dua Lipa,New Rules (Radio Disney Version),Unreleased Songs,0.9652
New Rules,Dua Lipa,New Rules (Jake Minor Remix),,0.8546
New Rules,Dua Lipa,New Rules (StarFox Remix),See You There - EP,0.9671
Don’t Start Now,Future Nostalgia,IDGAF,Dua Lipa,0.6523
Don’t Start Now,Future Nostalgia,Blow Your Mind (Mwah),Dua Lipa,0.6076
Don’t Start Now,Future Nostalgia,Break My Heart,Future Nostalgia,0.6077
Don’t Start Now,Future Nostalgia,Love Again,Future Nostalgia,0.6287
Don’t Start Now,Future Nostalgia,Pretty Please,Future Nostalgia,0.666
Don’t Start Now,Future Nostalgia,New Love,Dua Lipa (Deluxe),0.6012
Don’t Start Now,Future Nostalgia,Last Dance,Dua Lipa (Deluxe),0.6048
Don’t Start Now,Future Nostalgia,Bad Together,Dua Lipa (Deluxe),0.6123
Don’t Start Now,Future Nostalgia,IDGAF (Diablo & Rich Brian Remix),IDGAF (Remixes II),0.6098
Don’t Start Now,Future Nostalgia,If It Ain’t Me (Sad Disco) [Original],Unreleased Songs,0.6477
Don’t Start Now,Future Nostalgia,IDGAF (Remix),IDGAF (Remixes II),0.642
Don’t Start Now,Future Nostalgia,Between a Bullet and Heartbreak,Unreleased Songs,0.6268
Don’t Start Now,Future Nostalgia,Telling it Like it Is,Unreleased Songs,0.666
Don’t Start Now,Future Nostalgia,Kinda Like That,,0.6294
Don’t Start Now,Future Nostalgia,All or Nothing,Unreleased Songs,0.6121
Don’t Start Now,Future Nostalgia,Stay,,0.6418
Don’t Start Now,Future Nostalgia,Try,,0.6591
Don’t Start Now,Future Nostalgia,All of Me,,0.6433
Don’t Start Now,Future Nostalgia,If It Ain’t Me (Sad Disco),Future Nostalgia - The Moonlight Edition ,0.6762
Don’t Start Now,Future Nostalgia,IDGAF (Hazers Remix),IDGAF (Remixes),0.663
Don’t Start Now,Future Nostalgia,Don’t Start Now (Purple Disco Machine Remix),Don’t Start Now (Remixes),0.747
Don’t Start Now,Future Nostalgia,Don’t Start Now (Dom Dolla Remix),Don’t Start Now (Remixes),0.7976
Don’t Start Now,Future Nostalgia,Don’t Start Now (Live in LA Remix),,0.9629
Don’t Start Now,Future Nostalgia,IDGAF (Acoustic),IDGAF (Remixes II),0.6529
Don’t Start Now,Future Nostalgia,Don’t Start Now (Kungs Remix),Don’t Start Now (Remixes),0.8787
Don’t Start Now,Future Nostalgia,IDGAF (Darius Remix),IDGAF (Remixes),0.6984
Don’t Start Now,Future Nostalgia,IDGAF (Young Franco Remix),IDGAF (Remixes),0.665
Don’t Start Now,Future Nostalgia,IDGAF (Anna of the North Remix),IDGAF (Remixes),0.6335
Don’t Start Now,Future Nostalgia,Bad Together (Demo),,0.6123
Don’t Start Now,Future Nostalgia,Blow Your Mind (Mwah) (Radio Disney Version),Unreleased Songs,0.607
Don’t Start Now,Future Nostalgia,IDGAF (B Case Remix),IDGAF (Remixes II),0.6477
Don’t Start Now,Future Nostalgia,Don’t Start Now (Pink Panda Remix),Don’t Start Now (Remixes),0.9632
Don’t Start Now,Future Nostalgia,IDGAF (Initial Talk Remix),IDGAF (Remixes II),0.6523
Don’t Start Now,Future Nostalgia,Don’t Start Now (Regard Remix),,0.9938
Don’t Start Now,Future Nostalgia,IDGAF (Radio Disney Version),Unreleased Songs,0.6566
Don’t Start Now,Future Nostalgia,Don’t Start Now (Zach Witness Remix) [Malibu Mermaids Version],Don’t Start Now (Remixes),0.966
Don’t Start Now,Future Nostalgia,Don’t Start Now (Kaytranada Remix),Club Future Nostalgia,0.9616
Don’t Start Now,Future Nostalgia,Last Dance (Custic Remix),,0.6021
Don’t Start Now,Future Nostalgia,Pretty Please (Midland Refix),Club Future Nostalgia,0.6686
Don’t Start Now,Future Nostalgia,Good in Bed (Zach Witness Remix),Club Future Nostalgia,0.6042
Don’t Start Now,Future Nostalgia,Don’t Start Now (Yaeji Remix),Club Future Nostalgia,0.8819
Don’t Start Now,Future Nostalgia,Last Dance (Trader Gold Remix),,0.6021
Don’t Start Now,Future Nostalgia,IDGAF (Deezer Sessions),Deezer Sessions - EP,0.6584
Don’t Start Now,Future Nostalgia,Pretty Please (Masters at Work Remix),Club Future Nostalgia,0.6655
Don’t Start Now,Future Nostalgia,Love Again (Horse Meat Disco Remix),Club Future Nostalgia,0.6152
Don’t Start Now,Future Nostalgia,Blow Your Mind (Mwah) [Alex Metric Remix],Blow Your Mind (Mwah) [Remixes],0.6076
Don’t Start Now,Future Nostalgia,Last Dance (Kriss Reeve Remix),,0.6021
Don’t Start Now,Future Nostalgia,Last Dance (GAB Remix),,0.6505
Don’t Start Now,Future Nostalgia,Last Dance (Stefan Ponce Remix),,0.6021
Don’t Start Now,Future Nostalgia,Don’t Start Now (Nightcore Remix),,0.9956
Don’t Start Now,Future Nostalgia,Blow Your Mind (Mwah) [Night Moves Remix],Blow Your Mind (Mwah) [Remixes],0.6076
Don’t Start Now,Future Nostalgia,Last Dance (Coucheron Remix),,0.6021
Don’t Start Now,Future Nostalgia,Blow Your Mind (Mwah) [Black Saint Remix],Blow Your Mind (Mwah) [Remixes],0.6076
Don’t Start Now,Future Nostalgia,Don’t Start Now (StarFox Remix),See You There - EP,0.9546
Don’t Start Now,Future Nostalgia,New Love (Jarreau Vandal Remix),New Love (Remixes),0.6012
Don’t Start Now,Future Nostalgia,New Love (Paraone Remix),New Love (Remixes),0.6012
IDGAF,Dua Lipa,Break My Heart,Future Nostalgia,0.6414
IDGAF,Dua Lipa,Pretty Please,Future Nostalgia,0.6576
IDGAF,Dua Lipa,No Goodbyes,Dua Lipa,0.6136
IDGAF,Dua Lipa,Bad Together,Dua Lipa (Deluxe),0.6966
IDGAF,Dua Lipa,I’m Not the Only One,,0.6136
IDGAF,Dua Lipa,IDGAF (Diablo & Rich Brian Remix),IDGAF (Remixes II),0.86
IDGAF,Dua Lipa,Running,Dua Lipa (Complete Edition),0.6238
IDGAF,Dua Lipa,IDGAF (French Demo),,0.6085
IDGAF,Dua Lipa,25/8,Unreleased Songs,0.6055
IDGAF,Dua Lipa,IDGAF (Remix),IDGAF (Remixes II),0.8088
IDGAF,Dua Lipa,IDGAF (French Version),,0.6756
IDGAF,Dua Lipa,Telling it Like it Is,Unreleased Songs,0.7628
IDGAF,Dua Lipa,The Hills (BBC 1 Radio Live Lounge),BBC Radio 1's Live Lounge 2016,0.6922
IDGAF,Dua Lipa,All or Nothing,Unreleased Songs,0.6883
IDGAF,Dua Lipa,Favourite Problem,Unreleased Songs,0.6026
IDGAF,Dua Lipa,Voodoo (Demo),,0.6377
IDGAF,Dua Lipa,New Rules (Live),Dua Lipa (Complete Edition),0.6168
IDGAF,Dua Lipa,Try,,0.6581
IDGAF,Dua Lipa,All of Me,,0.606
IDGAF,Dua Lipa,Forgiveness,,0.6175
IDGAF,Dua Lipa,IDGAF (Hazers Remix),IDGAF (Remixes),0.9927
IDGAF,Dua Lipa,One for the Night,Unreleased Songs,0.6164
IDGAF,Dua Lipa,Don’t Start Now (Live in LA Remix),,0.6515
IDGAF,Dua Lipa,IDGAF (Acoustic),IDGAF (Remixes II),0.9959
IDGAF,Dua Lipa,Looking For Trouble,,0.6079
IDGAF,Dua Lipa,IDGAF (Darius Remix),IDGAF (Remixes),0.9329
IDGAF,Dua Lipa,IDGAF (Young Franco Remix),IDGAF (Remixes),0.9712
IDGAF,Dua Lipa,IDGAF (Anna of the North Remix),IDGAF (Remixes),0.9556
IDGAF,Dua Lipa,Bad Together (Demo),,0.6966
IDGAF,Dua Lipa,IDGAF (B Case Remix),IDGAF (Remixes II),0.9796
IDGAF,Dua Lipa,Don’t Start Now (Pink Panda Remix),Don’t Start Now (Remixes),0.6424
IDGAF,Dua Lipa,IDGAF (Initial Talk Remix),IDGAF (Remixes II),1.0
IDGAF,Dua Lipa,Don’t Start Now (Regard Remix),,0.6463
IDGAF,Dua Lipa,IDGAF (Radio Disney Version),Unreleased Songs,0.9857
IDGAF,Dua Lipa,Don’t Start Now (Zach Witness Remix) [Malibu Mermaids Version],Don’t Start Now (Remixes),0.645
IDGAF,Dua Lipa,Don’t Start Now (Kaytranada Remix),Club Future Nostalgia,0.6437
IDGAF,Dua Lipa,No Goodbyes (Piano Demo),Unreleased Songs,0.6154
IDGAF,Dua Lipa,Pretty Please (Midland Refix),Club Future Nostalgia,0.6511
IDGAF,Dua Lipa,Good in Bed (Zach Witness Remix),Club Future Nostalgia,0.6378
IDGAF,Dua Lipa,IDGAF (Deezer Sessions),Deezer Sessions - EP,0.9944
IDGAF,Dua Lipa,Pretty Please (Masters at Work Remix),Club Future Nostalgia,0.6592
IDGAF,Dua Lipa,Hallucinate (Paul Woolford Remix) [Extended],Club Future Nostalgia,0.606
IDGAF,Dua Lipa,Cool (Jayda G Remix),Club Future Nostalgia,0.6021
IDGAF,Dua Lipa,Last Dance (GAB Remix),,0.6321
IDGAF,Dua Lipa,Break My Heart (Solardo Remix),,0.6007
IDGAF,Dua Lipa,New Rules (Jake Minor Remix),,0.6474
IDGAF,Dua Lipa,Don’t Start Now (Nightcore Remix),,0.6456
IDGAF,Dua Lipa,Don’t Start Now (StarFox Remix),See You There - EP,0.6366
IDGAF,Dua Lipa,Electricity (StarFox Remix),See You There - EP,0.6114
Blow Your Mind (Mwah),Dua Lipa,Thinking ’Bout You,Dua Lipa,0.6484
Blow Your Mind (Mwah),Dua Lipa,Love Again,Future Nostalgia,0.6204
Blow Your Mind (Mwah),Dua Lipa,Pretty Please,Future Nostalgia,0.605
Blow Your Mind (Mwah),Dua Lipa,Hallucinate,Future Nostalgia,0.6917
Blow Your Mind (Mwah),Dua Lipa,Cool,Future Nostalgia,0.6614
Blow Your Mind (Mwah),Dua Lipa,Running,Dua Lipa (Complete Edition),0.6186
Blow Your Mind (Mwah),Dua Lipa,Good Times (Jamie xx Rework),,0.6045
Blow Your Mind (Mwah),Dua Lipa,Ball & Chain,Unreleased Songs,0.6126
Blow Your Mind (Mwah),Dua Lipa,If It Ain’t Me (Sad Disco) [Original],Unreleased Songs,0.6448
Blow Your Mind (Mwah),Dua Lipa,IDGAF (Remix),IDGAF (Remixes II),0.6484
Blow Your Mind (Mwah),Dua Lipa,"High, Wild and Free",Unreleased Songs,0.6823
