title,album,year
New Rules,Dua Lipa,2017.0
Don’t Start Now,Future Nostalgia,2019.0
IDGAF,Dua Lipa,2017.0
Blow Your Mind (Mwah),Dua Lipa,2016.0
Be the One,Dua Lipa,2015.0
Break My Heart,Future Nostalgia,2020.0
Homesick,Dua Lipa,2017.0
Levitating,Future Nostalgia,2020.0
Physical,Future Nostalgia,2020.0
Hotter Than Hell,Dua Lipa,2016.0
Thinking ’Bout You,Dua Lipa,2017.0
Boys Will Be Boys,Future Nostalgia,2020.0
Genesis,Dua Lipa,2017.0
Lost In Your Light,Dua Lipa,2017.0
Love Again,Future Nostalgia,2020.0
Good in Bed,Future Nostalgia,2020.0
Future Nostalgia,Future Nostalgia,2019.0
Pretty Please,Future Nostalgia,2020.0
Swan Song,NOW That’s What I Call Music! 102 [UK],2019.0
Hallucinate,Future Nostalgia,2020.0
Cool,Future Nostalgia,2020.0
New Love,Dua Lipa (Deluxe),2015.0
Last Dance,Dua Lipa (Deluxe),2016.0
Levitating (Remix),Future Nostalgia + Club Future Nostalgia - Bonus Edition,2020.0
No Goodbyes,Dua Lipa,2017.0
Want To,Dua Lipa (Complete Edition),2018.0
Garden,Dua Lipa,2017.0
Bang Bang,,2017.0
Bad Together,Dua Lipa (Deluxe),2017.0
Begging,Dua Lipa,2017.0
Room for 2,Dua Lipa (Deluxe),2016.0
Dreams,Dua Lipa (Deluxe),2017.0
I’m Not the Only One,,2017.0
I’d Rather Go Blind (Live),Live Acoustic,2017.0
IDGAF (Diablo & Rich Brian Remix),IDGAF (Remixes II),2018.0
For Julian,The Only - EP,2016.0
Running,Dua Lipa (Complete Edition),2018.0
Good Times (Jamie xx Rework),,2015.0
Love is Religion,,2020.0
I’m Free,,2020.0
Want To (Demo),,2016.0
Cocoa Butter Kisses,,2013.0
Physical (HWASA Remix),Physical (Remixes),2020.0
IDGAF (French Demo),,2018.0
New Rules (Demo),,2017.0
Lose Myself,Unreleased Songs,
Here,,2015.0
Golden Slumbers (Acoustic),Live Acoustic,2017.0
Cherry,Unreleased Songs,2020.0
Ball & Chain,Unreleased Songs,2020.0
That Kind of Woman,Future Nostalgia - The Moonlight Edition ,2021.0
If It Ain’t Me (Sad Disco) [Original],Unreleased Songs,
New Rules (Alison Wonderland Remix),New Rules (Remixes),2017.0
25/8,Unreleased Songs,2020.0
We’re Good,Future Nostalgia - The Moonlight Edition ,2021.0
Jealousy,Unreleased Songs,2020.0
Berlin Summer,Unreleased Songs,2020.0
Yours,Unreleased Songs,
IDGAF (Remix),IDGAF (Remixes II),2018.0
Bad Idea,Unreleased Songs,2020.0
Save Someone,Unreleased Songs,2020.0
Between a Bullet and Heartbreak,Unreleased Songs,
Do I Wanna Know? (BBC Radio 1 Live Lounge),BBC Radio 1's Live Lounge 2018,2018.0
IDGAF (French Version),,
"High, Wild and Free",Unreleased Songs,
Telling it Like it Is,Unreleased Songs,
The Hills (BBC 1 Radio Live Lounge),BBC Radio 1's Live Lounge 2016,2016.0
Rollin/Did You See (Mashup),,2017.0
Lions & Tigers & Bears,Unreleased Songs,2012.0
Cruel,,2016.0
"Smoke, Drink, Break Up",,2014.0
Chasing The Dragon,,2020.0
New Rules for COVID Dating,,2020.0
Not My Problem,Future Nostalgia - The Moonlight Edition ,2021.0
Kinda Like That,,2020.0
Talk About It,Unreleased Songs,
All or Nothing,Unreleased Songs,2020.0
Favourite Problem,Unreleased Songs,
Runnin’ Out*,Unreleased Songs,
Voodoo (Demo),,2020.0
Act of God,,2020.0
New Rules (Live),Dua Lipa (Complete Edition),2018.0
Hotter Than Hell (Miike Snow Remix),Hotter Than Hell (Remixes),2016.0
Stay,,2013.0
Top Dollar,Unreleased Songs,2016.0
New Rules (Piano Acoustic) [Live],Live Acoustic,2017.0
Fever (Demo),Unreleased Songs,2020.0
Try,,2020.0
All to Myself,Unreleased Songs,
New York (Mend My Broken Heart Tonight),Unreleased Songs,
All of Me,,2014.0
Genesis (Acoustic),,2017.0
If It Ain’t Me (Sad Disco),Future Nostalgia - The Moonlight Edition ,2021.0
New Rules (Freedo Remix),New Rules (Remixes),2017.0
Follow Me,,2020.0
Blow Your Mind (Mwah) [Acoustic],,2016.0
Secrets,Unreleased Songs,
New Rules (Initial Talk Remix),,2017.0
UEFA Champions League Final Medley,,2018.0
Hotter Than Hell (Matoma Remix),Hakuna Matoma,2016.0
Ball and Chain [Remix] (ft. Aitana),,2021.0
Forgiveness,,2020.0
IDGAF (Hazers Remix),IDGAF (Remixes),2018.0
My My My (Deezer Sessions),Deezer Sessions - EP,2019.0
New Rules (SG Lewis Remix),New Rules (Remixes),2017.0
New Rules (KREAM Remix),New Rules (Remixes),2017.0
One for the Night,Unreleased Songs,2020.0
Don’t Start Now (Purple Disco Machine Remix),Don’t Start Now (Remixes),2019.0
Lot To Love,Unreleased Songs,
Love Is Religion (The Blessed Madonna Remix),Club Future Nostalgia,2020.0
Don’t Start Now (Dom Dolla Remix),Don’t Start Now (Remixes),2019.0
Don’t Start Now (Live in LA Remix),,2020.0
Do More,Unreleased Songs,
Thinking ’Bout You (DECCO Remix),,2017.0
New Rules (Suprafive Remix),,2017.0
IDGAF (Acoustic),IDGAF (Remixes II),2018.0
Kiss and Make Up (Demo),Unreleased Songs,
Pour Me a Lie,Unreleased Songs,
Looking For Trouble,,2020.0
Act of God 1,,
Physical (Mark Ronson Remix),Club Future Nostalgia,2020.0
Want It All,Unreleased Songs,
Don’t Start Now (Kungs Remix),Don’t Start Now (Remixes),2019.0
New Rules (MRK Club Mix),New Rules (Remixes),2017.0
IDGAF (Darius Remix),IDGAF (Remixes),2018.0
When It Comes To Us,,2013.0
IDGAF (Young Franco Remix),IDGAF (Remixes),2018.0
Physical (Alok Remix),Physical (Remixes),2020.0
IDGAF (Anna of the North Remix),IDGAF (Remixes),2018.0
Levitating (Don Diablo Remix),,2020.0
