song_a,album_a,song_b,album_b,similarity
Rap God,The Marshall Mathers LP2 (Deluxe),The Real Slim Shady,The Marshall Mathers LP,0.6052
Rap God,The Marshall Mathers LP2 (Deluxe),8 Mile: B-Rabbit vs Papa Doc,"8 Mile (Battles, Cyphers & Freestyles)",0.6052
Rap God,The Marshall Mathers LP2 (Deluxe),Role Model,The Slim Shady LP,0.6676
Rap God,The Marshall Mathers LP2 (Deluxe),I Will,Music to Be Murdered By,0.6175
Rap God,The Marshall Mathers LP2 (Deluxe),Chloraseptic,Revival,0.6197
Rap God,The Marshall Mathers LP2 (Deluxe),No Regrets,Music to Be Murdered By,0.6016
Rap God,The Marshall Mathers LP2 (Deluxe),Almost Famous,Recovery,0.6184
Rap God,The Marshall Mathers LP2 (Deluxe),When the Music Stops,The Eminem Show,0.6002
Rap God,The Marshall Mathers LP2 (Deluxe),These Demons,Music to Be Murdered By: Side B,0.6012
Rap God,The Marshall Mathers LP2 (Deluxe),The Sauce,Invasion: Shady Times,0.6057
Rap God,The Marshall Mathers LP2 (Deluxe),"Low Down, Dirty",Slim Shady EP,0.6064
Rap God,The Marshall Mathers LP2 (Deluxe),Get You Mad,The Singles,0.6453
Rap God,The Marshall Mathers LP2 (Deluxe),Jimmy Crack Corn,Eminem Presents: The Re-Up,0.6045
Rap God,The Marshall Mathers LP2 (Deluxe),No One’s Iller,Slim Shady EP,0.6239
Rap God,The Marshall Mathers LP2 (Deluxe),Devil’s Night Intro,The Devil’s Night Mixtape,0.6063
Rap God,The Marshall Mathers LP2 (Deluxe),Fuck You,,0.6214
Rap God,The Marshall Mathers LP2 (Deluxe),Rap City Freestyle (Keeping It Raw),,0.6116
Rap God,The Marshall Mathers LP2 (Deluxe),Things Get Worse (Lost Version),Unreleased Songs,0.619
Rap God,The Marshall Mathers LP2 (Deluxe),Wanksta (Eminem’s Version),The Singles,0.601
Rap God,The Marshall Mathers LP2 (Deluxe),Anger Management,Anger Management 3,0.6042
Rap God,The Marshall Mathers LP2 (Deluxe),Off The Dome Freestyle,,0.6275
Rap God,The Marshall Mathers LP2 (Deluxe),The People’s Champ (Intro),Unreleased Songs,0.6078
Rap God,The Marshall Mathers LP2 (Deluxe),Whether or Not,The Magic Sound Of Deep Dance Presents - The Eminem Show ,0.6195
Rap God,The Marshall Mathers LP2 (Deluxe),Fubba U Cubba Cubba,Anger Management 3,0.665
Rap God,The Marshall Mathers LP2 (Deluxe),Tim Westwood Freestyle,,0.6277
Rap God,The Marshall Mathers LP2 (Deluxe),Infinite (F.B.T. Remix),,0.6412
Rap God,The Marshall Mathers LP2 (Deluxe),Take The World With Me,Unreleased Songs,0.6331
Rap God,The Marshall Mathers LP2 (Deluxe),Power 92.3 Freestyle,,0.6124
Rap God,The Marshall Mathers LP2 (Deluxe),Radio Freestyle 1,,0.6246
Rap God,The Marshall Mathers LP2 (Deluxe),Role Model (Demo),Unreleased Songs,0.6393
