song_a,album_a,song_b,album_b,similarity
Swish Swish,Witness,Dark Horse,PRISM,0.6001
Swish Swish,Witness,Bon Appétit,Witness,0.6062
Swish Swish,Witness,Dark Horse (Urban Remix),,0.6511
Swish Swish,Witness,Swish Swish (Radio Edit),,0.9884
Swish Swish,Witness,This Is How We Do (Remix),,0.6701
Swish Swish,Witness,I Kissed a Girl (Remix),,0.6026
Swish Swish,Witness,Swish Swish (Cheat Codes Remix),,0.9586
Swish Swish,Witness,The One That Got Away (Remix),,0.6186
Swish Swish,Witness,Swish Swish (Valentino Khan Remix),,0.787
Swish Swish,Witness,Swish Swish (Live),,0.8903
Swish Swish,Witness,California Gurls (Armand Van Helden Remix),California Gurls (The Remixes) - EP,0.6175
Swish Swish,Witness,Dark Horse (Elephante Remix),,0.6378
Swish Swish,Witness,Bon Appétit (Martin Jensen Remix),,0.6542
Swish Swish,Witness,Wanna Be,,0.6066
Chained to the Rhythm,Witness,Dark Horse,PRISM,0.6023
Chained to the Rhythm,Witness,California Gurls,Teenage Dream,0.6099
Chained to the Rhythm,Witness,Dark Horse (Urban Remix),,0.6018
Chained to the Rhythm,Witness,Dark Horse (Pitbull Remix),,0.6027
Chained to the Rhythm,Witness,This Is How We Do (Remix),,0.6359
Chained to the Rhythm,Witness,Chained to the Rhythm (BoatMix),,0.8886
Chained to the Rhythm,Witness,Chained to the Rhythm (Hot Chip Remix),NOW That’s What I Call A Workout 2018,0.9189
Chained to the Rhythm,Witness,Tommie Sunshine’s Megasix Smash-Up,Teenage Dream: The Complete Confection,0.6144
Chained to the Rhythm,Witness,Freedom (Spirit),Unreleased Songs,0.6113
Chained to the Rhythm,Witness,The One That Got Away (Remix),,0.6009
Chained to the Rhythm,Witness,Chained to the Rhythm (Oliver Heldens Remix),,0.8195
Chained to the Rhythm,Witness,California Gurls (Passion Pit Main Mix),,0.6191
Chained to the Rhythm,Witness,California Gurls (Demo),,0.608
Chained to the Rhythm,Witness,California Gurls (Manhattan Clique Long Beach Mix),California Gurls (The Remixes) - EP,0.6283
Dark Horse,PRISM,Bon Appétit,Witness,0.6964
Dark Horse,PRISM,E.T. (Remix),Teenage Dream: The Complete Confection,0.6334
Dark Horse,PRISM,California Gurls,Teenage Dream,0.6307
Dark Horse,PRISM,Birthday,PRISM,0.6156
Dark Horse,PRISM,Dark Horse (Urban Remix),,0.8491
Dark Horse,PRISM,Swish Swish (Radio Edit),,0.6125
Dark Horse,PRISM,Dark Horse (Pitbull Remix),,0.9861
Dark Horse,PRISM,This Is How We Do (Remix),,0.643
Dark Horse,PRISM,Last Friday Night (T.G.I.F.) [Remix],Teenage Dream: The Complete Confection,0.6066
Dark Horse,PRISM,Chained to the Rhythm (BoatMix),,0.6419
Dark Horse,PRISM,I Kissed a Girl (Remix),,0.661
Dark Horse,PRISM,Chained to the Rhythm (Hot Chip Remix),NOW That’s What I Call A Workout 2018,0.6294
Dark Horse,PRISM,Tommie Sunshine’s Megasix Smash-Up,Teenage Dream: The Complete Confection,0.6653
Dark Horse,PRISM,Freedom (Spirit),Unreleased Songs,0.636
Dark Horse,PRISM,Swish Swish (Cheat Codes Remix),,0.605
Dark Horse,PRISM,The One That Got Away (Remix),,0.63
Dark Horse,PRISM,Swish Swish (Valentino Khan Remix),,0.6475
Dark Horse,PRISM,Hook Up,(A) Katy Perry [Shelved],0.6334
Dark Horse,PRISM,E.T (Tinie Tempah Remix),Foreign Object,0.6764
Dark Horse,PRISM,Dark Horse (Remix),,0.9487
Dark Horse,PRISM,Dark Horse (Solo Version),,0.9181
Dark Horse,PRISM,Bon Appétit (3LAU Remix),,0.6483
Dark Horse,PRISM,California Gurls (Passion Pit Main Mix),,0.6372
Dark Horse,PRISM,Hot N Cold (Yelle Remix),Hot N Cold (Remixes) - EP,0.6491
Dark Horse,PRISM,California Gurls (Demo),,0.6275
Dark Horse,PRISM,Dark Horse (Elephante Remix),,0.8441
Dark Horse,PRISM,Bon Appétit (Martin Jensen Remix),,0.6901
Dark Horse,PRISM,Bon Appétit (MUNA Remix),,0.6189
Dark Horse,PRISM,California Gurls (Manhattan Clique Long Beach Mix),California Gurls (The Remixes) - EP,0.6318
Dark Horse,PRISM,Dark horse -there no horse,,0.7429
Bon Appétit,Witness,California Gurls,Teenage Dream,0.6549
Bon Appétit,Witness,Dark Horse (Urban Remix),,0.6581
Bon Appétit,Witness,Swish Swish (Radio Edit),,0.61
Bon Appétit,Witness,Dark Horse (Pitbull Remix),,0.6799
Bon Appétit,Witness,This Is How We Do (Remix),,0.672
Bon Appétit,Witness,Bon Appétit (Solo Version),,0.8078
Bon Appétit,Witness,Swish Swish (Cheat Codes Remix),,0.6145
Bon Appétit,Witness,Dark Horse (Remix),,0.7044
Bon Appétit,Witness,Dark Horse (Solo Version),,0.6455
Bon Appétit,Witness,Bon Appétit (3LAU Remix),,0.8115
Bon Appétit,Witness,California Gurls (Passion Pit Main Mix),,0.6643
Bon Appétit,Witness,Hot N Cold (Yelle Remix),Hot N Cold (Remixes) - EP,0.6469
Bon Appétit,Witness,California Gurls (Armand Van Helden Remix),California Gurls (The Remixes) - EP,0.6508
Bon Appétit,Witness,California Gurls (Demo),,0.6552
Bon Appétit,Witness,Dark Horse (Elephante Remix),,0.6575
Bon Appétit,Witness,Bon Appétit (Martin Jensen Remix),,0.8884
Bon Appétit,Witness,Bon Appétit (MUNA Remix),,0.8202
Bon Appétit,Witness,California Gurls (Manhattan Clique Long Beach Mix),California Gurls (The Remixes) - EP,0.6745
Roar,PRISM,Brick by Brick,Fingerprints [Shelved],0.6417
Roar,PRISM,Damn,Unreleased Songs,0.6297
Roar,PRISM,Hook Up,(A) Katy Perry [Shelved],0.6197
Roar,PRISM,Roar (DallasK Remix),"Dance (RED) Save Lives, Vol. 2",0.9801
Never Really Over,Smile (Fan Edition),Save as Draft,Witness,0.6028
