title,album,year
Swish Swish,Witness,2017.0
Chained to the Rhythm,Witness,2017.0
Dark Horse,PRISM,2013.0
Bon Appétit,Witness,2017.0
Roar,PRISM,2013.0
Never Really Over,Smile (Fan Edition),2019.0
Firework,Teenage Dream,2010.0
The One That Got Away,Teenage Dream,2010.0
Rise,NOW That’s What I Call Music! 60 [US],2016.0
E.T. (Remix),Teenage Dream: The Complete Confection,2011.0
I Kissed a Girl,One of the Boys,2008.0
California Gurls,Teenage Dream,2010.0
Smile,Smile (Fan Edition),2020.0
Daisies,Smile (Fan Edition),2020.0
Teenage Dream,Teenage Dream,2010.0
Witness,Witness,2017.0
Hot n Cold,One of the Boys,2008.0
Never Worn White,Smile (Fan Edition),2020.0
Last Friday Night (T.G.I.F.),Teenage Dream,2010.0
Birthday,PRISM,2013.0
E.T.,Teenage Dream,2010.0
Harleys In Hawaii,Smile (Fan Edition),2019.0
Unconditionally,PRISM,2013.0
Wide Awake,Teenage Dream: The Complete Confection,2012.0
This is How We Do,PRISM,2013.0
Hey Hey Hey,Witness,2017.0
Part of Me,Teenage Dream: The Complete Confection,2012.0
Ur So Gay,One of the Boys,2007.0
Small Talk,Smile (Fan Edition),2019.0
"They ask you how you are, and you just have to say you’re fine",,
Power,Witness,2017.0
Thinking of You,Fingerprints [Shelved],2008.0
Cry About It Later,Smile (Fan Edition),2020.0
Déjà Vu,Witness,2017.0
Roulette,Witness,2017.0
Peacock,Teenage Dream,2010.0
Miss You More,Witness,2017.0
Save as Draft,Witness,2017.0
By the Grace of God,PRISM,2013.0
Tsunami,Witness,2017.0
Not the End of the World,Smile (Fan Edition),2020.0
Pendulum,Witness,2017.0
Legendary Lovers,PRISM,2013.0
Champagne Problems,Smile (Fan Edition),2020.0
Resilient,Smile (Fan Edition),2020.0
What Makes a Woman,Smile (Fan Edition),2020.0
Teary Eyes,Smile (Fan Edition),2020.0
Only Love,Smile (Fan Edition),2020.0
Ghost,PRISM,2013.0
Dance with the Devil,Witness,2017.0
Act My Age,Witness,2017.0
Bigger Than Me,Witness,2017.0
Into Me You See,Witness,2017.0
Tucked,Smile (Fan Edition),2020.0
Cozy Little Christmas,,2018.0
Mind Maze,Witness,2017.0
Double Rainbow,PRISM,2013.0
Love Me,PRISM,2013.0
Walking on Air,PRISM,2013.0
International Smile,PRISM,2013.0
Circle the Drain,Teenage Dream,2010.0
Waking Up in Vegas,Fingerprints [Shelved],2008.0
One of the Boys,Fingerprints [Shelved],2008.0
Not Like the Movies,Teenage Dream,2010.0
It Takes Two,PRISM,2013.0
Hummingbird Heartbeat,Teenage Dream,2010.0
Dark Horse (Urban Remix),,
This Moment,PRISM,2013.0
Who Am I Living For?,Teenage Dream,2010.0
Choose Your Battles,PRISM,2013.0
Pearl,Teenage Dream,2010.0
Spiritual,PRISM,2013.0
High On Your Supply,Smile (Target Exclusive),2020.0
I’m Still Breathing,Fingerprints [Shelved],2008.0
Lost,Fingerprints [Shelved],2007.0
Dressin’ Up,Teenage Dream: The Complete Confection,2012.0
Swish Swish (Radio Edit),,
Fingerprints,Fingerprints [Shelved],2008.0
Every Day Is A Holiday,,2015.0
Mannequin,One of the Boys,2008.0
If You Can Afford Me,Fingerprints [Shelved],2008.0
Waving Through a Window,Dear Evan Hansen (Original Broadway Cast Recording) [Deluxe Album],2018.0
Self Inflicted,Fingerprints [Shelved],2008.0
Dark Horse (Pitbull Remix),,
Immortal Flame,,2018.0
Milk Milk Lemonade,Unreleased Songs,
This Is How We Do (Remix),,2014.0
Last Friday Night (T.G.I.F.) [Remix],Teenage Dream: The Complete Confection,2011.0
A Cup of Coffee,Fingerprints [Shelved],2008.0
Chained to the Rhythm (BoatMix),,2017.0
Energy,Smile (Deluxe Edition),2020.0
I Think I’m Ready,Fingerprints [Shelved],2008.0
Smile (Original Version),Smile (Deluxe Edition),
Message from Katy Perry,Smile (Target Exclusive),2020.0
Bon Appétit (Solo Version),,2017.0
Black Widow,Unreleased Songs,2020.0
The One That Got Away (Acoustic),Teenage Dream: The Complete Confection,2012.0
I Kissed a Girl (Remix),,2009.0
Passenger,Unreleased Songs,2017.0
Chained to the Rhythm (Hot Chip Remix),NOW That’s What I Call A Workout 2018,2017.0
Box,(A) Katy Perry [Shelved],
Tommie Sunshine’s Megasix Smash-Up,Teenage Dream: The Complete Confection,2012.0
Freedom (Spirit),Unreleased Songs,
Hackensack,MTV Unplugged,2009.0
Brick by Brick,Fingerprints [Shelved],2009.0
Long Shot,(A) Katy Perry [Shelved],
Trust In Me,Katy Hudson,2001.0
Rock God,Fingerprints [Shelved],
Masam Gunah,,
Use Your Love,Ur So Gay - EP,2007.0
Diamonds,(A) Katy Perry [Shelved],
Simple,(A) Katy Perry [Shelved],2005.0
Daisies (Can’t Cancel Pride),,2020.0
Witness (Demo),,
Sex Sells,Unreleased Songs,
Psycho Love,Fingerprints [Shelved],
The One That Got Away / Thinking of You,,2015.0
Swish Swish (Cheat Codes Remix),,2017.0
Breakout,Unreleased Songs,
It’s Okay To Believe,(A) Katy Perry [Shelved],
Search Me,Katy Hudson,2001.0
