title,album,year
Do What U Want,ARTPOP,2013.0
Always Remember Us This Way,A Star is Born (Original Motion Picture Soundtrack),2018.0
Bad Romance,The Fame Monster,2009.0
Sexxx Dreams,ARTPOP,2013.0
I’ll Never Love Again (Extended Version),A Star is Born (Original Motion Picture Soundtrack),2018.0
Poker Face,The Fame,2008.0
Million Reasons,Joanne,2016.0
G.U.Y.,ARTPOP,2014.0
911,Chromatica,2020.0
The Cure,Now That’s What I Call Music! 97 [UK],2017.0
Born This Way,Born This Way,2011.0
Applause,ARTPOP,2013.0
Venus,ARTPOP,2013.0
Perfect Illusion,Joanne,2016.0
Donatella,ARTPOP,2013.0
Telephone,The Fame Monster,2010.0
Aura,ARTPOP,2013.0
Babylon,Chromatica,2020.0
Gypsy,ARTPOP,2013.0
Paparazzi,The Fame,2009.0
Alice,Chromatica,2020.0
Alejandro,The Fame Monster,2010.0
Stupid Love,Chromatica,2020.0
Judas,Born This Way,2011.0
John Wayne,Joanne,2016.0
Just Dance,The Fame,2008.0
Free Woman,Chromatica,2020.0
Is That Alright?,A Star Is Born: Encore ,2018.0
Replay,Chromatica,2020.0
Mary Jane Holland,ARTPOP,2013.0
Scheiße,Born This Way,2011.0
Dope,ARTPOP,2013.0
Fun Tonight,Chromatica,2020.0
Yoü and I,Born This Way,2011.0
ARTPOP,ARTPOP,2013.0
Joanne,Joanne,2016.0
Swine,ARTPOP,2013.0
I’ll Never Love Again (Film Version),A Star is Born (Original Motion Picture Soundtrack),2018.0
MANiCURE,ARTPOP,2013.0
Enigma,Chromatica,2020.0
Plastic Doll,Chromatica,2020.0
LoveGame,The Fame,2009.0
1000 Doves,Chromatica,2020.0
Jewels N’ Drugs,ARTPOP,2013.0
Look What I Found,A Star is Born (Original Motion Picture Soundtrack),2018.0
Fashion!,ARTPOP,2013.0
Cake Like Lady Gaga,Artpop Act II (Scrapped),2012.0
Diamond Heart,Joanne,2016.0
Speechless,The Fame Monster,2009.0
Bloody Mary,Born This Way,2011.0
A-YO,Joanne,2016.0
Hey Girl,Joanne,2016.0
Dancin’ in Circles,Joanne,2016.0
Marry the Night,Born This Way,2011.0
Monster,The Fame Monster,2009.0
The Edge of Glory,Born This Way,2011.0
Angel Down,Joanne,2016.0
Dance in the Dark,The Fame Monster,2009.0
Sinner’s Prayer,Joanne,2016.0
Grigio Girls,Joanne,2016.0
Why Did You Do That?,A Star is Born (Original Motion Picture Soundtrack),2018.0
Just Another Day,Joanne,2016.0
Heal Me,A Star is Born (Original Motion Picture Soundtrack),2018.0
La Vie en Rose,A Star is Born (Original Motion Picture Soundtrack),2018.0
Love Me Right,Chromatica (Target Exclusive/International Deluxe),2020.0
Americano,Born This Way,2011.0
So Happy I Could Die,The Fame Monster,2009.0
Come to Mama,Joanne,2016.0
Hair,Born This Way,2011.0
Til It Happens To You,,2015.0
Heavy Metal Lover,Born This Way,2011.0
Government Hooker,Born This Way,2011.0
Before I Cry,A Star is Born (Original Motion Picture Soundtrack),2018.0
Hair Body Face,A Star is Born (Original Motion Picture Soundtrack),2018.0
Teeth,The Fame Monster,2009.0
Boys Boys Boys,The Fame,2008.0
"Eh, Eh (Nothing Else I Can Say)",The Fame,2009.0
Marry The Night - ”The Prelude Pathétique”: Music Video Intro Speech,,2011.0
Paper Gangsta,The Fame,2008.0
Bad Kids,Born This Way,2011.0
Somewhere Over the Rainbow (Dialogue),A Star is Born (Original Motion Picture Soundtrack),2018.0
Brown Eyes,The Fame,2008.0
Electric Chapel,Born This Way,2011.0
I Wanna Be With U,Artpop Act II (Scrapped),2013.0
The Fame,The Fame,2008.0
Princess Die,Artpop Act II (Scrapped),2012.0
Your Song,Revamp: The Songs of Elton John & Bernie Taupin,2018.0
Highway Unicorn (Road to Love),Born This Way,2011.0
Starstruck,The Fame,2008.0
I Like It Rough,The Fame,2008.0
Black Jesus + Amen Fashion,Born This Way (International Special Edition Version),2011.0
"Beautiful, Dirty, Rich",The Fame,2008.0
1000 Doves (Piano Demo),Chromatica (Target Exclusive/International Deluxe),2020.0
The Queen,Born This Way (International Special Edition Version),2011.0
Summerboy,The Fame,2008.0
Stuck on Fuckin’ You,Unreleased Songs,2011.0
Do What U Want (Remix),ARTPOP,2013.0
Fashion of His Love,Born This Way (International Special Edition Version),2011.0
Money Honey,The Fame,2008.0
PARTYNAUSEOUS,Artpop Act II (Scrapped),2012.0
Brooklyn Nights,Artpop Act II (Scrapped),2014.0
Angel Down (Work Tape),Joanne,2016.0
Joanne (Where Do You Think You’re Goin’?) [Piano Version],,2018.0
Fashion (2009),Confessions of a Shopaholic (Original Soundtrack),2009.0
Christmas Tree,Now That’s What I Call Christmas! 4 [US],2008.0
Disco Heaven,The Fame,2008.0
Again Again,The Fame,2008.0
Lush Life,Cheek to Cheek,2014.0
Nothing On (But the Radio),Artpop Act II (Scrapped),
Burqa,Artpop Act II (Scrapped),2013.0
The Manifesto of Mother Monster,,2011.0
Future Love,Unreleased Songs,
"Retro, Dance, Freak",The Fame,2008.0
Frankensteined (Fanmade Edit),,2017.0
Rain On Me (Demo),Unreleased Songs,2020.0
Ev’ry Time We Say Goodbye,Cheek to Cheek,2014.0
Second Time Around,Unreleased Songs,
Animal,Unreleased Songs,
Out of Control,Unreleased Songs,2012.0
Fashion! [Alt. Version],,2013.0
Bang Bang (My Baby Shot Me Down),Cheek to Cheek,2014.0
Freakshow,Unreleased Songs,2016.0
What’s Up (Live),,
Do What U Want (Solo Version),Europa FM 2014,2013.0
Vanity,Unreleased Songs,
Fooled Me Again (Honest Eyes),Unreleased Songs,
Glitter and Grease,Unreleased Songs,2012.0
Earthquake (Then You’d Love Me),Unreleased Songs,
No Way,Unreleased Songs,
We Could Be Lovers,Unreleased Songs,2020.0
Born This Way (The Country Road Version),Born This Way (International Special Edition Version),2011.0
Reloaded,Unreleased Songs,2009.0
Wonderful,Unreleased Songs,
Ratchet,Artpop Act II (Scrapped),2014.0
Unreleased Songs [Discography List],Unreleased Songs,
Super Bowl LI Halftime Show,Super Bowl Halftime Shows,2017.0
Smile (One World: Together At Home),One World: Together At Home,2020.0
White Christmas (Live),A Very Gaga Holiday,2011.0
Born This Way Monologue,Born This Way,2011.0
TEA,Artpop Act II (Scrapped),2017.0
Bad Romance (Radio Edit),,
Gypsy (Demo),Unreleased Songs,
Viva la Vida,,
Panty Party,Unreleased Songs,2017.0
Dirty Ice Cream,New Material (Mixtape),2006.0
Free Woman (Demo),Unreleased Songs,2020.0
MANiCURE (Demo),Unreleased Songs,2017.0
SuperStar,Unreleased Songs,
Red and Blue,Red and Blue - EP,2006.0
Sexy Ugly,Unreleased Songs,
Greatest,Unreleased Songs,
Stupid Love (Ellis Remix),Chromatica,2020.0
Blueberry Kisses,Unreleased Songs,
Stache (High Princess),Unreleased Songs,
Fancy Pants,New Material (Mixtape),2006.0
Fever,New Material (Mixtape),2006.0
Sexxx Dreams (Demo),Unreleased Songs,2013.0
November,,2019.0
Captivated,Unreleased Songs,
No Floods,Red and Blue - EP,2006.0
Let Love Down,New Material (Mixtape),
Bloody Mary - The Horrors Remix,Born This Way: The Remix,
Onion Girl,Artpop Act II (Scrapped),
Applause (Demo),Unreleased Songs,2017.0
Filthy Pop,Unreleased Songs,
