song_a,album_a,song_b,album_b,similarity
Girls Like You (Remix),Red Pill Blues,Girls Like You,Red Pill Blues,0.8608
Girls Like You (Remix),Red Pill Blues,Don’t Wanna Know,Red Pill Blues,0.6939
Girls Like You (Remix),Red Pill Blues,Payphone,Overexposed,0.7107
Girls Like You (Remix),Red Pill Blues,Moves Like Jagger,Hands All Over,0.6488
Girls Like You (Remix),Red Pill Blues,Whiskey,Red Pill Blues,0.6438
Girls Like You (Remix),Red Pill Blues,Who I Am,Red Pill Blues,0.6336
Girls Like You (Remix),Red Pill Blues,Wait (Remix),,0.6269
Girls Like You (Remix),Red Pill Blues,Animals (Remix),,0.6528
Girls Like You (Remix),Red Pill Blues,My Heart Is Open,V,0.6217
Girls Like You (Remix),Red Pill Blues,Sugar (Remix),,0.6065
Girls Like You (Remix),Red Pill Blues,If I Never See Your Face Again (Remix),It Won’t Be Soon Before Long,0.6581
Girls Like You (Remix),Red Pill Blues,Don’t Wanna Know (Extended Version),,0.6948
Girls Like You (Remix),Red Pill Blues,Girls Like You (Remix) (Volume 2),,0.9907
Girls Like You (Remix),Red Pill Blues,Cold (Remix),,0.6308
Girls Like You (Remix),Red Pill Blues,Moves Like Jagger (Remix),,0.6808
Girls Like You (Remix),Red Pill Blues,What Lovers Do (Slushii Remix),,0.6238
Girls Like You (Remix),Red Pill Blues,Out of Goodbyes,Hands All Over,0.6519
Girls Like You (Remix),Red Pill Blues,This Love (Kanye West Remix),Songs About Jane,0.6125
Girls Like You (Remix),Red Pill Blues,Girls Like You (St. Vincent Remix),,0.7459
Girls Like You (Remix),Red Pill Blues,Girls Like You (Cray Remix),,0.9907
Girls Like You (Remix),Red Pill Blues,Don’t Wanna Know (Ryan Riback Remix),,0.6992
Girls Like You (Remix),Red Pill Blues,Misery (Acoustic),Hands All Over,0.6211
Girls Like You (Remix),Red Pill Blues,Girls Like You (Remix Live),,0.8576
Girls Like You (Remix),Red Pill Blues,Don’t Wanna Know (Fareoh Remix),,0.6691
Girls Like You (Remix),Red Pill Blues,Is Anybody Out There,,0.669
Girls Like You (Remix),Red Pill Blues,Animals (Big Boi Remix),,0.6528
Girls Like You (Remix),Red Pill Blues,Girls Like You (WondaGurl Remix),,0.9907
Girls Like You (Remix),Red Pill Blues,Girls Like You (Constant Z Cover),,0.8557
Girls Like You (Remix),Red Pill Blues,Girls Like You (TOKiMONSTA Remix),,0.9907
Girls Like You (Remix),Red Pill Blues,If I Never See Your Face Again (Swizz Beatz Remix),Call and Response: The Remix Album,0.7125
Girls Like You (Remix),Red Pill Blues,If I Never See Your Face Again (Paul Oakenfold Remix),Call and Response: The Remix Album,0.6581
Girls Like You (Remix),Red Pill Blues,Don’t Wanna Know (Total Ape Remix),,0.6939
What Lovers Do,Red Pill Blues,Don’t Wanna Know,Red Pill Blues,0.6273
What Lovers Do,Red Pill Blues,Who I Am,Red Pill Blues,0.6963
What Lovers Do,Red Pill Blues,Wait (Remix),,0.6134
What Lovers Do,Red Pill Blues,My Heart Is Open,V,0.6681
What Lovers Do,Red Pill Blues,Don’t Wanna Know (Extended Version),,0.6399
What Lovers Do,Red Pill Blues,What Lovers Do (Slushii Remix),,0.9564
What Lovers Do,Red Pill Blues,This Love (Kanye West Remix),Songs About Jane,0.6025
What Lovers Do,Red Pill Blues,Don’t Wanna Know (Ryan Riback Remix),,0.6327
What Lovers Do,Red Pill Blues,Don’t Wanna Know (Fareoh Remix),,0.6539
What Lovers Do,Red Pill Blues,Is Anybody Out There,,0.6298
What Lovers Do,Red Pill Blues,Wake Up Call (Mark Ronson Remix),Call and Response: The Remix Album,0.7075
What Lovers Do,Red Pill Blues,Wake Up Call (David Banner Remix),Call and Response: The Remix Album,0.672
What Lovers Do,Red Pill Blues,Don’t Wanna Know (Total Ape Remix),,0.6273
Memories,M57*,Payphone (No Rap Edit),,0.6198
Memories,M57*,Ragdoll,Songs About Jane,0.6054
Memories,M57*,Memories (Dillon Francis Remix),,1.0
Memories,M57*,Memories (Devault Remix),,0.8857
Memories,M57*,Hello (Oasis Cover) (Live),,0.6439
Memories,M57*,Hello,Live – Friday the 13th,0.6451
Girls Like You,Red Pill Blues,Ladykiller,Overexposed,0.6003
Girls Like You,Red Pill Blues,Girls Like You (Remix) (Volume 2),,0.8453
Girls Like You,Red Pill Blues,Hands All Over,Hands All Over,0.6279
Girls Like You,Red Pill Blues,Girls Like You (St. Vincent Remix),,0.6194
Girls Like You,Red Pill Blues,Girls Like You (Cray Remix),,0.8453
Girls Like You,Red Pill Blues,Girls Like You (Remix Live),,0.9922
Girls Like You,Red Pill Blues,Girls Like You (WondaGurl Remix),,0.8453
Girls Like You,Red Pill Blues,Girls Like You (Constant Z Cover),,0.9433
Girls Like You,Red Pill Blues,Girls Like You (TOKiMONSTA Remix),,0.8453
Don’t Wanna Know,Red Pill Blues,Payphone,Overexposed,0.7562
Don’t Wanna Know,Red Pill Blues,Cold,Red Pill Blues,0.6002
Don’t Wanna Know,Red Pill Blues,Moves Like Jagger,Hands All Over,0.6541
Don’t Wanna Know,Red Pill Blues,Whiskey,Red Pill Blues,0.7046
Don’t Wanna Know,Red Pill Blues,Who I Am,Red Pill Blues,0.6989
Don’t Wanna Know,Red Pill Blues,Wait (Remix),,0.6487
Don’t Wanna Know,Red Pill Blues,Animals (Remix),,0.6546
Don’t Wanna Know,Red Pill Blues,My Heart Is Open,V,0.7015
Don’t Wanna Know,Red Pill Blues,If I Never See Your Face Again (Remix),It Won’t Be Soon Before Long,0.7083
Don’t Wanna Know,Red Pill Blues,Don’t Wanna Know (Extended Version),,0.882
Don’t Wanna Know,Red Pill Blues,Girls Like You (Remix) (Volume 2),,0.6897
Don’t Wanna Know,Red Pill Blues,Cold (Remix),,0.6352
Don’t Wanna Know,Red Pill Blues,Moves Like Jagger (Remix),,0.6667
Don’t Wanna Know,Red Pill Blues,Maps (Remix),,0.6126
Don’t Wanna Know,Red Pill Blues,What Lovers Do (Slushii Remix),,0.6645
Don’t Wanna Know,Red Pill Blues,Out of Goodbyes,Hands All Over,0.72
Don’t Wanna Know,Red Pill Blues,This Love (Kanye West Remix),Songs About Jane,0.7177
Don’t Wanna Know,Red Pill Blues,Don’t Wanna Know (Solo),,0.8483
Don’t Wanna Know,Red Pill Blues,Girls Like You (St. Vincent Remix),,0.6079
Don’t Wanna Know,Red Pill Blues,Girls Like You (Cray Remix),,0.6897
Don’t Wanna Know,Red Pill Blues,Don’t Wanna Know (Ryan Riback Remix),,0.9522
Don’t Wanna Know,Red Pill Blues,Misery (Acoustic),Hands All Over,0.6652
Don’t Wanna Know,Red Pill Blues,Don’t Wanna Know (Fareoh Remix),,0.9197
Don’t Wanna Know,Red Pill Blues,Is Anybody Out There,,0.69
