song_a,album_a,song_b,album_b,similarity
​​rockstar,beerbongs & bentleys,Congratulations,Stoney (Deluxe),0.6993
​​rockstar,beerbongs & bentleys,Psycho,beerbongs & bentleys,0.7929
​​rockstar,beerbongs & bentleys,Wow.,Hollywood’s Bleeding,0.607
​​rockstar,beerbongs & bentleys,Candy Paint,beerbongs & bentleys,0.6375
​​rockstar,beerbongs & bentleys,Goodbyes,Hollywood’s Bleeding,0.7131
​​rockstar,beerbongs & bentleys,Deja Vu,Stoney (Deluxe),0.6851
​​rockstar,beerbongs & bentleys,Take What You Want,Hollywood’s Bleeding,0.6562
​​rockstar,beerbongs & bentleys,Over Now,beerbongs & bentleys,0.6286
​​rockstar,beerbongs & bentleys,No Option,Stoney (Deluxe),0.6499
​​rockstar,beerbongs & bentleys,Die For Me,Hollywood’s Bleeding,0.651
​​rockstar,beerbongs & bentleys,92 Explorer,beerbongs & bentleys,0.6293
​​rockstar,beerbongs & bentleys,Ball For Me,beerbongs & bentleys,0.716
​​rockstar,beerbongs & bentleys,Spoil My Night,beerbongs & bentleys,0.6244
​​rockstar,beerbongs & bentleys,Feel,Stoney (Deluxe),0.7622
​​rockstar,beerbongs & bentleys,Zack and Codeine,beerbongs & bentleys,0.6231
​​rockstar,beerbongs & bentleys,Same Bitches,beerbongs & bentleys,0.7235
​​rockstar,beerbongs & bentleys,Enemies,Hollywood’s Bleeding,0.651
​​rockstar,beerbongs & bentleys,Patient,Stoney (Deluxe),0.6293
​​rockstar,beerbongs & bentleys,On the Road,Hollywood’s Bleeding,0.7615
​​rockstar,beerbongs & bentleys,Takin’ Shots,beerbongs & bentleys,0.6596
​​rockstar,beerbongs & bentleys,Broken Whiskey Glass,Stoney (Deluxe),0.6477
​​rockstar,beerbongs & bentleys,Big Lie,Stoney (Deluxe),0.6354
​​rockstar,beerbongs & bentleys,Staring at the Sun,Hollywood’s Bleeding,0.6767
​​rockstar,beerbongs & bentleys,Money Made Me Do It,August 26th,0.7012
​​rockstar,beerbongs & bentleys,Fuck,August 26th,0.7215
​​rockstar,beerbongs & bentleys,Up There,Stoney (Deluxe),0.7254
​​rockstar,beerbongs & bentleys,What’s Up,The Withdrawal Deux,0.6751
​​rockstar,beerbongs & bentleys,Lonely,August 26th,0.7445
​​rockstar,beerbongs & bentleys,TEAR$,,0.7574
​​rockstar,beerbongs & bentleys,Wow. (Remix),NBA 2K20 Soundtrack,0.7832
​​rockstar,beerbongs & bentleys,No Reason (Version 1),Unreleased Songs,0.7473
​​rockstar,beerbongs & bentleys,Monta,August 26th,0.7156
​​rockstar,beerbongs & bentleys,Never Understand,August 26th,0.7744
​​rockstar,beerbongs & bentleys,#mood,,0.6074
​​rockstar,beerbongs & bentleys,That’s It,,0.6903
​​rockstar,beerbongs & bentleys,Boy Bandz,,0.6257
​​rockstar,beerbongs & bentleys,Congratulations (Remix),,0.6914
​​rockstar,beerbongs & bentleys,40 Funk,August 26th,0.63
​​rockstar,beerbongs & bentleys,God Damn,August 26th,0.8051
​​rockstar,beerbongs & bentleys,Git Wit U,August 26th,0.6776
​​rockstar,beerbongs & bentleys,​rockstar (Original Version),Unreleased Songs,0.9871
​​rockstar,beerbongs & bentleys,Spaceships on Sunsets,Unreleased Songs,0.6888
​​rockstar,beerbongs & bentleys,White Iverson (Remix),,0.689
​​rockstar,beerbongs & bentleys,Fuck The Internet,Unreleased Songs,0.6902
​​rockstar,beerbongs & bentleys,Writing on the Wall (Demo),Unreleased Songs,0.8066
​​rockstar,beerbongs & bentleys,Remember,Unreleased Songs,0.6829
​​rockstar,beerbongs & bentleys,Kurt Cobain,Unreleased Songs,0.7222
​​rockstar,beerbongs & bentleys,Magic,,0.7847
​​rockstar,beerbongs & bentleys,Rockstar (Crankdat Remix),,0.8922
​​rockstar,beerbongs & bentleys,Another Cup,,0.7215
​​rockstar,beerbongs & bentleys,Santa Fe,,0.7005
​​rockstar,beerbongs & bentleys,Honest,Unreleased Songs,0.6041
​​rockstar,beerbongs & bentleys,Psycho (Remix),,0.7934
​​rockstar,beerbongs & bentleys,Squad,Unreleased Songs,0.8013
​​rockstar,beerbongs & bentleys,Take What You Want (Demo),Unreleased Songs,0.6562
​​rockstar,beerbongs & bentleys,"Pull Up, Ride Different",,0.6657
​​rockstar,beerbongs & bentleys,Whatever,,0.6323
​​rockstar,beerbongs & bentleys,Big Lie (Demo),Unreleased Songs,0.7719
​​rockstar,beerbongs & bentleys,Don’t Make Me,Unreleased Songs,0.6226
​​rockstar,beerbongs & bentleys,Playboy Bunny,Unreleased Songs,0.6741
​​rockstar,beerbongs & bentleys,Feel (Demo),Unreleased Songs,0.7788
​​rockstar,beerbongs & bentleys,Wow. (Demo),Unreleased Songs,0.6411
​​rockstar,beerbongs & bentleys,Too Much,Unreleased Songs,0.6501
​​rockstar,beerbongs & bentleys,Came Up (Original Version),,0.6809
​​rockstar,beerbongs & bentleys,My Friends,Unreleased Songs,0.6709
​​rockstar,beerbongs & bentleys,Fuck Yeah*,Unreleased Songs,0.67
​​rockstar,beerbongs & bentleys,Fuck Yeah Dude*,Unreleased Songs,0.6307
White Iverson,Stoney (Deluxe),Wow.,Hollywood’s Bleeding,0.6411
White Iverson,Stoney (Deluxe),Candy Paint,beerbongs & bentleys,0.7256
White Iverson,Stoney (Deluxe),Too Young,Stoney (Deluxe),0.6222
White Iverson,Stoney (Deluxe),Rich & Sad,beerbongs & bentleys,0.6459
White Iverson,Stoney (Deluxe),92 Explorer,beerbongs & bentleys,0.6006
White Iverson,Stoney (Deluxe),Ball For Me,beerbongs & bentleys,0.6349
White Iverson,Stoney (Deluxe),Feel,Stoney (Deluxe),0.6174
White Iverson,Stoney (Deluxe),Zack and Codeine,beerbongs & bentleys,0.6118
White Iverson,Stoney (Deluxe),Patient,Stoney (Deluxe),0.6493
White Iverson,Stoney (Deluxe),Takin’ Shots,beerbongs & bentleys,0.6459
White Iverson,Stoney (Deluxe),Broken Whiskey Glass,Stoney (Deluxe),0.627
White Iverson,Stoney (Deluxe),Big Lie,Stoney (Deluxe),0.675
White Iverson,Stoney (Deluxe),"Yours Truly, Austin Post",Stoney (Deluxe),0.6297
White Iverson,Stoney (Deluxe),TEAR$,,0.6288
White Iverson,Stoney (Deluxe),Wow. (Remix),NBA 2K20 Soundtrack,0.6098
White Iverson,Stoney (Deluxe),No Reason (Version 1),Unreleased Songs,0.6073
White Iverson,Stoney (Deluxe),That’s It,,0.6279
White Iverson,Stoney (Deluxe),Boy Bandz,,0.618
White Iverson,Stoney (Deluxe),Congratulations (Remix),,0.6002
White Iverson,Stoney (Deluxe),40 Funk,August 26th,0.6292
White Iverson,Stoney (Deluxe),Git Wit U,August 26th,0.664
White Iverson,Stoney (Deluxe),White Iverson (Remix),,0.7084
White Iverson,Stoney (Deluxe),Remember,Unreleased Songs,0.6095
White Iverson,Stoney (Deluxe),Kurt Cobain,Unreleased Songs,0.6091
White Iverson,Stoney (Deluxe),Santa Fe,,0.6045
White Iverson,Stoney (Deluxe),Honest,Unreleased Songs,0.6262
White Iverson,Stoney (Deluxe),Me Or Us (Demo),Unreleased Songs,0.6361
White Iverson,Stoney (Deluxe),Never Change*,Unreleased Songs,0.6694
White Iverson,Stoney (Deluxe),Whatever,,0.6486
White Iverson,Stoney (Deluxe),Playboy Bunny,Unreleased Songs,0.6203
White Iverson,Stoney (Deluxe),Feel (Demo),Unreleased Songs,0.6108
White Iverson,Stoney (Deluxe),Wow. (Demo),Unreleased Songs,0.6423
White Iverson,Stoney (Deluxe),Came Up (Original Version),,0.6281
White Iverson,Stoney (Deluxe),Ric Flair,Unreleased Songs,0.6249
Congratulations,Stoney (Deluxe),Psycho,beerbongs & bentleys,0.7293
Congratulations,Stoney (Deluxe),Goodbyes,Hollywood’s Bleeding,0.6582
Congratulations,Stoney (Deluxe),Deja Vu,Stoney (Deluxe),0.6494
Congratulations,Stoney (Deluxe),Take What You Want,Hollywood’s Bleeding,0.6028
Congratulations,Stoney (Deluxe),Ball For Me,beerbongs & bentleys,0.6702
Congratulations,Stoney (Deluxe),Spoil My Night,beerbongs & bentleys,0.6098
Congratulations,Stoney (Deluxe),Feel,Stoney (Deluxe),0.6791
Congratulations,Stoney (Deluxe),Same Bitches,beerbongs & bentleys,0.7796
Congratulations,Stoney (Deluxe),Enemies,Hollywood’s Bleeding,0.6548
Congratulations,Stoney (Deluxe),On the Road,Hollywood’s Bleeding,0.7355
Congratulations,Stoney (Deluxe),Staring at the Sun,Hollywood’s Bleeding,0.681
Congratulations,Stoney (Deluxe),Money Made Me Do It,August 26th,0.756
Congratulations,Stoney (Deluxe),Fuck,August 26th,0.6378
Congratulations,Stoney (Deluxe),Up There,Stoney (Deluxe),0.6383
Congratulations,Stoney (Deluxe),What’s Up,The Withdrawal Deux,0.6206
Congratulations,Stoney (Deluxe),Lonely,August 26th,0.6913
Congratulations,Stoney (Deluxe),TEAR$,,0.7186
Congratulations,Stoney (Deluxe),Wow. (Remix),NBA 2K20 Soundtrack,0.6964
Congratulations,Stoney (Deluxe),No Reason (Version 1),Unreleased Songs,0.6634
Congratulations,Stoney (Deluxe),Monta,August 26th,0.6174
Congratulations,Stoney (Deluxe),Never Understand,August 26th,0.6746
Congratulations,Stoney (Deluxe),Congratulations (Remix),,0.7387
Congratulations,Stoney (Deluxe),God Damn,August 26th,0.7039
Congratulations,Stoney (Deluxe),​rockstar (Original Version),Unreleased Songs,0.7183
Congratulations,Stoney (Deluxe),Spaceships on Sunsets,Unreleased Songs,0.681
Congratulations,Stoney (Deluxe),White Iverson (Remix),,0.6934
Congratulations,Stoney (Deluxe),Fuck The Internet,Unreleased Songs,0.6418
Congratulations,Stoney (Deluxe),Writing on the Wall (Demo),Unreleased Songs,0.7544
Congratulations,Stoney (Deluxe),Kurt Cobain,Unreleased Songs,0.7011
Congratulations,Stoney (Deluxe),Magic,,0.654
Congratulations,Stoney (Deluxe),Rockstar (Crankdat Remix),,0.6958
Congratulations,Stoney (Deluxe),Another Cup,,0.6449
Congratulations,Stoney (Deluxe),Psycho (Remix),,0.7265
Congratulations,Stoney (Deluxe),Squad,Unreleased Songs,0.7379
Congratulations,Stoney (Deluxe),Take What You Want (Demo),Unreleased Songs,0.6028
Congratulations,Stoney (Deluxe),Big Lie (Demo),Unreleased Songs,0.6913
Congratulations,Stoney (Deluxe),Playboy Bunny,Unreleased Songs,0.6087
Congratulations,Stoney (Deluxe),Feel (Demo),Unreleased Songs,0.6571
Congratulations,Stoney (Deluxe),Came Up (Original Version),,0.6642
Congratulations,Stoney (Deluxe),My Friends,Unreleased Songs,0.6361
Congratulations,Stoney (Deluxe),Fuck Yeah*,Unreleased Songs,0.6116
Psycho,beerbongs & bentleys,Candy Paint,beerbongs & bentleys,0.6173
Psycho,beerbongs & bentleys,Goodbyes,Hollywood’s Bleeding,0.6963
Psycho,beerbongs & bentleys,Deja Vu,Stoney (Deluxe),0.7249
Psycho,beerbongs & bentleys,Take What You Want,Hollywood’s Bleeding,0.7306
Psycho,beerbongs & bentleys,Over Now,beerbongs & bentleys,0.6126
Psycho,beerbongs & bentleys,Die For Me,Hollywood’s Bleeding,0.6532
Psycho,beerbongs & bentleys,Rich & Sad,beerbongs & bentleys,0.6083
Psycho,beerbongs & bentleys,Ball For Me,beerbongs & bentleys,0.7321
Psycho,beerbongs & bentleys,Spoil My Night,beerbongs & bentleys,0.6389
Psycho,beerbongs & bentleys,Feel,Stoney (Deluxe),0.7705
Psycho,beerbongs & bentleys,Same Bitches,beerbongs & bentleys,0.7542
Psycho,beerbongs & bentleys,Sugar Wraith,beerbongs & bentleys,0.6332
Psycho,beerbongs & bentleys,Enemies,Hollywood’s Bleeding,0.7149
Psycho,beerbongs & bentleys,On the Road,Hollywood’s Bleeding,0.7754
Psycho,beerbongs & bentleys,Takin’ Shots,beerbongs & bentleys,0.6226
Psycho,beerbongs & bentleys,Broken Whiskey Glass,Stoney (Deluxe),0.6225
Psycho,beerbongs & bentleys,Staring at the Sun,Hollywood’s Bleeding,0.7099
Psycho,beerbongs & bentleys,Money Made Me Do It,August 26th,0.7459
Psycho,beerbongs & bentleys,Fuck,August 26th,0.7128
Psycho,beerbongs & bentleys,Up There,Stoney (Deluxe),0.6966
Psycho,beerbongs & bentleys,What’s Up,The Withdrawal Deux,0.6478
Psycho,beerbongs & bentleys,Lonely,August 26th,0.7175
Psycho,beerbongs & bentleys,TEAR$,,0.7661
Psycho,beerbongs & bentleys,Wow. (Remix),NBA 2K20 Soundtrack,0.7313
Psycho,beerbongs & bentleys,No Reason (Version 1),Unreleased Songs,0.759
Psycho,beerbongs & bentleys,Monta,August 26th,0.7281
Psycho,beerbongs & bentleys,Never Understand,August 26th,0.7662
Psycho,beerbongs & bentleys,#mood,,0.6106
Psycho,beerbongs & bentleys,That’s It,,0.6423
Psycho,beerbongs & bentleys,Boy Bandz,,0.6401
Psycho,beerbongs & bentleys,Congratulations (Remix),,0.6676
Psycho,beerbongs & bentleys,40 Funk,August 26th,0.65
Psycho,beerbongs & bentleys,God Damn,August 26th,0.7708
Psycho,beerbongs & bentleys,Git Wit U,August 26th,0.6492
Psycho,beerbongs & bentleys,​rockstar (Original Version),Unreleased Songs,0.8062
Psycho,beerbongs & bentleys,Spaceships on Sunsets,Unreleased Songs,0.7192
Psycho,beerbongs & bentleys,White Iverson (Remix),,0.6681
Psycho,beerbongs & bentleys,Fuck The Internet,Unreleased Songs,0.6943
Psycho,beerbongs & bentleys,Writing on the Wall (Demo),Unreleased Songs,0.7695
Psycho,beerbongs & bentleys,Remember,Unreleased Songs,0.641
Psycho,beerbongs & bentleys,SoFlo Like Antonio,,0.6147
Psycho,beerbongs & bentleys,Kurt Cobain,Unreleased Songs,0.7407
Psycho,beerbongs & bentleys,Magic,,0.7387
Psycho,beerbongs & bentleys,Rockstar (Crankdat Remix),,0.7976
Psycho,beerbongs & bentleys,Another Cup,,0.7112
Psycho,beerbongs & bentleys,Santa Fe,,0.6105
