title,album,year
Lose You To Love Me,Rare (Target Exclusive),2019.0
Back to You,Rare (Target Exclusive),2018.0
Fetish,Rare (Target Exclusive),2017.0
Bad Liar,Rare (Target Exclusive),2017.0
Look At Her Now,Rare (Target Exclusive),2019.0
Good for You,Revival,2015.0
The Heart Wants What It Wants,For You,2014.0
Hands to Myself,Revival,2016.0
Feel Me,Rare (Bonus Track Version),2020.0
Same Old Love,Revival,2015.0
Rare,Rare (Target Exclusive),2020.0
Souvenir,Rare (Deluxe),2020.0
Vulnerable,Rare (Target Exclusive),2020.0
Boyfriend,Rare (Deluxe),2020.0
Kill Em With Kindness,Revival,2016.0
Ring,Rare (Target Exclusive),2020.0
People You Know,Rare (Target Exclusive),2020.0
Only You,13 Reasons Why (Season 1),2017.0
A Sweeter Place,Rare (Target Exclusive),2020.0
De Una Vez,Revelación - EP,2021.0
Cut You Off,Rare (Target Exclusive),2020.0
Perfect,Revival,2015.0
Dance Again,Rare (Target Exclusive),2020.0
Come & Get It,Stars Dance,2013.0
Sober,Revival,2015.0
Revival,Revival,2015.0
Let Me Get Me,Rare (Target Exclusive),2020.0
Kinda Crazy,Rare (Target Exclusive),2020.0
Everything Is Not As It Seems,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),2009.0
She,Rare (Deluxe),2020.0
Slow Down,Stars Dance,2013.0
Me & My Girls,Revival,2015.0
Fun,Rare (Target Exclusive),2020.0
Camouflage,Revival,2015.0
Nobody,Revival,2015.0
Stained,Unreleased Songs,2017.0
Me & The Rhythm,Revival,2015.0
Love Will Remember,Stars Dance,2013.0
Rise,Revival,2015.0
Cologne,Revival,2015.0
Shake It Up,Shake It Up: Break It Down ,2010.0
Survivors,Revival,2015.0
Body Heat,Revival,2015.0
Outta My Hands (Loco),Revival,2015.0
Birthday,Stars Dance,2013.0
Can’t Steal Our Love,Unreleased Songs,
Stars Dance,Stars Dance,2013.0
Undercover,Stars Dance,2013.0
B.E.A.T.,Stars Dance,2013.0
Kill Em With Kindness (Acoustic),,2017.0
Same Old Love (Remix),,2016.0
Everything Is Not What It Seems (Wizards of Waverly Place Full Theme Song),Disney Channel Playlist,2009.0
Higher Or Heaven*,,
Forget Forever,Stars Dance,2013.0
Like A Champion,Stars Dance,2013.0
Nobody Does It Like You,Stars Dance,2013.0
Do It,For You,2014.0
Save the Day,Stars Dance,2013.0
Write Your Name,Stars Dance,2013.0
Bad News*,,2018.0
Magic,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),2009.0
Wild Love,Unreleased Songs,
I Like It That Way,Stars Dance,2013.0
Sad Serenade,Unreleased Songs,2013.0
Fly to Your Heart,Tinker Bell - Songs from and Inspired By Disney Fairies,2008.0
Cruella De Vil,Disneymania 6,2008.0
Bidi Bidi Bom Bom,For You,2014.0
Lover In Me,Stars Dance,2013.0
Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),2018.0
Music Feels Better,Stars Dance,2013.0
Out Of My Head,Unreleased Songs,
Praise You,Unreleased Songs,
Expressing Myself,Unreleased Songs,
Congratulations to Me,Unreleased Songs,2011.0
Give You Up,Unreleased Songs,2017.0
Fetish (Galantis Remix),Helix (Volume 1),2017.0
Pose,,
Brain Zapped,Unreleased Songs,
Totem*,,
Make It Happen,,
Bang A Drum,Another Cinderella Story - EP,2008.0
Disappear,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),2009.0
You Don’t Own Me (Cover) / Me & My Girls,,2016.0
All Night Long,,2008.0
New Classic (Single Version),,2008.0
Forget Forever (ST£FAN Remix),For You,2014.0
Magical,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),2009.0
Shake It Up (Theme Song) [Cole Plante Reboot Remix],Shake It Up: I ♡ Dance,2013.0
A Year Without Rain (Dave Audé Radio Remix),For You,2014.0
Running Back To Me,,
Redlight,,2010.0
Trust In Me,Disneymania 7 ,2010.0
Unfamiliar (Demo),Unreleased Songs,
Bang,Unreleased Songs,
Someone Else,,2013.0
Lose You To Love Me (Demo Version),,2020.0
Great Escape,Unreleased Songs,
Slow Down (Paolo Ortelli & Luke Degree Remix),Slow Down (Remixes),2013.0
Love’s Not Over,Unreleased Songs,
Come & Get It (Cosmic Dawn Club Remix),Slow Down - EP,2013.0
Goals,Unreleased Songs,
I Believe I Can Fly (Cover),,
