song_a,album_a,song_b,album_b,similarity
APlaceInThisWorld,Taylor Swift,ImOnlyMeWhenImWithYou,Taylor Swift,0.7115
APlaceInThisWorld,Taylor Swift,Breathe,Fearless,0.6214
APlaceInThisWorld,Taylor Swift,SoItGoes,Reputation,0.6363
APlaceInThisWorld,Taylor Swift,Afterglow,Lover,0.6022
ColdasYou,Taylor Swift,ShouldveSaidNo,Taylor Swift,0.6314
ColdasYou,Taylor Swift,Breathe,Fearless,0.606
ColdasYou,Taylor Swift,Forever Always,Fearless,0.6033
ColdasYou,Taylor Swift,HeyStephen,Fearless,0.6477
ColdasYou,Taylor Swift,TellMeWhy,Fearless,0.6521
ColdasYou,Taylor Swift,TheBestDay,Fearless,0.6047
ColdasYou,Taylor Swift,WhiteHorse,Fearless,0.6062
ColdasYou,Taylor Swift,YoureNotSorry,Fearless,0.6419
ColdasYou,Taylor Swift,BacktoDecember,Speak Now,0.7025
ColdasYou,Taylor Swift,DearJohn,Speak Now,0.6121
ColdasYou,Taylor Swift,Haunted,Speak Now,0.6543
ColdasYou,Taylor Swift,Mean,Speak Now,0.6816
ColdasYou,Taylor Swift,SparksFly,Speak Now,0.6213
ColdasYou,Taylor Swift,AllTooWell,Red,0.623
ColdasYou,Taylor Swift,HolyGround,Red,0.643
ColdasYou,Taylor Swift,IAlmostDo,Red,0.6722
ColdasYou,Taylor Swift,IKnewYouWereTrouble,Red,0.6128
ColdasYou,Taylor Swift,SadBeautifulTragic,Red,0.6209
ColdasYou,Taylor Swift,StateofGrace,Red,0.6028
ColdasYou,Taylor Swift,StayStayStay,Red,0.6458
ColdasYou,Taylor Swift,TheLastTime,Red,0.6171
ColdasYou,Taylor Swift,Booklet,1989,0.6396
ColdasYou,Taylor Swift,Clean,1989,0.6396
ColdasYou,Taylor Swift,IWishYouWould,1989,0.6382
ColdasYou,Taylor Swift,ThisIsWhyWeCantHaveNiceThings,Reputation,0.6137
ColdasYou,Taylor Swift,Afterglow,Lover,0.6831
ColdasYou,Taylor Swift,Daylight,Lover,0.6737
ColdasYou,Taylor Swift,IForgotThatYouExisted,Lover,0.6654
ColdasYou,Taylor Swift,SoonYoullGetBetter,Lover,0.6068
ColdasYou,Taylor Swift,hoax,Folklore,0.6178
ColdasYou,Taylor Swift,mytearsricochet,Folklore,0.6762
ColdasYou,Taylor Swift,peace,Folklore,0.6796
ColdasYou,Taylor Swift,closure,Evermore,0.6412
ColdasYou,Taylor Swift,tisthedamnseason,Evermore,0.6881
ColdasYou,Taylor Swift,Maroon,Midnights,0.6086
ColdasYou,Taylor Swift,YoureOnYourOwn Kid,Midnights,0.6176
ColdasYou,Taylor Swift,Fortnight,The Tortured Poets Department,0.619
ImOnlyMeWhenImWithYou,Taylor Swift,Breathe,Fearless,0.6916
ImOnlyMeWhenImWithYou,Taylor Swift,Fearless,Fearless,0.6081
ImOnlyMeWhenImWithYou,Taylor Swift,BacktoDecember,Speak Now,0.6088
ImOnlyMeWhenImWithYou,Taylor Swift,Haunted,Speak Now,0.6574
ImOnlyMeWhenImWithYou,Taylor Swift,Mean,Speak Now,0.6404
ImOnlyMeWhenImWithYou,Taylor Swift,Mine,Speak Now,0.6009
ImOnlyMeWhenImWithYou,Taylor Swift,SparksFly,Speak Now,0.6627
ImOnlyMeWhenImWithYou,Taylor Swift,AllTooWell,Red,0.6176
ImOnlyMeWhenImWithYou,Taylor Swift,ComeBack   BeHere,Red,0.6014
ImOnlyMeWhenImWithYou,Taylor Swift,HolyGround,Red,0.6386
ImOnlyMeWhenImWithYou,Taylor Swift,Style,1989,0.6669
ImOnlyMeWhenImWithYou,Taylor Swift,SoItGoes,Reputation,0.6713
ImOnlyMeWhenImWithYou,Taylor Swift,Afterglow,Lover,0.6171
ImOnlyMeWhenImWithYou,Taylor Swift,seven,Folklore,0.624
ImOnlyMeWhenImWithYou,Taylor Swift,cowboylikeme,Evermore,0.6054
ImOnlyMeWhenImWithYou,Taylor Swift,tisthedamnseason,Evermore,0.627
ImOnlyMeWhenImWithYou,Taylor Swift,Bejeweled,Midnights,0.6232
